work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 335.46, 5.52384033, , 0, , 1, 32.5, 29.1, 45.0, 40.1
gamma-upgrade-2, 10, 400, 10, 10, 16, 672.59, 8.91556547, 19, 10.2843, 62301, 1, 44.8, 42.6, 64.4, 38.8
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 353.48, 4.76440211, , 0, , 1, 59.0, 40.9, 44.6, 36.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 463.68, 7.53487900, 11, 16.579671, 36953, 1, 37.4, 35.4, 44.1, 32.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 265.64, 4.41893925, , 0, , 1, 35.2, 32.5, 34.0, 32.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 420.55, 7.40705704, 29, 10.859894, 94498, 1, 38.4, 35.4, 41.0, 37.8
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 245.70, 4.37680729, , 0, , 1, 38.9, 36.8, 41.8, 38.8
gamma-upgrade-2, 10, 400, 10, 10, 16, 403.85, 7.38457770, 20, 12.672516, 65891, 1, 32.0, 31.5, 44.1, 32.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 247.36, 4.42663781, , 0, , 1, 40.4, 32.5, 34.0, 32.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 526.22, 8.30307124, 16, 4.902607, 52969, 2, 34.8, 41.4, 62.5, 33.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 365.39, 4.71748530, , 0, , 1, 61.5, 33.4, 41.2, 37.8
gamma-upgrade-2, 10, 400, 10, 10, 16, 565.32, 8.64211345, 18, 15.546775, 59063, 1, 39.4, 37.0, 37.1, 32.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 254.63, 4.41370068, , 0, , 1, 32.5, 31.5, 33.5, 32.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 440.05, 8.13140991, 18, 19.820784, 58914, 1, 37.6, 32.0, 34.5, 32.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 234.22, 4.32802390, , 0, , 1, 34.0, 32.5, 34.0, 33.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 435.27, 8.17911812, 46, 10.646639, 148421, 1, 37.9, 33.8, 35.4, 32.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 245.07, 4.37669985, , 0, , 1, 35.4, 33.0, 33.0, 31.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 444.83, 8.23483607, 29, 14.172499, 93993, 1, 33.5, 31.5, 36.4, 31.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 229.37, 4.32395776, , 0, , 1, 34.5, 33.8, 35.2, 31.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 386.82, 7.33218577, 22, 15.863883, 71637, 1, 34.4, 32.0, 33.0, 31.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 234.43, 4.33666895, , 0, , 1, 33.0, 31.5, 37.9, 32.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 427.59, 8.15229327, 27, 8.05902400000001, 87630, 1, 35.8, 32.0, 35.9, 31.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 234.59, 4.32509341, , 0, , 1, 37.4, 32.0, 33.0, 31.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 434.57, 8.10774753, 15, 23.506778, 49626, 1, 33.5, 32.0, 33.0, 33.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 228.26, 4.36452596, , 0, , 1, 40.2, 33.0, 34.0, 32.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 450.98, 8.10228491, 22, 9.63075400000001, 72221, 2, 34.5, 39.0, 33.0, 34.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 251.91, 4.37808058, , 0, , 2, 33.8, 34.9, 33.8, 35.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 456.14, 8.07286064, 35, 10.992202, 113045, 2, 33.5, 35.4, 39.9, 32.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 236.07, 4.38747954, , 0, , 1, 32.8, 32.0, 35.0, 33.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 431.86, 8.14462353, 18, 7.737717, 58460, 1, 35.4, 33.5, 36.1, 32.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 229.06, 4.35712638, , 0, , 1, 36.1, 32.0, 38.1, 32.5
gamma-upgrade-2, 10, 400, 10, 10, 16, 439.36, 8.19537054, 16, 18.132333, 52993, 1, 34.2, 33.0, 32.5, 32.0
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 265.32, 4.43972493, , 0, , 2, 33.0, 39.5, 35.6, 35.9
gamma-upgrade-2, 10, 400, 10, 10, 16, 582.38, 8.29556986, 20, 12.207485, 65200, 1, 50.6, 35.9, 35.9, 34.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 311.57, 4.45101585, , 0, , 1, 35.6, 34.9, 48.4, 34.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 581.91, 8.30562324, 12, 20.934435, 40063, 1, 38.4, 35.1, 38.4, 34.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 316.31, 4.48042530, , 0, , 1, 39.4, 35.1, 37.4, 34.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 592.22, 8.31185762, 20, 19.085931, 65713, 1, 36.4, 35.4, 36.9, 34.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 312.96, 4.48502568, , 0, , 1, 45.2, 38.8, 37.9, 34.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 587.99, 8.27114571, 17, 15.241858, 55902, 2, 44.6, 45.1, 35.9, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 318.10, 4.47565550, , 0, , 1, 38.1, 35.9, 37.4, 38.0
gamma-upgrade-2, 10, 400, 10, 10, 16, 593.63, 8.35545342, 34, 7.342501, 110285, 1, 37.9, 35.6, 37.6, 34.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 310.62, 4.49081767, , 0, , 1, 46.4, 37.2, 38.6, 35.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 585.39, 8.36618096, 21, 12.147481, 68915, 1, 37.9, 35.4, 38.6, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 315.79, 4.47133863, , 0, , 1, 36.4, 35.4, 46.6, 37.8
gamma-upgrade-2, 10, 400, 10, 10, 16, 534.43, 7.55563149, 48, 10.555985, 154477, 1, 37.9, 35.9, 40.4, 38.2
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 321.27, 4.52138144, , 0, , 1, 44.0, 36.4, 37.1, 35.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 591.92, 8.40517373, 15, 16.713633, 50000, 1, 43.2, 35.9, 41.8, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 308.73, 4.45186331, , 0, , 1, 37.4, 35.4, 37.9, 35.9
gamma-upgrade-2, 10, 400, 10, 10, 16, 600.03, 8.41019089, 24, 13.925129, 77956, 1, 42.0, 34.9, 37.4, 34.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 313.33, 4.45366877, , 0, , 1, 38.6, 35.4, 47.6, 46.6
gamma-upgrade-2, 10, 400, 10, 10, 16, 678.60, 8.71719991, 51, 9.78130300000001, 164529, 1, 37.4, 35.9, 50.5, 43.5
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 328.37, 4.53431026, , 0, , 1, 45.1, 41.1, 36.9, 35.4
gamma-upgrade-2, 10, 400, 10, 10, 16, 591.51, 8.34502701, 19, 4.98405200000001, 62392, 1, 40.1, 35.9, 39.8, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 311.71, 4.44242069, , 0, , 1, 37.9, 35.4, 42.8, 35.9
gamma-upgrade-2, 10, 400, 10, 10, 16, 579.22, 8.29914891, 19, 14.438003, 62408, 1, 41.2, 35.4, 38.9, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 334.72, 4.53979056, , 0, , 1, 41.0, 35.9, 38.4, 35.9
gamma-upgrade-2, 10, 400, 10, 10, 16, 635.70, 8.57014116, 22, 13.212548, 72314, 1, 39.9, 38.0, 39.1, 35.9
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 320.44, 4.49505340, , 0, , 1, 37.4, 36.4, 47.4, 35.9
gamma-upgrade-2, 10, 400, 10, 10, 16, 628.40, 8.52003876, 34, 14.470976, 110286, 1, 38.1, 35.4, 39.4, 35.4
base-gamma-upgrade-2, 10, 400, 10, 10, 16, 348.80, 4.65696387, , 0, , 1, 38.1, 35.4, 50.4, 41.6
base-gamma-upgrade-2, 10, 400, 10, 10, 64, 445.48, 5.00580702, , 0, , 1, 48.5, 46.6, 52.9, 40.6
gamma-upgrade-2, 10, 400, 10, 10, 64, 789.20, 9.19988095, 21, 8.366466, 68800, 1, 48.5, 45.5, 49.6, 47.9
base-gamma-upgrade-2, 10, 400, 10, 10, 64, 381.95, 4.80972875, , 0, , 1, 46.4, 43.5, 37.9, 36.4
