work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-hc-1, 10, 400, 10, 10, 547.52, 8.35663594, , 0, , 30.1, 29.6
hc-1, 10, 400, 10, 10, 638.91, 9.32822718, 20, 15.775246, 67814, 41.5, 38.5
base-hc-1, 10, 400, 10, 10, 461.62, 6.82894129, , 0, , 41.5, 38.8
hc-1, 10, 400, 10, 10, 656.19, 9.51077732, 16, 12.674021, 54507, 37.9, 45.6
base-hc-1, 10, 400, 10, 10, 489.14, 7.02626669, , 0, , 41.8, 42.8
hc-1, 10, 400, 10, 10, 660.23, 9.58922333, 14, 19.76472, 47413, 36.9, 38.0
base-hc-1, 10, 400, 10, 10, 463.05, 6.85526789, , 0, , 47.6, 39.9
hc-1, 10, 400, 10, 10, 627.73, 9.31916178, 27, 14.135012, 91631, 35.9, 33.8
base-hc-1, 10, 400, 10, 10, 461.67, 6.88346555, , 0, , 43.8, 39.8
hc-1, 10, 400, 10, 10, 631.27, 9.35238806, 26, 4.911946, 88218, 40.4, 35.4
base-hc-1, 10, 400, 10, 10, 475.61, 6.86796355, , 0, , 45.9, 40.6
hc-1, 10, 400, 10, 10, 629.91, 9.35192942, 23, 3.285042, 78072, 37.4, 36.1
base-hc-1, 10, 400, 10, 10, 457.45, 6.83489033, , 0, , 36.4, 34.0
hc-1, 10, 400, 10, 10, 617.24, 9.29525534, 29, 11.548546, 98207, 36.6, 34.0
base-hc-1, 10, 400, 10, 10, 455.15, 6.82185433, , 0, , 36.9, 34.4
hc-1, 10, 400, 10, 10, 625.51, 9.31156069, 20, 14.59824, 67903, 38.1, 34.4
base-hc-1, 10, 400, 10, 10, 459.32, 6.85103682, , 0, , 35.9, 34.4
hc-1, 10, 400, 10, 10, 624.46, 9.32771716, 16, 15.156407, 54431, 36.4, 34.4
base-hc-1, 10, 400, 10, 10, 461.69, 6.84610829, , 0, , 35.9, 34.4
hc-1, 10, 400, 10, 10, 656.78, 9.45753729, 26, 6.41588300000001, 87937, 35.9, 34.4
base-hc-1, 10, 400, 10, 10, 494.76, 6.98887428, , 0, , 39.4, 35.4
