work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-low-mutation-1, 10, 400, 10, 10, 16, 335.32, 4.91078292, , 0, , 1, 30.6, 30.1, 46.8, 37.8
low-mutation-1, 10, 400, 10, 10, 16, 437.43, 6.22740102, 29, 0.539729000000023, 91367, 1, 42.0, 37.8, 47.6, 35.9
base-low-mutation-1, 10, 400, 10, 10, 16, 270.82, 3.84610768, , 0, , 1, 39.8, 35.4, 42.8, 39.6
low-mutation-1, 10, 400, 10, 10, 16, 445.73, 6.30507580, 49, 0.715122000000008, 145333, 1, 44.1, 40.6, 44.0, 41.9
base-low-mutation-1, 10, 400, 10, 10, 16, 271.58, 3.85725731, , 0, , 1, 37.9, 35.4, 45.0, 39.9
low-mutation-1, 10, 400, 10, 10, 16, 431.21, 6.18667696, 38, 1.13375200000002, 116219, 1, 39.9, 35.9, 43.6, 43.8
base-low-mutation-1, 10, 400, 10, 10, 16, 275.01, 3.85456916, , 0, , 1, 37.9, 34.9, 48.0, 39.9
low-mutation-1, 10, 400, 10, 10, 16, 426.12, 6.15410434, 78, 0.289676999999983, 214852, 1, 39.1, 35.4, 45.6, 37.2
base-low-mutation-1, 10, 400, 10, 10, 16, 269.75, 3.85325436, , 0, , 1, 37.4, 34.9, 49.0, 37.5
low-mutation-1, 10, 400, 10, 10, 16, 436.89, 6.20641708, 71, 0.217308000000003, 198519, 1, 39.4, 35.9, 41.5, 43.0
base-low-mutation-1, 10, 400, 10, 10, 16, 269.90, 3.86246896, , 0, , 1, 38.9, 36.9, 44.0, 39.6
low-mutation-1, 10, 400, 10, 10, 16, 420.97, 6.16965106, 44, 0.340780999999993, 131099, 1, 45.2, 43.0, 45.8, 39.0
base-low-mutation-1, 10, 400, 10, 10, 16, 267.12, 3.84876323, , 0, , 1, 37.4, 34.4, 41.2, 42.6
low-mutation-1, 10, 400, 10, 10, 16, 439.57, 6.24062753, 46, 0.0936679999999797, 137901, 1, 37.4, 35.4, 46.8, 37.8
base-low-mutation-1, 10, 400, 10, 10, 16, 268.24, 3.81665496, , 0, , 1, 42.8, 37.5, 42.2, 39.4
low-mutation-1, 10, 400, 10, 10, 16, 457.35, 6.39226050, 39, 0.504200000000026, 117941, 1, 42.8, 41.6, 47.4, 37.8
base-low-mutation-1, 10, 400, 10, 10, 16, 265.32, 3.80350949, , 0, , 1, 39.6, 35.9, 45.6, 37.8
low-mutation-1, 10, 400, 10, 10, 16, 445.08, 6.26798666, 26, 0.657080000000008, 82302, 1, 37.9, 35.4, 49.9, 37.8
base-low-mutation-1, 10, 400, 10, 10, 16, 274.33, 3.87899238, , 0, , 1, 44.6, 38.0, 46.8, 36.6
low-mutation-1, 10, 400, 10, 10, 16, 455.50, 6.31999997, 75, 0.268926000000022, 209813, 1, 40.1, 35.4, 50.8, 39.2
base-low-mutation-1, 10, 400, 10, 10, 16, 263.41, 3.80739289, , 0, , 1, 37.9, 35.9, 49.5, 41.1
low-mutation-1, 10, 400, 10, 10, 16, 445.85, 6.26770071, 33, 1.24114300000002, 103382, 1, 55.4, 43.2, 44.8, 40.4
base-low-mutation-1, 10, 400, 10, 10, 16, 263.51, 3.83885704, , 0, , 1, 42.0, 36.4, 44.6, 44.6
