work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-microopt-1, 10, 400, 10, 10, 16, 245.86, 3.77556078, , 0, , 1, 35.2, 30.5, 45.8, 39.8
microopt-1, 10, 400, 10, 10, 16, 414.64, 6.15876696, 18, 8.62808799999999, 59472, 1, 42.2, 40.4, 40.2, 42.2
base-microopt-1, 10, 400, 10, 10, 16, 249.50, 3.73428703, , 0, , 1, 37.9, 35.4, 39.4, 35.9
microopt-1, 10, 400, 10, 10, 16, 404.76, 6.04814098, 29, 9.22843399999999, 95005, 1, 37.6, 35.9, 37.9, 35.1
base-microopt-1, 10, 400, 10, 10, 16, 250.07, 3.73272836, , 0, , 1, 36.6, 34.4, 37.4, 34.6
microopt-1, 10, 400, 10, 10, 16, 398.84, 6.04865648, 38, 7.75047899999998, 123128, 1, 36.6, 34.9, 36.9, 34.4
base-microopt-1, 10, 400, 10, 10, 16, 248.19, 3.73811968, , 0, , 1, 36.9, 34.4, 38.9, 38.2
microopt-1, 10, 400, 10, 10, 16, 410.22, 6.09398987, 26, 6.63610499999999, 85215, 1, 40.8, 39.5, 39.4, 35.9
base-microopt-1, 10, 400, 10, 10, 16, 249.61, 3.72844820, , 0, , 1, 38.4, 35.4, 41.2, 38.5
microopt-1, 10, 400, 10, 10, 16, 356.55, 5.36367521, 17, 9.83001300000001, 57066, 1, 38.9, 36.9, 39.4, 37.0
base-microopt-1, 10, 400, 10, 10, 16, 252.76, 3.78840811, , 0, , 1, 41.8, 39.8, 38.9, 35.9
microopt-1, 10, 400, 10, 10, 16, 407.25, 6.08926549, 23, 8.395869, 75737, 1, 41.2, 36.4, 39.9, 35.9
base-microopt-1, 10, 400, 10, 10, 16, 250.09, 3.74691261, , 0, , 1, 37.9, 35.4, 39.6, 36.1
microopt-1, 10, 400, 10, 10, 16, 371.52, 5.42941485, 15, 7.42450200000002, 50337, 1, 37.4, 37.0, 37.4, 35.4
base-microopt-1, 10, 400, 10, 10, 16, 255.17, 3.79055788, , 0, , 1, 37.4, 35.6, 41.2, 38.2
microopt-1, 10, 400, 10, 10, 16, 406.05, 6.03533886, 25, 9.16075499999999, 81850, 1, 46.1, 42.2, 37.4, 35.4
base-microopt-1, 10, 400, 10, 10, 16, 252.57, 3.73633628, , 0, , 1, 37.4, 35.9, 37.4, 35.1
microopt-1, 10, 400, 10, 10, 16, 405.34, 6.05068414, 23, 11.229244, 75934, 1, 40.8, 37.8, 37.4, 34.9
base-microopt-1, 10, 400, 10, 10, 16, 250.41, 3.76900498, , 0, , 1, 37.4, 34.6, 39.8, 36.9
microopt-1, 10, 400, 10, 10, 16, 512.54, 6.53273450, 22, 8.07010600000001, 72348, 1, 38.4, 35.4, 54.0, 46.0
base-microopt-1, 10, 400, 10, 10, 16, 330.91, 4.01014236, , 0, , 1, 47.6, 40.6, 51.2, 42.8
microopt-1, 10, 400, 10, 10, 16, 753.19, 7.67572878, 20, 10.685393, 65872, 1, 56.0, 39.0, 61.0, 42.1
base-microopt-1, 10, 400, 10, 10, 16, 462.47, 4.73523323, , 0, , 2, 47.1, 50.9, 56.1, 45.5
microopt-1, 10, 400, 10, 10, 16, 583.57, 6.85284334, 28, 8.46653900000001, 91794, 1, 50.0, 46.1, 46.6, 44.0
base-microopt-1, 10, 400, 10, 10, 16, 304.59, 4.00691794, , 0, , 1, 41.2, 38.5, 42.2, 38.5
microopt-1, 10, 400, 10, 10, 16, 495.70, 6.58635364, 22, 12.77846, 72910, 1, 41.2, 38.8, 53.4, 45.1
base-microopt-1, 10, 400, 10, 10, 16, 503.58, 4.89791344, , 0, , 1, 47.6, 43.5, 46.4, 43.8
microopt-1, 10, 400, 10, 10, 16, 683.50, 7.57694284, 28, 5.98550699999998, 91214, 1, 49.4, 45.1, 45.2, 42.0
base-microopt-1, 10, 400, 10, 10, 16, 316.21, 4.04110114, , 0, , 1, 45.2, 42.8, 45.1, 42.1
microopt-1, 10, 400, 10, 10, 16, 451.86, 6.36427575, 16, 13.793094, 53323, 1, 46.6, 44.6, 44.6, 42.1
base-microopt-1, 10, 400, 10, 10, 16, 253.76, 3.78367892, , 0, , 1, 41.2, 39.2, 39.8, 36.5
microopt-1, 10, 400, 10, 10, 16, 413.73, 6.10570035, 24, 7.64672000000002, 78914, 1, 44.1, 39.0, 41.2, 39.8
base-microopt-1, 10, 400, 10, 10, 16, 250.47, 3.76131400, , 0, , 1, 38.4, 35.6, 37.9, 35.9
microopt-1, 10, 400, 10, 10, 16, 413.51, 6.12305171, 23, 3.966723, 75313, 1, 38.4, 36.4, 38.9, 36.9
base-microopt-1, 10, 400, 10, 10, 16, 252.23, 3.77395242, , 0, , 1, 37.1, 35.9, 40.2, 36.9
microopt-1, 10, 400, 10, 10, 16, 405.70, 6.05913676, 15, 10.096604, 50160, 1, 41.2, 37.5, 42.5, 39.0
base-microopt-1, 10, 400, 10, 10, 16, 249.90, 3.76842670, , 0, , 1, 38.6, 35.4, 39.8, 36.9
microopt-1, 10, 400, 10, 10, 16, 406.30, 6.07479936, 30, 7.09567199999998, 98346, 1, 42.0, 39.9, 40.1, 37.5
base-microopt-1, 10, 400, 10, 10, 16, 249.29, 3.75035751, , 0, , 1, 38.4, 35.9, 38.4, 35.4
microopt-1, 10, 400, 10, 10, 16, 412.52, 6.13723828, 22, 3.19687099999999, 72074, 1, 37.6, 35.4, 39.8, 35.9
base-microopt-1, 10, 400, 10, 10, 16, 250.03, 3.75420639, , 0, , 1, 39.4, 35.4, 42.0, 37.8
microopt-1, 10, 400, 10, 10, 16, 422.42, 6.20027151, 14, 7.424531, 46880, 2, 38.9, 40.4, 44.2, 44.6
base-microopt-1, 10, 400, 10, 10, 16, 251.33, 3.74891502, , 0, , 1, 38.1, 37.5, 40.8, 37.0
microopt-1, 10, 400, 10, 10, 16, 406.30, 6.09080539, 15, 7.62160299999999, 49658, 1, 39.4, 35.9, 43.8, 40.1
base-microopt-1, 10, 400, 10, 10, 16, 251.01, 3.78424863, , 0, , 1, 38.9, 35.9, 40.2, 37.8
microopt-1, 10, 400, 10, 10, 16, 404.38, 6.05099302, 13, 11.590975, 43502, 1, 38.4, 35.6, 40.4, 37.2
base-microopt-1, 10, 400, 10, 10, 16, 251.64, 3.75487432, , 0, , 1, 40.2, 38.2, 39.8, 37.8
microopt-1, 10, 400, 10, 10, 16, 406.02, 6.06700501, 17, 13.096852, 56019, 1, 43.8, 39.2, 38.4, 35.4
base-microopt-1, 10, 400, 10, 10, 16, 248.92, 3.76015340, , 0, , 1, 38.4, 36.4, 39.4, 37.8
microopt-1, 10, 400, 10, 10, 16, 404.75, 6.09224163, 33, 8.49638700000003, 107710, 1, 38.4, 35.4, 44.1, 42.0
base-microopt-1, 10, 400, 10, 10, 16, 252.00, 3.75661880, , 0, , 1, 37.9, 35.4, 41.2, 39.2
microopt-1, 10, 400, 10, 10, 16, 400.99, 6.06619771, 31, 12.389898, 101667, 1, 39.4, 37.2, 42.8, 36.6
base-microopt-1, 10, 400, 10, 10, 16, 248.07, 3.74279409, , 0, , 1, 37.9, 35.1, 39.4, 37.5
microopt-1, 10, 400, 10, 10, 16, 408.65, 6.18724252, 17, 10.344346, 56331, 1, 39.1, 37.5, 42.2, 39.2
base-microopt-1, 10, 400, 10, 10, 16, 250.84, 3.75441642, , 0, , 1, 37.9, 35.4, 38.9, 36.9
microopt-1, 10, 400, 10, 10, 16, 354.55, 5.37165824, 37, 8.17798199999999, 120520, 1, 38.1, 36.4, 39.4, 36.9
base-microopt-1, 10, 400, 10, 10, 16, 248.52, 3.75293777, , 0, , 1, 38.1, 35.9, 39.4, 36.5
microopt-1, 10, 400, 10, 10, 16, 403.24, 6.05767316, 31, 4.64534300000003, 101912, 1, 38.4, 35.4, 40.4, 39.0
base-microopt-1, 10, 400, 10, 10, 16, 250.53, 3.76461843, , 0, , 1, 37.9, 35.9, 40.2, 37.8
microopt-1, 10, 400, 10, 10, 16, 403.33, 6.08174782, 17, 8.43510199999997, 56241, 1, 38.4, 36.8, 38.9, 38.5
base-microopt-1, 10, 400, 10, 10, 16, 249.81, 3.75183973, , 0, , 1, 37.9, 35.6, 44.0, 39.4
base-microopt-1, 10, 400, 10, 10, 64, 251.01, 3.75651796, , 0, , 1, 38.1, 35.9, 38.4, 35.9
microopt-1, 10, 400, 10, 10, 64, 404.71, 6.02409174, 24, 6.28902399999998, 78924, 1, 40.4, 38.8, 42.2, 40.1
base-microopt-1, 10, 400, 10, 10, 64, 248.96, 3.75703291, , 0, , 1, 38.6, 36.5, 38.4, 35.4
microopt-1, 10, 400, 10, 10, 64, 402.20, 6.04291896, 21, 12.1587, 69378, 1, 38.4, 35.9, 41.2, 38.5
base-microopt-1, 10, 400, 10, 10, 64, 251.21, 3.73615523, , 0, , 1, 37.6, 35.9, 38.4, 35.9
microopt-1, 10, 400, 10, 10, 64, 427.15, 6.22203108, 12, 11.15782, 40317, 2, 37.9, 38.5, 38.4, 37.0
base-microopt-1, 10, 400, 10, 10, 64, 251.34, 3.75895669, , 0, , 1, 39.9, 39.0, 38.4, 35.4
microopt-1, 10, 400, 10, 10, 64, 405.84, 6.05666362, 11, 16.634442, 37065, 1, 38.9, 38.0, 45.8, 41.4
base-microopt-1, 10, 400, 10, 10, 64, 251.18, 3.74381248, , 0, , 1, 37.9, 35.4, 41.0, 38.0
microopt-1, 10, 400, 10, 10, 64, 407.17, 6.07539798, 22, 1.589271, 72084, 1, 38.4, 35.4, 38.1, 35.4
