work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-no-alpha-mut, 10, 400, 10, 10, 16, 258.00, 3.85231231, , 0, , 2, 32.5, 35.9, 41.2, 43.8
no-alpha-mut, 10, 400, 10, 10, 16, 363.70, 5.37564417, 128, 0.00482499999998254, 335341, 1, 41.2, 40.1, 39.1, 37.5
base-no-alpha-mut, 10, 400, 10, 10, 16, 251.42, 3.74623020, , 0, , 1, 38.4, 36.4, 45.9, 38.2
no-alpha-mut, 10, 400, 10, 10, 16, 405.05, 6.02923812, 97, 0.00982699999997294, 265409, 1, 45.6, 40.4, 42.0, 42.8
base-no-alpha-mut, 10, 400, 10, 10, 16, 253.99, 3.76606804, , 0, , 1, 40.8, 38.0, 40.1, 40.9
no-alpha-mut, 10, 400, 10, 10, 16, 358.57, 5.37896899, 130, 0.00380999999998721, 337582, 1, 37.4, 34.9, 47.1, 38.2
base-no-alpha-mut, 10, 400, 10, 10, 16, 266.51, 3.79871081, , 0, , 1, 38.9, 36.4, 45.1, 43.0
no-alpha-mut, 10, 400, 10, 10, 16, 459.07, 6.33820934, 117, 0.019943000000012, 307646, 1, 46.2, 45.0, 46.6, 39.4
base-no-alpha-mut, 10, 400, 10, 10, 16, 253.97, 3.76334611, , 0, , 1, 38.4, 36.9, 44.2, 44.2
no-alpha-mut, 10, 400, 10, 10, 16, 435.35, 6.21949393, 78, 0.0064570000000117, 216435, 2, 38.9, 39.4, 36.6, 35.9
base-no-alpha-mut, 10, 400, 10, 10, 16, 258.51, 3.79398595, , 0, , 1, 36.6, 35.9, 45.2, 38.2
no-alpha-mut, 10, 400, 10, 10, 16, 427.63, 6.11591802, 103, 0.00734799999997904, 276861, 1, 48.4, 39.0, 45.0, 36.4
base-no-alpha-mut, 10, 400, 10, 10, 16, 259.23, 3.79740649, , 0, , 1, 39.8, 36.4, 65.4, 37.5
no-alpha-mut, 10, 400, 10, 10, 16, 470.91, 6.37332364, 82, 0.0134459999999876, 227775, 1, 68.2, 36.1, 44.6, 40.6
base-no-alpha-mut, 10, 400, 10, 10, 16, 267.82, 3.85414802, , 0, , 1, 43.2, 40.1, 44.1, 40.6
no-alpha-mut, 10, 400, 10, 10, 16, 427.37, 6.16432016, 80, 0.00578999999999041, 220729, 1, 50.8, 41.1, 45.1, 39.8
base-no-alpha-mut, 10, 400, 10, 10, 16, 255.84, 3.74766649, , 0, , 1, 38.9, 37.2, 36.6, 34.9
no-alpha-mut, 10, 400, 10, 10, 16, 415.11, 6.06473322, 100, 0.0050380000000132, 268717, 1, 39.8, 37.2, 68.8, 43.8
base-no-alpha-mut, 10, 400, 10, 10, 16, 255.60, 3.79088445, , 0, , 1, 65.4, 41.6, 44.5, 40.1
no-alpha-mut, 10, 400, 10, 10, 16, 425.13, 6.14920151, 83, 0.0175219999999854, 228976, 1, 47.1, 41.4, 48.5, 40.4
base-no-alpha-mut, 10, 400, 10, 10, 16, 281.54, 3.89588329, , 0, , 1, 42.8, 40.1, 47.1, 40.1
no-alpha-mut, 10, 400, 10, 10, 16, 428.81, 6.13374559, 79, 0.00664000000000442, 217021, 1, 45.6, 42.2, 43.2, 40.6
base-no-alpha-mut, 10, 400, 10, 10, 16, 263.72, 3.79958099, , 0, , 1, 45.9, 42.6, 43.8, 41.1
no-alpha-mut, 10, 400, 10, 10, 16, 415.19, 6.06687640, 63, 0.0351820000000203, 180795, 1, 47.1, 42.2, 42.8, 43.8
base-no-alpha-mut, 10, 400, 10, 10, 16, 253.61, 3.76604620, , 0, , 1, 40.2, 37.8, 43.2, 41.1
no-alpha-mut, 10, 400, 10, 10, 16, 497.32, 6.43855387, 93, 0.00802800000002435, 250418, 1, 45.2, 38.8, 44.1, 41.6
base-no-alpha-mut, 10, 400, 10, 10, 16, 253.85, 3.76019160, , 0, , 1, 41.8, 38.2, 42.8, 43.2
