work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 271.06, 3.93483235, , 0, , 1, 31.1, 30.1, 36.4, 34.6
no-alpha-mut-4, 10, 400, 10, 10, 16, 435.61, 6.21956311, 60, 0.0424550000000181, 172792, 1, 36.1, 34.4, 37.1, 34.9
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 272.82, 3.83696775, , 0, , 1, 37.9, 35.6, 42.2, 41.9
no-alpha-mut-4, 10, 400, 10, 10, 16, 435.87, 6.21792123, 146, 0.00126799999998184, 375889, 1, 41.0, 34.4, 35.9, 34.4
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 254.37, 3.77919551, , 0, , 1, 35.8, 34.4, 39.4, 35.1
no-alpha-mut-4, 10, 400, 10, 10, 16, 422.55, 6.19898877, 42, 0.0459710000000086, 126911, 1, 36.6, 34.4, 46.6, 39.2
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 269.14, 3.84911674, , 0, , 1, 44.5, 40.4, 36.4, 34.9
no-alpha-mut-4, 10, 400, 10, 10, 16, 437.67, 6.25443648, 91, 0.0160089999999968, 248324, 1, 37.9, 35.6, 37.4, 34.0
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 267.02, 3.81940152, , 0, , 1, 36.9, 34.4, 37.9, 34.9
no-alpha-mut-4, 10, 400, 10, 10, 16, 458.69, 6.34612497, 67, 0.00759599999997818, 190608, 1, 38.1, 34.9, 36.4, 34.9
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 272.61, 3.87369290, , 0, , 1, 36.4, 34.9, 37.4, 34.4
no-alpha-mut-4, 10, 400, 10, 10, 16, 413.50, 6.11961587, 88, 0.00778400000001511, 239966, 1, 36.4, 34.4, 37.6, 36.6
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 262.32, 3.80668388, , 0, , 1, 36.1, 34.9, 35.9, 34.9
no-alpha-mut-4, 10, 400, 10, 10, 16, 416.15, 6.14386962, 83, 0.00808799999998655, 225279, 1, 45.0, 36.6, 35.9, 34.4
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 251.56, 3.79884751, , 0, , 1, 36.4, 34.9, 38.1, 34.4
no-alpha-mut-4, 10, 400, 10, 10, 16, 407.44, 6.12973954, 81, 0.0102309999999761, 223871, 1, 36.9, 34.4, 36.4, 34.9
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 253.89, 3.79628828, , 0, , 1, 38.4, 35.1, 37.4, 34.9
no-alpha-mut-4, 10, 400, 10, 10, 16, 414.91, 6.14563111, 92, 0.00810699999999542, 249918, 1, 36.9, 34.9, 36.6, 34.9
base-no-alpha-mut-4, 10, 400, 10, 10, 16, 263.19, 3.83863582, , 0, , 1, 38.4, 34.9, 36.4, 34.4
no-alpha-mut-4, 10, 400, 10, 10, 16, 351.10, 5.36844851, 91, 0.00347599999997783, 249255, 1, 36.9, 34.9, 35.9, 34.4
