work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gradient-descent-1, 10, 400, 10, 10, 16, 248.83, 4.48596072, , 0, , 34.8, 32.5, 36.6, 34.4
gradient-descent-1, 10, 400, 10, 10, 16, 601.24, 8.94270938, 24, 8.335633, 79314, 40.8, 36.4, 51.9, 37.0
base-gradient-descent-1, 10, 400, 10, 10, 16, 295.43, 4.62216163, , 0, , 44.6, 38.8, 36.4, 34.4
gradient-descent-1, 10, 400, 10, 10, 16, 522.93, 8.60452390, 22, 5.93969200000001, 72990, 40.8, 34.9, 40.1, 35.9
base-gradient-descent-1, 10, 400, 10, 10, 16, 279.86, 4.56493995, , 0, , 40.2, 34.9, 34.5, 33.0
gradient-descent-1, 10, 400, 10, 10, 16, 412.54, 7.48203770, 21, 16.104861, 69545, 44.1, 33.9, 38.9, 33.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 245.13, 4.41906004, , 0, , 35.0, 33.4, 35.2, 40.9
gradient-descent-1, 10, 400, 10, 10, 16, 459.09, 8.15837843, 41, 10.486978, 132872, 36.1, 40.6, 40.2, 35.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 230.84, 4.37535231, , 0, , 40.4, 35.4, 37.1, 33.4
gradient-descent-1, 10, 400, 10, 10, 16, 469.67, 8.32276387, 33, 10.316597, 108675, 35.0, 32.5, 45.0, 33.0
base-gradient-descent-1, 10, 400, 10, 10, 16, 237.60, 4.39610387, , 0, , 46.4, 33.4, 38.1, 33.0
gradient-descent-1, 10, 400, 10, 10, 16, 453.84, 8.19188357, 20, 12.329431, 66723, 40.8, 33.8, 37.1, 33.9
base-gradient-descent-1, 10, 400, 10, 10, 16, 236.44, 4.37386060, , 0, , 40.4, 33.9, 37.4, 33.4
gradient-descent-1, 10, 400, 10, 10, 16, 439.54, 8.17592015, 44, 9.36630000000001, 143968, 38.1, 33.9, 47.1, 33.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 239.46, 4.40837194, , 0, , 42.8, 33.0, 35.9, 34.1
gradient-descent-1, 10, 400, 10, 10, 16, 449.64, 8.19348921, 23, 6.72578300000001, 76435, 37.1, 34.4, 37.6, 34.9
base-gradient-descent-1, 10, 400, 10, 10, 16, 278.27, 4.54105946, , 0, , 38.6, 34.9, 45.8, 36.1
gradient-descent-1, 10, 400, 10, 10, 16, 459.32, 8.23523571, 17, 15.869765, 56944, 38.9, 34.9, 36.9, 33.9
base-gradient-descent-1, 10, 400, 10, 10, 16, 304.30, 4.65066444, , 0, , 42.8, 33.4, 37.9, 36.8
gradient-descent-1, 10, 400, 10, 10, 16, 559.27, 8.68482054, 29, 6.54172100000001, 95080, 49.6, 46.9, 38.1, 35.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 258.85, 4.48032469, , 0, , 37.6, 34.4, 39.6, 33.9
gradient-descent-1, 10, 400, 10, 10, 16, 512.85, 8.50923968, 16, 14.954524, 53597, 37.1, 34.1, 44.8, 33.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 250.99, 4.48945206, , 0, , 36.6, 33.4, 40.2, 33.9
gradient-descent-1, 10, 400, 10, 10, 16, 468.78, 8.32832459, 41, 10.094032, 134497, 38.4, 33.9, 46.8, 34.6
base-gradient-descent-1, 10, 400, 10, 10, 16, 308.00, 4.60726473, , 0, , 36.4, 36.5, 40.4, 39.4
gradient-descent-1, 10, 400, 10, 10, 16, 450.19, 8.25609731, 21, 18.380627, 69458, 41.0, 38.5, 51.2, 34.4
base-gradient-descent-1, 10, 400, 10, 10, 16, 245.50, 4.41146293, , 0, , 41.5, 34.9, 36.4, 34.4
gradient-descent-1, 10, 400, 10, 10, 16, 407.33, 7.48115153, 12, 7.003834, 40345, 39.9, 34.9, 45.6, 34.9
base-gradient-descent-1, 10, 400, 10, 10, 16, 246.00, 4.40614755, , 0, , 46.6, 34.4, 44.5, 42.0
gradient-descent-1, 10, 400, 10, 10, 16, 455.27, 8.22534189, 46, 6.97369500000001, 149695, 37.4, 34.4, 39.8, 34.6
base-gradient-descent-1, 10, 400, 10, 10, 16, 238.73, 4.40231907, , 0, , 36.9, 34.9, 40.8, 40.4
gradient-descent-1, 10, 400, 10, 10, 16, 458.45, 8.31877312, 27, 11.073319, 89199, 37.9, 34.9, 53.4, 48.8
base-gradient-descent-1, 10, 400, 10, 10, 16, 407.85, 4.91844704, , 0, , 47.9, 52.4, 38.4, 37.5
gradient-descent-1, 10, 400, 10, 10, 16, 718.28, 9.29711178, 40, 4.55515700000001, 130504, 37.9, 37.8, 46.6, 39.8
base-gradient-descent-1, 10, 400, 10, 10, 16, 325.97, 4.65705434, , 0, , 40.4, 38.2, 38.6, 35.4
gradient-descent-1, 10, 400, 10, 10, 16, 536.20, 8.38878279, 21, 14.989885, 69914, 38.1, 35.9, 40.8, 33.9
