work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-gradient-descent-3, 10, 400, 10, 10, 16, 198.34, 4.22907629, , 0, , 1, 33.5, 28.6, 32.5, 30.1
gradient-descent-3, 10, 400, 10, 10, 16, 376.79, 7.80735929, 19, 11.270215, 63080, 1, 34.0, 31.5, 31.8, 29.6
base-gradient-descent-3, 10, 400, 10, 10, 16, 194.61, 4.16618141, , 0, , 1, 32.0, 30.5, 34.5, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 368.53, 7.74931778, 24, 12.237375, 79000, 1, 33.5, 31.5, 34.2, 33.2
base-gradient-descent-3, 10, 400, 10, 10, 16, 207.11, 4.23971453, , 0, , 1, 33.8, 32.0, 33.2, 30.5
gradient-descent-3, 10, 400, 10, 10, 16, 360.41, 7.73528101, 14, 14.238058, 46929, 1, 35.2, 32.0, 32.8, 30.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 188.79, 4.18691007, , 0, , 1, 32.0, 31.5, 35.8, 30.9
gradient-descent-3, 10, 400, 10, 10, 16, 358.93, 7.73372001, 12, 12.624529, 40385, 1, 34.8, 31.0, 32.5, 30.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 194.82, 4.17452929, , 0, , 1, 32.5, 31.5, 35.4, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 327.69, 7.02646781, 12, 9.50639200000001, 40432, 1, 34.5, 31.1, 32.8, 33.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 186.53, 4.18900813, , 0, , 1, 33.0, 32.0, 35.9, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 346.85, 7.76129021, 41, 10.636442, 134383, 1, 36.4, 33.0, 35.2, 31.2
base-gradient-descent-3, 10, 400, 10, 10, 16, 194.01, 4.16447763, , 0, , 1, 33.2, 31.5, 34.4, 31.4
gradient-descent-3, 10, 400, 10, 10, 16, 349.86, 7.77247869, 21, 14.071435, 69989, 1, 34.0, 32.0, 35.9, 32.1
base-gradient-descent-3, 10, 400, 10, 10, 16, 192.31, 4.18318841, , 0, , 1, 33.5, 31.5, 34.9, 31.1
gradient-descent-3, 10, 400, 10, 10, 16, 364.63, 7.85573288, 15, 12.430002, 50289, 1, 34.0, 31.5, 35.9, 34.1
base-gradient-descent-3, 10, 400, 10, 10, 16, 191.98, 4.20391511, , 0, , 1, 33.0, 32.0, 32.5, 30.1
gradient-descent-3, 10, 400, 10, 10, 16, 359.51, 7.77953383, 22, 9.27996800000001, 72605, 1, 34.0, 31.0, 34.4, 31.1
base-gradient-descent-3, 10, 400, 10, 10, 16, 198.83, 4.20637041, , 0, , 1, 34.0, 32.2, 32.0, 30.1
gradient-descent-3, 10, 400, 10, 10, 16, 356.70, 7.74939449, 14, 11.277833, 46936, 1, 33.5, 31.0, 34.0, 31.0
base-gradient-descent-3, 10, 400, 10, 10, 16, 192.42, 4.17684047, , 0, , 1, 33.0, 31.0, 37.1, 30.5
gradient-descent-3, 10, 400, 10, 10, 16, 362.63, 7.75489072, 28, 5.70070700000001, 92102, 1, 34.0, 31.5, 33.0, 30.9
base-gradient-descent-3, 10, 400, 10, 10, 16, 187.23, 4.16823171, , 0, , 1, 32.5, 31.5, 36.4, 33.2
gradient-descent-3, 10, 400, 10, 10, 16, 359.53, 7.74609631, 17, 8.312055, 56702, 1, 35.8, 31.8, 33.8, 31.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 190.94, 4.20157855, , 0, , 1, 33.2, 31.0, 37.6, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 357.21, 7.75037088, 25, 10.682504, 82953, 1, 34.5, 31.0, 35.2, 32.8
base-gradient-descent-3, 10, 400, 10, 10, 16, 190.41, 4.17102628, , 0, , 1, 33.0, 31.5, 34.4, 31.5
gradient-descent-3, 10, 400, 10, 10, 16, 370.47, 7.80564711, 11, 19.456703, 37133, 1, 33.5, 32.0, 31.5, 30.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 203.06, 4.22648772, , 0, , 1, 32.0, 30.5, 31.8, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 325.48, 7.01951073, 13, 9.836714, 43943, 1, 33.2, 31.6, 32.8, 31.0
base-gradient-descent-3, 10, 400, 10, 10, 16, 186.56, 4.19346670, , 0, , 1, 32.5, 31.5, 35.8, 31.5
gradient-descent-3, 10, 400, 10, 10, 16, 350.51, 7.78547607, 30, 16.797449, 98604, 1, 35.4, 31.5, 35.8, 30.9
base-gradient-descent-3, 10, 400, 10, 10, 16, 195.48, 4.20708290, , 0, , 1, 34.5, 31.5, 32.8, 31.0
gradient-descent-3, 10, 400, 10, 10, 16, 351.42, 7.77083201, 31, 9.98197900000001, 102217, 1, 32.8, 31.5, 37.4, 32.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 212.59, 4.26852871, , 0, , 1, 35.0, 31.5, 34.0, 31.5
gradient-descent-3, 10, 400, 10, 10, 16, 413.23, 7.96825335, 17, 16.423065, 56639, 1, 33.0, 31.5, 33.5, 31.5
base-gradient-descent-3, 10, 400, 10, 10, 16, 212.64, 4.26680371, , 0, , 1, 33.5, 31.5, 33.5, 31.0
