work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-hc-64-3, 10, 400, 10, 10, 195.84, 4.26402094, , 0, , 27.2, 27.1
hc-64-3, 10, 400, 10, 10, 335.81, 7.04340921, 17, 14.134337, 204213, 35.8, 32.2
base-hc-64-3, 10, 400, 10, 10, 197.09, 4.23339280, , 0, , 34.2, 30.9
hc-64-3, 10, 400, 10, 10, 330.24, 7.04862446, 18, 11.694145, 216205, 32.5, 31.2
base-hc-64-3, 10, 400, 10, 10, 188.09, 4.20083866, , 0, , 37.4, 35.1
hc-64-3, 10, 400, 10, 10, 325.22, 7.01555177, 17, 4.536581, 205197, 37.1, 30.1
base-hc-64-3, 10, 400, 10, 10, 190.39, 4.18224511, , 0, , 31.2, 29.6
hc-64-3, 10, 400, 10, 10, 413.57, 7.38612105, 14, 12.19734, 169611, 34.0, 30.1
base-hc-64-3, 10, 400, 10, 10, 321.32, 4.67596786, , 0, , 45.0, 38.8
hc-64-3, 10, 400, 10, 10, 351.55, 7.08770534, 20, 7.85566900000001, 243532, 35.0, 30.1
base-hc-64-3, 10, 400, 10, 10, 232.01, 4.35389028, , 0, , 35.4, 31.5
hc-64-3, 10, 400, 10, 10, 325.96, 7.04836797, 16, 15.607455, 193127, 35.9, 31.0
base-hc-64-3, 10, 400, 10, 10, 190.50, 4.18354104, , 0, , 36.6, 32.5
hc-64-3, 10, 400, 10, 10, 327.79, 7.01101938, 27, 17.40675, 328480, 36.1, 31.8
base-hc-64-3, 10, 400, 10, 10, 208.06, 4.22689856, , 0, , 32.2, 29.9
hc-64-3, 10, 400, 10, 10, 369.81, 7.21177204, 16, 11.929193, 191932, 32.5, 31.0
base-hc-64-3, 10, 400, 10, 10, 323.40, 4.68127123, , 0, , 35.0, 32.5
hc-64-3, 10, 400, 10, 10, 420.39, 7.35504939, 16, 8.62550400000001, 193805, 46.1, 42.1
base-hc-64-3, 10, 400, 10, 10, 283.45, 4.50291583, , 0, , 36.4, 31.1
hc-64-3, 10, 400, 10, 10, 612.41, 8.34803016, 15, 11.315179, 182655, 48.0, 40.1
base-hc-64-3, 10, 400, 10, 10, 220.04, 4.27103473, , 0, , 50.4, 34.1
hc-64-3, 10, 400, 10, 10, 367.08, 7.24790310, 18, 13.55113, 217104, 35.4, 30.9
base-hc-64-3, 10, 400, 10, 10, 213.98, 4.24870384, , 0, , 36.9, 31.5
hc-64-3, 10, 400, 10, 10, 582.64, 8.11770837, 15, 13.355767, 180995, 39.6, 35.6
base-hc-64-3, 10, 400, 10, 10, 316.76, 4.72744019, , 0, , 41.5, 36.8
hc-64-3, 10, 400, 10, 10, 531.29, 8.00342752, 15, 13.993864, 178569, 42.2, 50.4
base-hc-64-3, 10, 400, 10, 10, 275.19, 4.54001694, , 0, , 39.9, 39.9
hc-64-3, 10, 400, 10, 10, 388.94, 7.33818145, 23, 9.185356, 277773, 31.8, 33.0
base-hc-64-3, 10, 400, 10, 10, 213.35, 4.34571175, , 0, , 32.5, 32.8
hc-64-3, 10, 400, 10, 10, 345.65, 7.21236401, 29, 10.123583, 348268, 36.9, 36.9
base-hc-64-3, 10, 400, 10, 10, 196.51, 4.20725601, , 0, , 32.5, 32.0
hc-64-3, 10, 400, 10, 10, 323.29, 7.02536788, 20, 13.235363, 242909, 32.5, 30.5
base-hc-64-3, 10, 400, 10, 10, 262.30, 4.41836172, , 0, , 38.6, 32.1
hc-64-3, 10, 400, 10, 10, 343.70, 7.05376584, 19, 10.264632, 230937, 36.4, 32.0
base-hc-64-3, 10, 400, 10, 10, 212.69, 4.22702786, , 0, , 33.5, 31.6
hc-64-3, 10, 400, 10, 10, 349.81, 7.10006668, 33, 12.434077, 395907, 36.9, 35.1
base-hc-64-3, 10, 400, 10, 10, 203.04, 4.24529086, , 0, , 39.8, 33.2
hc-64-3, 10, 400, 10, 10, 339.33, 7.08023462, 43, 10.71836, 519876, 33.2, 31.5
base-hc-64-3, 10, 400, 10, 10, 188.02, 4.19352607, , 0, , 37.4, 33.9
