work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-initial, 10, 400, 10, 10, 311.20, 6.57039452, , 0, 
cec-initial, 10, 400, 10, 10, 437.26, 8.92354079, 31, 4.98048499999999, 115458
base-cec-initial, 10, 400, 10, 10, 353.26, 6.63014174, , 0, 
cec-initial, 10, 400, 10, 10, 464.20, 9.02675160, 30, 4.72067299999998, 111505
base-cec-initial, 10, 400, 10, 10, 330.16, 6.55605554, , 0, 
cec-initial, 10, 400, 10, 10, 432.43, 8.98004948, 20, 3.00458299999997, 74614
base-cec-initial, 10, 400, 10, 10, 357.11, 6.67335626, , 0, 
cec-initial, 10, 400, 10, 10, 442.15, 8.94582949, 31, 5.04515199999997, 115125
base-cec-initial, 10, 400, 10, 10, 330.19, 6.58487589, , 0, 
cec-initial, 10, 400, 10, 10, 441.73, 8.97459717, 16, 4.25515899999999, 59865
base-cec-initial, 10, 400, 10, 10, 353.00, 6.64880579, , 0, 
cec-initial, 10, 400, 10, 10, 443.36, 8.99983412, 15, 5.69052399999998, 56210
base-cec-initial, 10, 400, 10, 10, 325.36, 6.56700087, , 0, 
cec-initial, 10, 400, 10, 10, 451.53, 9.00472362, 20, 5.34823799999998, 74677
base-cec-initial, 10, 400, 10, 10, 356.70, 6.67247718, , 0, 
cec-initial, 10, 400, 10, 10, 440.27, 8.94194038, 17, 4.51350600000001, 63538
base-cec-initial, 10, 400, 10, 10, 340.01, 6.62242654, , 0, 
cec-initial, 10, 400, 10, 10, 474.53, 9.07486326, 12, 2.90462500000001, 44995
base-cec-initial, 10, 400, 10, 10, 445.27, 7.03625423, , 0, 
cec-initial, 10, 400, 10, 10, 476.25, 9.14271183, 17, 6.36202900000001, 63884
base-cec-initial, 10, 400, 10, 10, 331.55, 6.60687320, , 0, 
cec-initial, 10, 400, 10, 10, 443.40, 9.05231891, 38, 5.49035399999997, 141014
base-cec-initial, 10, 400, 10, 10, 338.95, 6.63752881, , 0, 
cec-initial, 10, 400, 10, 10, 455.57, 9.07660319, 17, 3.87641500000001, 63688
base-cec-initial, 10, 400, 10, 10, 341.49, 6.67550274, , 0, 
cec-initial, 10, 400, 10, 10, 489.25, 9.17994778, 17, 4.78049899999996, 63630
base-cec-initial, 10, 400, 10, 10, 340.17, 6.69153898, , 0, 
cec-initial, 10, 400, 10, 10, 443.61, 8.97919525, 22, 5.55734899999999, 82074
base-cec-initial, 10, 400, 10, 10, 336.42, 6.66655869, , 0, 
cec-initial, 10, 400, 10, 10, 461.77, 9.09157669, 17, 5.45480499999996, 63475
base-cec-initial, 10, 400, 10, 10, 336.66, 6.60470336, , 0, 
cec-initial, 10, 400, 10, 10, 453.53, 9.03921086, 16, 6.34687199999996, 59855
base-cec-initial, 10, 400, 10, 10, 330.05, 6.60189064, , 0, 
cec-initial, 10, 400, 10, 10, 477.48, 9.14179452, 27, 2.18907100000001, 100707
base-cec-initial, 10, 400, 10, 10, 353.46, 6.71171772, , 0, 
cec-initial, 10, 400, 10, 10, 452.99, 8.98761621, 20, 5.01366999999999, 74897
base-cec-initial, 10, 400, 10, 10, 342.02, 6.69263489, , 0, 
