work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-sandwich, 10, 400, 10, 10, 321.97, 6.64942813, , 0, 
cec-sandwich, 10, 400, 10, 10, 456.67, 9.02083344, 13, 4.007139, 48877
base-cec-sandwich, 10, 400, 10, 10, 331.52, 6.62291606, , 0, 
cec-sandwich, 10, 400, 10, 10, 445.78, 9.01371978, 17, 5.12383499999999, 63727
base-cec-sandwich, 10, 400, 10, 10, 326.42, 6.61313744, , 0, 
cec-sandwich, 10, 400, 10, 10, 450.32, 9.00555565, 14, 4.568107, 52807
base-cec-sandwich, 10, 400, 10, 10, 323.87, 6.57906543, , 0, 
cec-sandwich, 10, 400, 10, 10, 450.27, 9.01807204, 17, 5.43576300000001, 63633
base-cec-sandwich, 10, 400, 10, 10, 324.75, 6.61950100, , 0, 
cec-sandwich, 10, 400, 10, 10, 442.34, 9.00532895, 29, 3.41791999999998, 108199
base-cec-sandwich, 10, 400, 10, 10, 322.93, 6.61370301, , 0, 
cec-sandwich, 10, 400, 10, 10, 443.40, 9.01363793, 20, 4.800319, 74758
base-cec-sandwich, 10, 400, 10, 10, 313.26, 6.54489281, , 0, 
cec-sandwich, 10, 400, 10, 10, 440.76, 8.98654225, 13, 3.50640799999996, 49025
base-cec-sandwich, 10, 400, 10, 10, 329.85, 6.61610781, , 0, 
cec-sandwich, 10, 400, 10, 10, 434.71, 9.00373578, 21, 4.99184700000001, 78465
base-cec-sandwich, 10, 400, 10, 10, 321.28, 6.57512334, , 0, 
cec-sandwich, 10, 400, 10, 10, 451.28, 9.05802319, 28, 2.85114899999996, 104152
base-cec-sandwich, 10, 400, 10, 10, 321.76, 6.56630287, , 0, 
cec-sandwich, 10, 400, 10, 10, 442.48, 8.99421882, 19, 4.32340899999997, 70985
base-cec-sandwich, 10, 400, 10, 10, 331.54, 6.61652444, , 0, 
cec-sandwich, 10, 400, 10, 10, 440.87, 8.99919222, 14, 4.13169399999998, 52752
base-cec-sandwich, 10, 400, 10, 10, 325.72, 6.61639872, , 0, 
cec-sandwich, 10, 400, 10, 10, 445.09, 9.03671564, 22, 3.49070499999999, 82176
base-cec-sandwich, 10, 400, 10, 10, 321.88, 6.62724478, , 0, 
cec-sandwich, 10, 400, 10, 10, 443.02, 9.02308183, 36, 2.68314499999997, 133774
base-cec-sandwich, 10, 400, 10, 10, 329.79, 6.63038950, , 0, 
cec-sandwich, 10, 400, 10, 10, 448.19, 8.99598372, 22, 4.80327499999999, 82113
base-cec-sandwich, 10, 400, 10, 10, 329.22, 6.63821221, , 0, 
cec-sandwich, 10, 400, 10, 10, 446.80, 8.99610001, 23, 5.61414300000001, 85894
base-cec-sandwich, 10, 400, 10, 10, 322.22, 6.57502187, , 0, 
cec-sandwich, 10, 400, 10, 10, 434.84, 9.03019031, 13, 6.69883599999997, 48873
base-cec-sandwich, 10, 400, 10, 10, 325.40, 6.62399844, , 0, 
cec-sandwich, 10, 400, 10, 10, 443.97, 9.05688499, 26, 4.86899499999998, 97030
base-cec-sandwich, 10, 400, 10, 10, 324.70, 6.59950482, , 0, 
cec-sandwich, 10, 400, 10, 10, 447.57, 9.05866903, 16, 5.64842599999997, 59868
base-cec-sandwich, 10, 400, 10, 10, 324.91, 6.60586458, , 0, 
cec-sandwich, 10, 400, 10, 10, 431.91, 8.96772129, 21, 4.192297, 78208
base-cec-sandwich, 10, 400, 10, 10, 331.32, 6.60477282, , 0, 
cec-sandwich, 10, 400, 10, 10, 446.63, 9.00591016, 23, 6.73538300000001, 85647
base-cec-sandwich, 10, 400, 10, 10, 312.08, 6.58836062, , 0, 
cec-sandwich, 10, 400, 10, 10, 436.35, 8.96951576, 23, 3.78166799999997, 85965
base-cec-sandwich, 10, 400, 10, 10, 329.66, 6.60502852, , 0, 
cec-sandwich, 10, 400, 10, 10, 437.43, 8.99477729, 16, 5.33420000000001, 60053
base-cec-sandwich, 10, 400, 10, 10, 327.25, 6.66698231, , 0, 
cec-sandwich, 10, 400, 10, 10, 457.77, 9.08232797, 22, 5.19724099999996, 82352
base-cec-sandwich, 10, 400, 10, 10, 330.74, 6.62907828, , 0, 
cec-sandwich, 10, 400, 10, 10, 432.01, 8.97501495, 15, 3.92044299999998, 56339
base-cec-sandwich, 10, 400, 10, 10, 321.59, 6.61609583, , 0, 
cec-sandwich, 10, 400, 10, 10, 434.37, 8.98327899, 28, 3.42950400000001, 104372
base-cec-sandwich, 10, 400, 10, 10, 324.49, 6.63030646, , 0, 
cec-sandwich, 10, 400, 10, 10, 440.33, 8.99140410, 18, 3.78227299999998, 67390
base-cec-sandwich, 10, 400, 10, 10, 328.87, 6.60970000, , 0, 
cec-sandwich, 10, 400, 10, 10, 445.12, 9.10454973, 29, 4.10861199999999, 108089
base-cec-sandwich, 10, 400, 10, 10, 324.56, 6.64054593, , 0, 
cec-sandwich, 10, 400, 10, 10, 449.51, 9.02305312, 26, 3.32973599999997, 97006
base-cec-sandwich, 10, 400, 10, 10, 328.27, 6.63083636, , 0, 
cec-sandwich, 10, 400, 10, 10, 437.17, 9.00062597, 34, 5.93239399999999, 126124
base-cec-sandwich, 10, 400, 10, 10, 320.19, 6.62536192, , 0, 
cec-sandwich, 10, 400, 10, 10, 427.31, 8.91668497, 25, 3.56636800000001, 93283
cec-sandwich, 10, 400, 10, 10, 445.41, 9.03356643, 18, 5.12084399999998, 67301
base-cec-sandwich, 10, 400, 25, 10, 323.20, 6.61912031, , 0, 
cec-sandwich, 10, 400, 25, 10, 445.11, 9.05780731, 34, 3.97412399999996, 126292
base-cec-sandwich, 10, 400, 25, 10, 320.02, 6.58886815, , 0, 
cec-sandwich, 10, 400, 25, 10, 450.17, 9.10479382, 51, 2.530036, 189235
base-cec-sandwich, 10, 400, 25, 10, 324.44, 6.62099300, , 0, 
cec-sandwich, 10, 400, 25, 10, 446.75, 9.01753833, 38, 5.01261499999998, 141110
base-cec-sandwich, 10, 400, 25, 10, 329.72, 6.61015433, , 0, 
