work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-mixed-v2, 10, 400, 10, 10, 324.18, 6.95077432, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 468.89, 9.46270678, 22, 5.37941199999999, 82007
base-cec-mixed-v2, 10, 400, 10, 10, 325.70, 6.94233811, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 431.04, 9.32527868, 20, 5.773386, 74642
base-cec-mixed-v2, 10, 400, 10, 10, 328.23, 6.93149223, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 506.76, 9.53219866, 18, 4.294583, 67274
base-cec-mixed-v2, 10, 400, 10, 10, 370.40, 7.06748028, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 518.78, 9.61328785, 27, 3.796819, 100523
base-cec-mixed-v2, 10, 400, 10, 10, 344.92, 7.01535514, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 503.90, 9.55888798, 16, 7.206174, 59895
base-cec-mixed-v2, 10, 400, 10, 10, 388.21, 7.16445146, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 494.95, 9.58401546, 53, 6.817866, 196094
base-cec-mixed-v2, 10, 400, 10, 10, 352.60, 7.02542443, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 500.82, 9.54379136, 12, 8.340752, 45123
base-cec-mixed-v2, 10, 400, 10, 10, 385.52, 7.15658030, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 519.30, 9.61174518, 17, 3.476729, 63490
base-cec-mixed-v2, 10, 400, 10, 10, 366.28, 7.08466725, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 524.54, 9.65033823, 34, 4.298603, 126468
base-cec-mixed-v2, 10, 400, 10, 10, 392.55, 7.19719475, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 526.61, 9.61947909, 14, 7.584261, 52594
base-cec-mixed-v2, 10, 400, 10, 10, 366.02, 7.08809811, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 503.52, 9.59067259, 25, 5.049632, 93044
base-cec-mixed-v2, 10, 400, 10, 10, 385.84, 7.14542216, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 475.99, 9.49986675, 22, 5.133922, 82052
base-cec-mixed-v2, 10, 400, 10, 10, 363.26, 7.07664000, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 504.95, 9.56099905, 13, 5.273037, 48792
base-cec-mixed-v2, 10, 400, 10, 10, 371.03, 7.07769300, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 523.21, 9.64802118, 12, 6.74993, 45150
base-cec-mixed-v2, 10, 400, 10, 10, 335.52, 6.95974567, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 442.71, 9.35669468, 16, 6.555837, 59829
base-cec-mixed-v2, 10, 400, 10, 10, 329.08, 6.94197447, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 487.34, 9.49620604, 19, 3.794266, 71077
base-cec-mixed-v2, 10, 400, 10, 10, 367.57, 7.07734868, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 452.78, 9.40119150, 16, 9.416331, 59890
base-cec-mixed-v2, 10, 400, 10, 10, 371.72, 7.11200027, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 515.03, 9.62383575, 28, 8.380374, 104251
base-cec-mixed-v2, 10, 400, 10, 10, 345.12, 7.01825566, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 527.19, 9.61843348, 23, 8.774576, 85701
base-cec-mixed-v2, 10, 400, 10, 10, 364.24, 7.07712248, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 558.59, 9.84190681, 20, 7.808288, 74615
base-cec-mixed-v2, 10, 400, 10, 10, 387.61, 7.21626806, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 576.46, 9.88754471, 20, 5.971608, 74829
base-cec-mixed-v2, 10, 400, 10, 10, 320.52, 6.90255167, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 537.74, 9.73907665, 36, 5.186279, 133657
base-cec-mixed-v2, 10, 400, 10, 10, 345.03, 7.02120397, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 487.19, 9.58828871, 23, 5.425718, 85534
base-cec-mixed-v2, 10, 400, 10, 10, 396.34, 7.22056109, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 598.45, 9.90119158, 30, 6.792762, 111365
base-cec-mixed-v2, 10, 400, 10, 10, 308.61, 6.86379842, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 640.56, 10.09475745, 32, 4.893802, 118840
base-cec-mixed-v2, 10, 400, 10, 10, 379.06, 7.16429291, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 533.22, 9.62518171, 23, 7.971735, 85718
base-cec-mixed-v2, 10, 400, 10, 10, 543.40, 7.84274364, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 507.00, 9.68662211, 25, 3.473454, 93078
base-cec-mixed-v2, 10, 400, 10, 10, 428.37, 7.36801190, , 0, 
cec-mixed-v2, 10, 400, 10, 10, 622.88, 10.14862656, 38, 4.244198, 140993
