work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-cec-sandwich-v2, 10, 400, 10, 10, 383.21, 7.38559583, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 555.62, 10.16190069, 17, 3.745935, 63451
base-cec-sandwich-v2, 10, 400, 10, 10, 393.28, 7.37482664, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 543.60, 10.11518733, 21, 8.585431, 78224
base-cec-sandwich-v2, 10, 400, 10, 10, 396.94, 7.34112484, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 546.76, 10.18896390, 31, 5.411858, 115068
base-cec-sandwich-v2, 10, 400, 10, 10, 393.93, 7.33675264, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 555.94, 10.19145677, 21, 6.45692200000001, 78198
base-cec-sandwich-v2, 10, 400, 10, 10, 401.04, 7.32513085, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 534.57, 10.10559812, 12, 10.653981, 45179
base-cec-sandwich-v2, 10, 400, 10, 10, 406.14, 7.32900519, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 538.32, 10.18493944, 22, 5.101922, 81770
base-cec-sandwich-v2, 10, 400, 10, 10, 404.95, 7.33145242, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 551.41, 10.10273495, 16, 6.922308, 59767
base-cec-sandwich-v2, 10, 400, 10, 10, 394.90, 7.31625780, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 540.64, 10.17488695, 33, 5.825568, 122430
base-cec-sandwich-v2, 10, 400, 10, 10, 383.30, 7.29508472, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 542.32, 10.13059860, 14, 7.883878, 52604
base-cec-sandwich-v2, 10, 400, 10, 10, 402.18, 7.34757954, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 537.95, 10.12403046, 36, 6.54955200000001, 133361
base-cec-sandwich-v2, 10, 400, 10, 10, 392.58, 7.35980330, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 553.00, 10.12193716, 21, 6.04891500000001, 78212
base-cec-sandwich-v2, 10, 400, 10, 10, 394.69, 7.36774228, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 537.73, 10.11948051, 12, 8.110564, 44945
base-cec-sandwich-v2, 10, 400, 10, 10, 403.77, 7.33930657, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 544.77, 10.07308506, 20, 5.796859, 74666
base-cec-sandwich-v2, 10, 400, 10, 10, 400.53, 7.33895417, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 543.79, 10.14626448, 17, 7.61854700000001, 63521
base-cec-sandwich-v2, 10, 400, 10, 10, 389.65, 7.31826246, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 536.85, 10.14589694, 25, 4.514231, 93162
base-cec-sandwich-v2, 10, 400, 10, 10, 392.90, 7.37231156, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 542.78, 10.21582235, 17, 8.502656, 63479
base-cec-sandwich-v2, 10, 400, 10, 10, 415.59, 7.38058456, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 551.75, 10.07432129, 19, 4.34465300000001, 70886
base-cec-sandwich-v2, 10, 400, 10, 10, 444.20, 7.52054179, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 667.27, 10.67362451, 27, 6.57492999999999, 100617
base-cec-sandwich-v2, 10, 400, 10, 10, 461.51, 7.59561934, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 633.74, 10.52901227, 12, 5.90692900000001, 45140
base-cec-sandwich-v2, 10, 400, 10, 10, 427.25, 7.44036811, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 624.14, 10.50377949, 28, 4.049736, 104139
base-cec-sandwich-v2, 10, 400, 10, 10, 446.88, 7.62325208, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 684.33, 10.74925691, 17, 7.12600399999999, 63437
base-cec-sandwich-v2, 10, 400, 10, 10, 442.41, 7.46622070, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 672.06, 10.77925470, 25, 6.213184, 93040
base-cec-sandwich-v2, 10, 400, 10, 10, 455.82, 7.55493438, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 522.55, 9.97245191, 32, 4.56360000000001, 118584
base-cec-sandwich-v2, 10, 400, 10, 10, 379.29, 7.26581335, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 495.35, 9.82005173, 16, 7.164287, 60031
base-cec-sandwich-v2, 10, 400, 10, 10, 343.12, 7.10039764, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 481.25, 9.81557929, 25, 5.84074, 92997
base-cec-sandwich-v2, 10, 400, 10, 10, 350.55, 7.17142833, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 466.08, 9.78207580, 17, 6.599549, 63612
base-cec-sandwich-v2, 10, 400, 10, 10, 344.53, 7.14375430, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 474.34, 9.84123401, 33, 5.366998, 122466
base-cec-sandwich-v2, 10, 400, 10, 10, 334.85, 7.09193770, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 487.32, 9.81713397, 13, 4.94808, 48760
base-cec-sandwich-v2, 10, 400, 10, 10, 346.43, 7.08880339, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 479.73, 9.87192126, 26, 4.666923, 96638
base-cec-sandwich-v2, 10, 400, 10, 10, 350.79, 7.13251573, , 0, 
cec-sandwich-v2, 10, 400, 10, 10, 487.98, 9.82098282, 13, 7.186474, 48790
base-cec-sandwich-v2, 10, 400, 10, 10, 349.90, 7.09074245, , 0, 
base-cec-sandwich-v2, 10, 400, 25, 10, 348.56, 7.13315370, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 510.10, 9.90467295, 50, 5.10386800000001, 185018
base-cec-sandwich-v2, 10, 400, 25, 10, 353.12, 7.12788978, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 492.36, 9.86669407, 43, 4.142242, 159191
base-cec-sandwich-v2, 10, 400, 25, 10, 342.39, 7.11305661, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 499.70, 10.09813652, 61, 4.19242, 225832
base-cec-sandwich-v2, 10, 400, 25, 10, 339.29, 7.08754544, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 488.28, 9.79351295, 45, 5.051761, 166608
base-cec-sandwich-v2, 10, 400, 25, 10, 347.32, 7.07316908, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 475.24, 9.86071667, 33, 3.29522300000001, 122639
base-cec-sandwich-v2, 10, 400, 25, 10, 354.16, 7.11921900, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 480.51, 10.10184239, 60, 3.345809, 222110
base-cec-sandwich-v2, 10, 400, 25, 10, 350.62, 7.10027754, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 486.42, 9.81342005, 54, 2.13357600000001, 199908
base-cec-sandwich-v2, 10, 400, 25, 10, 481.55, 7.43767450, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 599.52, 10.15525595, 66, 4.130275, 243813
base-cec-sandwich-v2, 10, 400, 25, 10, 355.99, 7.12056611, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 475.13, 9.85960268, 44, 4.773145, 163111
base-cec-sandwich-v2, 10, 400, 25, 10, 342.47, 7.11618354, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 485.30, 9.80547355, 32, 5.569569, 118619
base-cec-sandwich-v2, 10, 400, 25, 10, 359.86, 7.17032166, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 475.81, 9.88329614, 67, 4.910556, 247851
base-cec-sandwich-v2, 10, 400, 25, 10, 341.93, 7.12890056, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 477.11, 9.81084950, 38, 6.07057400000001, 141178
base-cec-sandwich-v2, 10, 400, 25, 10, 347.85, 7.13656890, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 486.59, 9.82239727, 44, 6.57482, 162878
base-cec-sandwich-v2, 10, 400, 25, 10, 341.19, 7.12095514, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 488.95, 9.81986112, 56, 3.624099, 207105
base-cec-sandwich-v2, 10, 400, 25, 10, 341.49, 7.07880500, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 474.00, 9.84999428, 60, 5.718823, 222345
base-cec-sandwich-v2, 10, 400, 25, 10, 336.70, 7.10154764, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 478.91, 9.82664163, 38, 5.607944, 140859
base-cec-sandwich-v2, 10, 400, 25, 10, 339.18, 7.08783178, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 463.78, 9.77653132, 31, 3.564877, 114964
base-cec-sandwich-v2, 10, 400, 25, 10, 345.72, 7.11035929, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 479.14, 9.82783765, 42, 8.34866100000001, 155749
base-cec-sandwich-v2, 10, 400, 25, 10, 341.98, 7.13268564, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 512.31, 9.91016702, 39, 5.620193, 144497
base-cec-sandwich-v2, 10, 400, 25, 10, 349.40, 7.08008851, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 488.99, 9.86854820, 51, 5.005494, 188815
base-cec-sandwich-v2, 10, 400, 25, 10, 353.82, 7.18512640, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 478.12, 9.86683100, 43, 5.19408200000001, 159179
base-cec-sandwich-v2, 10, 400, 25, 10, 345.32, 7.14120899, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 483.79, 9.82726412, 35, 5.088594, 129906
base-cec-sandwich-v2, 10, 400, 25, 10, 345.51, 7.16486459, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 481.41, 9.87436729, 38, 5.632953, 140807
base-cec-sandwich-v2, 10, 400, 25, 10, 352.28, 7.14687706, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 476.73, 9.86730260, 63, 3.576117, 233150
base-cec-sandwich-v2, 10, 400, 25, 10, 339.20, 7.08914378, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 487.87, 9.80939335, 34, 7.173213, 126227
base-cec-sandwich-v2, 10, 400, 25, 10, 347.44, 7.16810600, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 490.47, 9.84766983, 36, 4.671736, 133503
base-cec-sandwich-v2, 10, 400, 25, 10, 346.94, 7.13638242, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 471.54, 9.80107281, 31, 5.37483900000001, 115142
base-cec-sandwich-v2, 10, 400, 25, 10, 348.65, 7.08899032, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 483.23, 9.88490539, 48, 5.29064700000001, 177741
base-cec-sandwich-v2, 10, 400, 25, 10, 337.98, 7.09156294, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 479.31, 9.85866955, 38, 2.13105900000001, 141090
base-cec-sandwich-v2, 10, 400, 25, 10, 345.32, 7.12112793, , 0, 
cec-sandwich-v2, 10, 400, 25, 10, 488.13, 9.82356374, 36, 5.792447, 133863
base-cec-sandwich-v2, 10, 400, 25, 10, 339.24, 7.10241943, , 0, 
base-cec-sandwich-v2, 10, 200, 10, 10, 357.41, 7.12553475, , 0, 
cec-sandwich-v2, 10, 200, 10, 10, 470.16, 9.80267099, 16, 8.606432, 29814
base-cec-sandwich-v2, 10, 200, 10, 10, 344.62, 7.09587347, , 0, 
