work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-taskset-5, 10, 400, 10, 10, 485.54, 7.03920071, , 0, , 30.1, 30.1
taskset-5, 10, 400, 10, 10, 672.17, 9.55566048, 25, 6.605002, 93203, 38.4, 35.4
base-taskset-5, 10, 400, 10, 10, 689.77, 7.91710269, , 0, , 34.5, 34.4
taskset-5, 10, 400, 10, 10, 804.50, 10.15293698, 21, 8.19034600000001, 78369, 42.8, 42.2
base-taskset-5, 10, 400, 10, 10, 580.30, 7.47944456, , 0, , 34.8, 35.4
taskset-5, 10, 400, 10, 10, 750.58, 9.95810051, 19, 4.047319, 71008, 65.4, 37.2
base-taskset-5, 10, 400, 10, 10, 624.11, 7.66837254, , 0, , 41.2, 41.6
taskset-5, 10, 400, 10, 10, 817.40, 10.20756100, 25, 2.58179700000001, 93024, 36.4, 35.4
base-taskset-5, 10, 400, 10, 10, 517.63, 7.16203596, , 0, , 35.6, 38.0
taskset-5, 10, 400, 10, 10, 752.28, 9.94111810, 18, 5.40872800000001, 67434, 46.4, 43.8
base-taskset-5, 10, 400, 10, 10, 540.37, 7.29147179, , 0, , 35.1, 35.9
taskset-5, 10, 400, 10, 10, 737.79, 9.89189969, 23, 5.882542, 85747, 35.4, 37.2
base-taskset-5, 10, 400, 10, 10, 563.57, 7.38597726, , 0, , 36.4, 37.2
taskset-5, 10, 400, 10, 10, 853.42, 10.33673628, 24, 4.807517, 89382, 46.4, 39.9
base-taskset-5, 10, 400, 10, 10, 610.51, 7.50955808, , 0, , 40.2, 40.4
taskset-5, 10, 400, 10, 10, 906.72, 10.54477798, 22, 4.04423200000001, 82097, 41.8, 40.1
base-taskset-5, 10, 400, 10, 10, 517.33, 7.13714024, , 0, , 43.5, 38.0
taskset-5, 10, 400, 10, 10, 705.68, 9.71740158, 16, 5.59437100000001, 60084, 35.9, 37.2
base-taskset-5, 10, 400, 10, 10, 627.35, 7.48543574, , 0, , 41.8, 37.2
taskset-5, 10, 400, 10, 10, 877.14, 10.41513829, 16, 10.841867, 60181, 37.9, 38.2
base-taskset-5, 10, 400, 10, 10, 619.75, 7.53839240, , 0, , 41.2, 38.2
taskset-5, 10, 400, 10, 10, 879.50, 10.44894902, 22, 8.771929, 82034, 39.8, 38.8
base-taskset-5, 10, 400, 10, 10, 555.44, 7.26933136, , 0, , 38.1, 37.8
taskset-5, 10, 400, 10, 10, 752.87, 9.88455317, 21, 6.031313, 78360, 39.4, 38.8
base-taskset-5, 10, 400, 10, 10, 558.93, 7.29157189, , 0, , 57.1, 38.8
taskset-5, 10, 400, 10, 10, 784.45, 9.95290146, 12, 7.448595, 45096, 38.6, 41.6
base-taskset-5, 10, 400, 10, 10, 610.41, 7.58320141, , 0, , 45.2, 41.4
taskset-5, 10, 400, 10, 10, 763.38, 10.00226760, 20, 6.24748600000001, 74557, 36.4, 37.8
base-taskset-5, 10, 400, 10, 10, 625.79, 7.48607918, , 0, , 38.4, 39.6
taskset-5, 10, 400, 10, 10, 833.05, 10.25986486, 15, 6.15436700000001, 56354, 42.5, 41.9
base-taskset-5, 10, 400, 10, 10, 581.69, 7.42886790, , 0, , 46.4, 50.2
taskset-5, 10, 400, 10, 10, 849.30, 10.32190253, 13, 8.49063100000001, 48742, 38.4, 38.8
base-taskset-5, 10, 400, 10, 10, 540.30, 7.28261783, , 0, , 40.4, 39.0
taskset-5, 10, 400, 10, 10, 754.06, 9.94130474, 19, 6.763575, 70998, 38.4, 38.8
base-taskset-5, 10, 400, 10, 10, 626.55, 7.66723058, , 0, , 38.4, 45.6
taskset-5, 10, 400, 10, 10, 877.03, 10.47200820, 19, 4.3955, 71004, 51.6, 37.2
base-taskset-5, 10, 400, 10, 10, 537.80, 7.25908878, , 0, , 36.9, 37.8
taskset-5, 10, 400, 10, 10, 813.45, 10.15887548, 30, 7.834879, 111554, 40.4, 38.2
base-taskset-5, 10, 400, 10, 10, 690.06, 7.91115934, , 0, , 39.1, 38.8
taskset-5, 10, 400, 10, 10, 1000.19, 11.13720500, 13, 7.10341600000001, 48946, 38.4, 38.0
base-taskset-5, 10, 400, 10, 10, 589.83, 7.52396083, , 0, , 37.6, 37.8
taskset-5, 10, 400, 10, 10, 897.75, 10.60802780, 18, 6.992531, 67131, 41.8, 42.5
base-taskset-5, 10, 400, 10, 10, 557.25, 7.31778902, , 0, , 39.1, 37.0
taskset-5, 10, 400, 10, 10, 919.91, 10.56897599, 22, 7.356763, 82061, 39.8, 38.2
base-taskset-5, 10, 400, 10, 10, 599.70, 7.50355268, , 0, , 66.8, 39.2
taskset-5, 10, 400, 10, 10, 748.72, 9.90006484, 14, 8.42914400000001, 52514, 37.9, 39.4
base-taskset-5, 10, 400, 10, 10, 492.50, 7.07019916, , 0, , 37.9, 39.9
taskset-5, 10, 400, 10, 10, 705.96, 9.73863070, 16, 8.21352800000001, 59828, 36.9, 37.2
base-taskset-5, 10, 400, 10, 10, 509.80, 7.12580790, , 0, , 36.6, 37.2
