work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-europar-v1, 10, 400, 10, 10, 387.28, 8.38263472, , 0, , 34.8
europar-v1, 10, 400, 10, 10, 498.38, 9.52040528, 18, 4.545685, 67086, 42.8
base-europar-v1, 10, 400, 10, 10, 348.93, 6.93351374, , 0, , 33.0
europar-v1, 10, 400, 10, 10, 442.38, 9.28477868, 25, 6.599137, 92977, 32.5
base-europar-v1, 10, 400, 10, 10, 348.79, 6.95197323, , 0, , 35.9
europar-v1, 10, 400, 10, 10, 449.17, 9.31421351, 30, 6.620012, 111469, 33.8
base-europar-v1, 10, 400, 10, 10, 320.73, 6.84725318, , 0, , 38.6
europar-v1, 10, 400, 10, 10, 428.51, 9.23205920, 20, 7.919509, 74431, 36.6
base-europar-v1, 10, 400, 10, 10, 313.55, 6.86507099, , 0, , 40.8
europar-v1, 10, 400, 10, 10, 434.15, 9.22418910, 16, 5.745192, 59980, 39.4
base-europar-v1, 10, 400, 10, 10, 325.94, 6.90006907, , 0, , 33.8
europar-v1, 10, 400, 10, 10, 425.69, 9.20842144, 26, 6.719479, 96810, 35.4
base-europar-v1, 10, 400, 10, 10, 314.35, 6.80683437, , 0, , 33.0
europar-v1, 10, 400, 10, 10, 425.81, 9.21558021, 20, 9.391824, 74921, 32.8
base-europar-v1, 10, 400, 10, 10, 307.46, 6.84211130, , 0, , 38.4
europar-v1, 10, 400, 10, 10, 420.14, 9.23279805, 24, 6.727326, 89315, 34.0
base-europar-v1, 10, 400, 10, 10, 316.79, 6.89432587, , 0, , 33.0
europar-v1, 10, 400, 10, 10, 434.32, 9.28710449, 21, 5.351351, 78275, 40.8
base-europar-v1, 10, 400, 10, 10, 315.70, 6.85294177, , 0, , 34.8
europar-v1, 10, 400, 10, 10, 421.95, 9.23347572, 15, 7.356071, 56104, 33.8
base-europar-v1, 10, 400, 10, 10, 319.53, 6.88532980, , 0, , 37.4
europar-v1, 10, 400, 10, 10, 426.46, 9.26242284, 31, 5.962669, 115014, 39.1
base-europar-v1, 10, 400, 10, 10, 321.24, 6.87384008, , 0, , 36.9
europar-v1, 10, 400, 10, 10, 439.28, 9.29291545, 27, 4.863184, 100202, 38.9
base-europar-v1, 10, 400, 10, 10, 311.14, 6.87518950, , 0, , 35.2
europar-v1, 10, 400, 10, 10, 424.13, 9.22923303, 19, 6.831844, 70876, 36.9
base-europar-v1, 10, 400, 10, 10, 315.06, 6.83659560, , 0, , 32.5
europar-v1, 10, 400, 10, 10, 415.89, 9.22311089, 21, 5.849326, 78368, 36.4
base-europar-v1, 10, 400, 10, 10, 315.46, 6.80848188, , 0, , 34.2
europar-v1, 10, 400, 10, 10, 422.95, 9.23382005, 16, 6.164904, 59779, 36.1
base-europar-v1, 10, 400, 10, 10, 307.58, 6.83562416, , 0, , 32.8
europar-v1, 10, 400, 10, 10, 421.17, 9.24590482, 14, 9.370381, 52492, 36.6
base-europar-v1, 10, 400, 10, 10, 315.53, 6.89963005, , 0, , 37.9
europar-v1, 10, 400, 10, 10, 420.02, 9.16303019, 16, 4.706249, 60139, 36.6
base-europar-v1, 10, 400, 10, 10, 303.23, 6.84892561, , 0, , 34.2
