work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-taskset-4, 10, 400, 10, 10, 379.58, 7.14114299, , 0, , 29.9, 28.6
taskset-4, 10, 400, 10, 10, 488.98, 9.59225378, 26, 3.814142, 96730, 52.6, 32.5
base-taskset-4, 10, 400, 10, 10, 322.42, 6.88403189, , 0, , 35.9, 31.5
taskset-4, 10, 400, 10, 10, 450.97, 9.31822994, 25, 7.771477, 93368, 35.0, 37.5
base-taskset-4, 10, 400, 10, 10, 311.10, 6.90207894, , 0, , 35.8, 32.0
taskset-4, 10, 400, 10, 10, 431.49, 9.27315178, 23, 4.538733, 85740, 35.4, 31.0
base-taskset-4, 10, 400, 10, 10, 317.19, 6.85138568, , 0, , 39.4, 37.0
taskset-4, 10, 400, 10, 10, 448.83, 9.37457186, 14, 5.184553, 52563, 33.8, 31.0
base-taskset-4, 10, 400, 10, 10, 309.46, 6.85595900, , 0, , 35.4, 32.5
taskset-4, 10, 400, 10, 10, 573.46, 9.72355012, 13, 7.834875, 48853, 34.8, 32.5
base-taskset-4, 10, 400, 10, 10, 404.69, 7.16649047, , 0, , 35.8, 32.5
taskset-4, 10, 400, 10, 10, 448.69, 9.40682256, 25, 7.786353, 93252, 35.2, 32.0
base-taskset-4, 10, 400, 10, 10, 330.96, 6.92009527, , 0, , 37.6, 31.0
taskset-4, 10, 400, 10, 10, 432.35, 9.27421825, 27, 8.503985, 100437, 33.2, 31.5
base-taskset-4, 10, 400, 10, 10, 340.29, 6.95155820, , 0, , 35.4, 33.0
taskset-4, 10, 400, 10, 10, 511.65, 9.55366217, 13, 9.322955, 48868, 35.4, 32.5
base-taskset-4, 10, 400, 10, 10, 347.81, 7.00809657, , 0, , 35.9, 32.5
taskset-4, 10, 400, 10, 10, 506.64, 9.56642081, 21, 6.233036, 78406, 33.0, 32.0
base-taskset-4, 10, 400, 10, 10, 339.36, 6.95162011, , 0, , 36.4, 33.5
taskset-4, 10, 400, 10, 10, 527.35, 9.61556756, 19, 7.012605, 70873, 34.0, 31.5
base-taskset-4, 10, 400, 10, 10, 359.84, 7.01152168, , 0, , 33.5, 32.0
taskset-4, 10, 400, 10, 10, 473.82, 9.43987022, 12, 4.451383, 45080, 38.6, 34.9
base-taskset-4, 10, 400, 10, 10, 329.72, 6.97617408, , 0, , 34.0, 31.5
taskset-4, 10, 400, 10, 10, 446.65, 9.36699390, 24, 6.040599, 89292, 39.4, 37.0
base-taskset-4, 10, 400, 10, 10, 335.93, 6.94291276, , 0, , 42.2, 40.1
taskset-4, 10, 400, 10, 10, 440.35, 9.34266872, 19, 7.94456, 71107, 35.4, 33.0
base-taskset-4, 10, 400, 10, 10, 320.09, 6.88476157, , 0, , 33.8, 32.0
taskset-4, 10, 400, 10, 10, 435.23, 9.31548910, 22, 8.261754, 82062, 34.4, 32.2
base-taskset-4, 10, 400, 10, 10, 395.88, 7.15594686, , 0, , 35.8, 32.8
taskset-4, 10, 400, 10, 10, 854.45, 10.98430707, 14, 3.666946, 52380, 34.2, 33.0
base-taskset-4, 10, 400, 10, 10, 520.23, 7.51660713, , 0, , 40.8, 35.1
taskset-4, 10, 400, 10, 10, 788.30, 10.63757482, 18, 6.923489, 67244, 38.9, 34.4
base-taskset-4, 10, 400, 10, 10, 549.41, 7.56812542, , 0, , 41.8, 38.5
taskset-4, 10, 400, 10, 10, 607.44, 9.90429222, 18, 8.126966, 67177, 36.4, 33.9
base-taskset-4, 10, 400, 10, 10, 471.48, 7.43957903, , 0, , 40.4, 33.9
taskset-4, 10, 400, 10, 10, 583.95, 9.83679325, 23, 6.827877, 85775, 41.5, 38.2
base-taskset-4, 10, 400, 10, 10, 424.11, 7.23813489, , 0, , 58.5, 33.4
taskset-4, 10, 400, 10, 10, 581.74, 9.94329725, 20, 4.311721, 74504, 39.4, 32.5
base-taskset-4, 10, 400, 10, 10, 393.51, 7.16035634, , 0, , 35.9, 32.5
taskset-4, 10, 400, 10, 10, 736.28, 10.73043347, 26, 5.918777, 96647, 37.1, 33.4
base-taskset-4, 10, 400, 10, 10, 445.93, 7.33543831, , 0, , 35.0, 33.0
taskset-4, 10, 400, 10, 10, 513.02, 9.52415780, 19, 7.96694, 70919, 36.6, 33.4
base-taskset-4, 10, 400, 10, 10, 419.93, 7.27250631, , 0, , 34.5, 32.5
taskset-4, 10, 400, 10, 10, 500.92, 9.42198069, 18, 4.731017, 67472, 63.5, 36.4
base-taskset-4, 10, 400, 10, 10, 359.18, 7.04375658, , 0, , 34.0, 32.5
taskset-4, 10, 400, 10, 10, 524.75, 9.55526816, 13, 4.161043, 48725, 36.4, 32.0
base-taskset-4, 10, 400, 10, 10, 360.95, 6.97852419, , 0, , 38.4, 35.9
taskset-4, 10, 400, 10, 10, 556.18, 9.70364991, 20, 8.703335, 74541, 43.2, 33.0
base-taskset-4, 10, 400, 10, 10, 377.63, 7.08454220, , 0, , 37.6, 32.5
taskset-4, 10, 400, 10, 10, 490.80, 9.42188892, 25, 5.777297, 93113, 40.1, 50.4
base-taskset-4, 10, 400, 10, 10, 348.38, 6.95546576, , 0, , 34.2, 32.5
taskset-4, 10, 400, 10, 10, 527.09, 9.62415358, 32, 6.465014, 118995, 34.5, 33.4
base-taskset-4, 10, 400, 10, 10, 501.54, 7.50853324, , 0, , 43.2, 39.9
taskset-4, 10, 400, 10, 10, 554.31, 9.66111529, 27, 6.374033, 100344, 35.4, 33.0
base-taskset-4, 10, 400, 10, 10, 541.83, 7.44483735, , 0, , 36.4, 34.4
taskset-4, 10, 400, 10, 10, 786.29, 10.78717566, 14, 6.122965, 52559, 36.9, 34.9
