work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna-baseline, 3, 200, 10, 10, 338.48, 6.64762430, , 0, 
bna-baseline, 3, 200, 10, 10, 382.73, 6.71572750, , 0, 
bna-baseline, 3, 200, 10, 10, 345.10, 6.58367134, , 0, 
bna-baseline, 3, 200, 10, 10, 343.04, 6.73867371, , 0, 
bna-baseline, 3, 200, 10, 10, 341.46, 6.59980459, , 0, 
bna-baseline, 3, 200, 10, 10, 341.84, 6.53510144, , 0, 
bna-baseline, 3, 200, 10, 10, 347.13, 6.61111944, , 0, 
bna-baseline, 3, 200, 10, 10, 317.99, 6.55200630, , 0, 
bna-baseline, 3, 200, 10, 10, 320.67, 6.64699999, , 0, 
bna-baseline, 3, 200, 10, 10, 331.58, 6.64354520, , 0, 
bna-baseline, 3, 200, 10, 10, 327.00, 6.53134058, , 0, 
bna-baseline, 3, 200, 10, 10, 320.37, 6.47762723, , 0, 
bna-baseline, 3, 200, 10, 10, 312.54, 6.52146573, , 0, 
bna-baseline, 3, 200, 10, 10, 368.92, 6.75387457, , 0, 
bna-baseline, 3, 200, 10, 10, 352.07, 6.67914648, , 0, 
bna-baseline, 3, 200, 10, 10, 338.71, 6.57307936, , 0, 
bna-baseline, 3, 200, 10, 10, 339.56, 6.68882631, , 0, 
bna-baseline, 3, 200, 10, 10, 319.10, 6.52509232, , 0, 
bna-baseline, 3, 200, 10, 10, 340.47, 6.65535786, , 0, 
bna-baseline, 3, 200, 10, 10, 391.00, 6.81858035, , 0, 
bna-baseline, 3, 200, 10, 10, 448.53, 6.93827960, , 0, 
bna-baseline, 3, 200, 10, 10, 387.92, 6.83692881, , 0, 
bna-baseline, 3, 200, 10, 10, 381.53, 6.80913471, , 0, 
bna-baseline, 3, 200, 10, 10, 386.58, 6.80982548, , 0, 
bna-baseline, 3, 200, 10, 10, 375.43, 6.80824176, , 0, 
bna-baseline, 3, 200, 10, 10, 395.38, 6.91256750, , 0, 
bna-baseline, 3, 200, 10, 10, 363.46, 6.86889861, , 0, 
bna-baseline, 3, 200, 10, 10, 331.69, 6.60152826, , 0, 
bna-baseline, 3, 200, 10, 10, 356.03, 6.70588306, , 0, 
bna-baseline, 3, 200, 10, 10, 373.86, 6.74874599, , 0, 
bna-baseline, 3, 200, 10, 25, 371.04, 6.74871667, , 0, 
bna-baseline, 3, 200, 10, 25, 372.98, 6.74310909, , 0, 
bna-baseline, 3, 200, 10, 25, 390.10, 6.79686287, , 0, 
bna-baseline, 3, 200, 10, 25, 368.38, 6.68668272, , 0, 
bna-baseline, 3, 200, 10, 25, 349.62, 6.79542524, , 0, 
bna-baseline, 3, 200, 10, 25, 337.95, 6.57165950, , 0, 
bna-baseline, 3, 200, 10, 25, 332.03, 6.61727447, , 0, 
bna-baseline, 3, 200, 10, 25, 393.24, 6.87394388, , 0, 
bna-baseline, 3, 200, 10, 25, 371.21, 6.72970563, , 0, 
bna-baseline, 3, 200, 10, 25, 361.56, 6.74827118, , 0, 
bna-baseline, 3, 200, 10, 25, 373.58, 6.83780342, , 0, 
bna-baseline, 3, 200, 10, 25, 348.47, 6.67057259, , 0, 
bna-baseline, 3, 200, 10, 25, 376.71, 6.78307473, , 0, 
