work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna-baseline-2, 3, 200, 10, 10, 334.09, 7.67645797, , 0, 
bna-baseline-2, 3, 200, 10, 10, 288.64, 6.39893885, , 0, 
bna-baseline-2, 3, 200, 10, 10, 284.51, 6.35630501, , 0, 
bna-baseline-2, 3, 200, 10, 10, 297.28, 6.35043465, , 0, 
bna-baseline-2, 3, 200, 10, 10, 295.34, 6.34776299, , 0, 
bna-baseline-2, 3, 200, 10, 10, 300.03, 6.37139395, , 0, 
bna-baseline-2, 3, 200, 10, 10, 284.75, 6.33249008, , 0, 
bna-baseline-2, 3, 200, 10, 10, 283.76, 6.35672501, , 0, 
bna-baseline-2, 3, 200, 10, 10, 304.12, 6.51490336, , 0, 
bna-baseline-2, 3, 200, 10, 10, 302.23, 6.51060872, , 0, 
bna-baseline-2, 3, 200, 10, 10, 286.08, 6.34708562, , 0, 
bna-baseline-2, 3, 200, 10, 10, 283.46, 6.35443566, , 0, 
bna-baseline-2, 3, 200, 10, 10, 306.91, 6.39766842, , 0, 
bna-baseline-2, 3, 200, 10, 10, 288.90, 6.37902092, , 0, 
bna-baseline-2, 3, 200, 10, 10, 408.16, 6.64724810, , 0, 
bna-baseline-2, 3, 200, 10, 10, 343.52, 6.57956021, , 0, 
bna-baseline-2, 3, 200, 10, 10, 284.31, 6.32964506, , 0, 
bna-baseline-2, 3, 200, 10, 10, 300.93, 6.52068818, , 0, 
bna-baseline-2, 3, 200, 10, 10, 297.88, 6.51515616, , 0, 
bna-baseline-2, 3, 200, 10, 10, 285.02, 6.34044683, , 0, 
bna-baseline-2, 3, 200, 10, 10, 300.23, 6.35180875, , 0, 
bna-baseline-2, 3, 200, 10, 10, 299.98, 6.51968686, , 0, 
bna-baseline-2, 3, 200, 10, 10, 298.56, 6.52235958, , 0, 
bna-baseline-2, 3, 200, 10, 10, 289.43, 6.36449004, , 0, 
bna-baseline-2, 3, 200, 10, 10, 282.25, 6.34459623, , 0, 
bna-baseline-2, 3, 200, 10, 10, 294.63, 6.52070441, , 0, 
bna-baseline-2, 3, 200, 10, 10, 287.05, 6.37876136, , 0, 
bna-baseline-2, 3, 200, 10, 10, 293.71, 6.34211378, , 0, 
bna-baseline-2, 3, 200, 10, 10, 287.58, 6.36167123, , 0, 
bna-baseline-2, 3, 200, 10, 10, 295.62, 6.37753704, , 0, 
bna-baseline-2, 3, 200, 10, 25, 295.80, 6.35003321, , 0, 
bna-baseline-2, 3, 200, 10, 25, 282.54, 6.35292515, , 0, 
bna-baseline-2, 3, 200, 10, 25, 286.84, 6.38441683, , 0, 
bna-baseline-2, 3, 200, 10, 25, 299.52, 6.38189472, , 0, 
bna-baseline-2, 3, 200, 10, 25, 283.94, 6.35552535, , 0, 
