work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna-fix-rand, 3, 200, 10, 10, 439.21, 8.50128240, 14, 0.00351499999999305, 26105
bna-fix-rand, 3, 200, 10, 10, 425.50, 8.22760388, 24, 0.00126699999998436, 44370
bna-fix-rand, 3, 200, 10, 10, 413.03, 8.31838331, 26, 0.00131599999997434, 47982
bna-fix-rand, 3, 200, 10, 10, 409.79, 8.34833996, 39, 0.000307000000020707, 71725
bna-fix-rand, 3, 200, 10, 10, 413.92, 8.31734273, 21, 0.00208199999997305, 38718
bna-fix-rand, 3, 200, 10, 10, 414.85, 8.27501949, 12, 0.0029100000000426, 22338
bna-fix-rand, 3, 200, 10, 10, 410.50, 8.29448328, 12, 0.00329199999998764, 22463
bna-fix-rand, 3, 200, 10, 10, 414.39, 8.26172248, 17, 0.00141399999995429, 31640
bna-fix-rand, 3, 200, 10, 10, 410.84, 8.28991018, 15, 0.00158199999998487, 27748
bna-fix-rand, 3, 200, 10, 10, 431.48, 8.35489447, 39, 0.000945999999999003, 71395
bna-fix-rand, 3, 200, 10, 10, 427.41, 8.28034578, 41, 0.000848000000019056, 75086
bna-fix-rand, 3, 200, 10, 10, 417.22, 8.31907065, 34, 0.00263600000005226, 62442
bna-fix-rand, 3, 200, 10, 10, 421.17, 8.26983993, 16, 0.00186399999995501, 29637
bna-fix-rand, 3, 200, 10, 10, 410.78, 8.28845918, 14, 0.00498900000002322, 25995
bna-fix-rand, 3, 200, 10, 10, 411.27, 8.29451382, 16, 0.00116700000000947, 29688
bna-fix-rand, 3, 200, 10, 10, 413.51, 8.36183709, 20, 0.00122599999997419, 36859
bna-fix-rand, 3, 200, 10, 10, 414.81, 8.35437648, 15, 0.000623000000018692, 27741
bna-fix-rand, 3, 200, 10, 10, 427.09, 8.31844362, 23, 0.000476000000048771, 42442
bna-fix-rand, 3, 200, 10, 10, 422.78, 8.30167024, 13, 0.00974799999994502, 24222
bna-fix-rand, 3, 200, 10, 10, 419.67, 8.36054225, 25, 0.000276999999982763, 46020
bna-fix-rand, 3, 200, 10, 10, 426.13, 8.21676108, 22, 0.000987000000009175, 40568
bna-fix-rand, 3, 200, 10, 10, 421.09, 8.25427770, 22, 0.00622199999997974, 40503
bna-fix-rand, 3, 200, 10, 10, 402.80, 8.30480535, 32, 0.00165900000001784, 58864
bna-fix-rand, 3, 200, 10, 10, 425.07, 8.28321648, 29, 0.000532000000021071, 53173
bna-fix-rand, 3, 200, 10, 10, 414.15, 8.31728317, 13, 0.00166000000001532, 24201
bna-fix-rand, 3, 200, 10, 10, 425.10, 8.33314747, 27, 0.00209500000005391, 49805
bna-fix-rand, 3, 200, 10, 10, 412.21, 8.35594840, 25, 0.00181999999995242, 45920
bna-fix-rand, 3, 200, 10, 10, 436.68, 8.34425202, 13, 0.00136899999995421, 24295
bna-fix-rand, 3, 200, 10, 10, 428.40, 8.30043175, 24, 0.000325999999972737, 44155
bna-fix-rand, 3, 200, 10, 10, 413.98, 8.35455929, 28, 0.00165500000002794, 51755
bna-fix-rand, 3, 200, 10, 25, 412.00, 8.29834335, 27, 0.00456399999995938, 17436
bna-fix-rand, 3, 200, 10, 25, 567.15, 8.60500850, 17, 0.00321299999995972, 11094
bna-fix-rand, 3, 200, 10, 25, 407.88, 8.32271674, 36, 0.0148460000000341, 23111
bna-fix-rand, 3, 200, 10, 25, 410.67, 8.26353787, 22, 0.00603499999999713, 14194
bna-fix-rand, 3, 200, 10, 25, 424.94, 8.28605363, 38, 0.00244799999995848, 24400
bna-fix-rand, 3, 200, 10, 25, 422.65, 8.29327636, 27, 0.0152729999999792, 17458
bna-fix-rand, 3, 200, 10, 25, 426.18, 8.26512158, 18, 0.00270499999999174, 11655
bna-fix-rand, 3, 200, 10, 25, 426.74, 8.27195497, 29, 0.00177099999996244, 18780
bna-fix-rand, 3, 200, 10, 25, 422.72, 8.29375572, 22, 0.00258499999995365, 14235
bna-fix-rand, 3, 200, 10, 25, 426.80, 8.31654169, 19, 0.0189850000000433, 12347
bna-fix-rand, 3, 200, 10, 25, 411.12, 8.30162332, 15, 0.0158669999999574, 9875
bna-fix-rand, 3, 200, 10, 25, 414.07, 8.36776280, 33, 0.0084910000000491, 21190
bna-fix-rand, 3, 200, 10, 25, 405.89, 8.31071333, 26, 0.00404500000001917, 16818
bna-fix-rand, 3, 200, 10, 25, 407.53, 8.32438165, 29, 0.00436400000000958, 18796
bna-fix-rand, 3, 200, 10, 25, 414.71, 8.32005267, 18, 0.00849200000004657, 11749
bna-fix-rand, 3, 200, 10, 25, 416.14, 8.28074242, 13, 0.00955899999996745, 8570
bna-fix-rand, 3, 200, 10, 25, 429.94, 8.28989634, 23, 0.0185219999999617, 14814
bna-fix-rand, 3, 200, 10, 25, 423.97, 8.31878359, 20, 0.0040159999999787, 13011
bna-fix-rand, 3, 200, 10, 25, 424.39, 8.29409964, 26, 0.00139300000000731, 16847
