work,dimension,population_size,max_gens,alpha,DRAM, Psys, PKG,seconds,generations,diff_fitness,evaluations
baseline-intel, 3, 200, 10, 10, 13.23, 350.37, 191.20, 13.00807897, , 0, 
baseline-intel, 3, 200, 10, 10, 15.99, 350.84, 180.01, 14.31592858, , 0, 
baseline-intel, 3, 200, 10, 10, 16.29, 329.95, 154.50, 15.58467854, , 0, 
baseline-intel, 3, 200, 10, 10, 14.79, 320.18, 148.35, 15.07937638, , 0, 
baseline-intel, 3, 200, 10, 10, 14.45, 314.39, 150.13, 14.93592320, , 0, 
baseline-intel, 3, 200, 10, 10, 15.48, 323.28, 151.94, 15.27977388, , 0, 
baseline-intel, 3, 200, 10, 10, 14.86, 315.87, 149.87, 14.98358468, , 0, 
baseline-intel, 3, 200, 10, 10, 14.36, 312.52, 148.16, 14.94605369, , 0, 
baseline-intel, 3, 200, 10, 10, 14.89, 315.70, 149.78, 15.05544301, , 0, 
baseline-intel, 3, 200, 10, 10, 15.66, 322.82, 150.54, 15.34201048, , 0, 
baseline-intel, 3, 200, 10, 10, 14.54, 314.92, 148.40, 14.93094810, , 0, 
baseline-intel, 3, 200, 10, 10, 24.43, 383.01, 172.28, 17.72036760, , 0, 
baseline-intel, 3, 200, 10, 10, 14.71, 316.08, 150.07, 15.10828650, , 0, 
baseline-intel, 3, 200, 10, 10, 19.44, 344.36, 161.80, 16.21276101, , 0, 
baseline-intel, 3, 200, 10, 10, 21.81, 358.78, 168.45, 16.74786918, , 0, 
baseline-intel, 3, 200, 10, 10, 34.09, 438.19, 194.31, 19.99853292, , 0, 
baseline-intel, 3, 200, 10, 10, 21.34, 357.87, 168.43, 16.76315779, , 0, 
baseline-intel, 3, 200, 10, 10, 41.04, 515.19, 228.64, 22.73101933, , 0, 
baseline-intel, 3, 200, 10, 10, 38.64, 497.01, 221.11, 22.38141908, , 0, 
baseline-intel, 3, 200, 10, 10, 37.67, 490.28, 216.29, 21.83544690, , 0, 
baseline-intel, 3, 200, 10, 10, 42.65, 519.73, 231.56, 23.25055011, , 0, 
baseline-intel, 3, 200, 10, 10, 21.63, 362.31, 165.39, 16.72686851, , 0, 
baseline-intel, 3, 200, 10, 10, 23.86, 378.07, 173.61, 17.51171748, , 0, 
baseline-intel, 3, 200, 10, 10, 19.32, 346.55, 163.25, 16.31988096, , 0, 
baseline-intel, 3, 200, 10, 10, 24.52, 394.35, 183.12, 18.37066978, , 0, 
baseline-intel, 3, 200, 10, 10, 15.94, 330.22, 154.67, 15.62694173, , 0, 
baseline-intel, 3, 200, 10, 10, 18.51, 355.60, 165.26, 16.65155362, , 0, 
baseline-intel, 3, 200, 10, 10, 15.64, 326.43, 154.45, 15.43268923, , 0, 
baseline-intel, 3, 200, 10, 10, 18.23, 349.61, 162.35, 16.42150499, , 0, 
baseline-intel, 3, 200, 10, 10, 18.26, 348.00, 162.84, 16.35397327, , 0, 
baseline-intel, 3, 200, 10, 25, 18.53, 352.90, 162.60, 16.47921859, , 0, 
baseline-intel, 3, 200, 10, 25, 19.21, 359.41, 166.80, 16.73419685, , 0, 
baseline-intel, 3, 200, 10, 25, 19.40, 356.75, 163.15, 16.76866188, , 0, 
baseline-intel, 3, 200, 10, 25, 18.42, 349.81, 163.69, 16.44119309, , 0, 
baseline-intel, 3, 200, 10, 25, 16.65, 336.57, 157.18, 15.87647049, , 0, 
baseline-intel, 3, 200, 10, 25, 17.21, 339.37, 160.72, 16.03123481, , 0, 
baseline-intel, 3, 200, 10, 25, 19.53, 357.45, 170.38, 16.77112530, , 0, 
baseline-intel, 3, 200, 10, 25, 18.30, 350.98, 165.14, 16.42657736, , 0, 
baseline-intel, 3, 200, 10, 25, 16.81, 337.79, 157.49, 15.95658586, , 0, 
baseline-intel, 3, 200, 10, 25, 17.30, 343.62, 165.72, 16.14651515, , 0, 
baseline-intel, 3, 200, 10, 25, 16.75, 336.82, 159.39, 15.88554196, , 0, 
baseline-intel, 3, 200, 10, 25, 18.80, 354.31, 167.86, 16.60236295, , 0, 
baseline-intel, 3, 200, 10, 25, 18.06, 349.31, 168.52, 16.42077696, , 0, 
baseline-intel, 3, 200, 10, 25, 17.57, 343.02, 160.28, 16.22877804, , 0, 
baseline-intel, 3, 200, 10, 25, 19.24, 356.38, 163.35, 16.77279403, , 0, 
baseline-intel, 3, 200, 10, 25, 17.36, 342.84, 157.40, 16.14497381, , 0, 
baseline-intel, 3, 200, 10, 25, 17.49, 348.77, 162.74, 16.25823170, , 0, 
baseline-intel, 3, 200, 10, 25, 19.61, 359.18, 168.69, 16.93359227, , 0, 
baseline-intel, 3, 200, 10, 25, 19.45, 358.39, 167.94, 16.88213993, , 0, 
baseline-intel, 3, 200, 10, 25, 17.96, 346.02, 164.44, 16.34508103, , 0, 
baseline-intel, 3, 200, 10, 25, 17.84, 344.88, 163.34, 16.29189361, , 0, 
baseline-intel, 3, 200, 10, 25, 15.41, 323.91, 153.36, 15.38817184, , 0, 
baseline-intel, 3, 200, 10, 25, 18.25, 336.88, 156.97, 16.02767604, , 0, 
baseline-intel, 3, 200, 10, 25, 17.16, 330.54, 155.77, 15.76789104, , 0, 
baseline-intel, 3, 200, 10, 25, 16.16, 326.71, 155.69, 15.57631553, , 0, 
baseline-intel, 3, 200, 10, 25, 15.75, 327.71, 158.48, 15.58980716, , 0, 
baseline-intel, 3, 200, 10, 25, 17.43, 340.56, 158.50, 16.12354147, , 0, 
baseline-intel, 3, 200, 10, 25, 17.49, 342.57, 158.69, 16.17802738, , 0, 
baseline-intel, 3, 200, 10, 25, 16.57, 334.61, 163.21, 15.84404215, , 0, 
