work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel-2, 10, 400, 10, 10, 16.66, 177.97, 14.57626446, , 0, , 43.0
intel-2, 10, 400, 10, 10, 26.31, 167.24, 25.05545398, 18, 6.08442100000002, 67245, 51.0
base-intel-2, 10, 400, 10, 10, 18.98, 115.02, 18.33571757, , 0, , 51.0
intel-2, 10, 400, 10, 10, 26.33, 159.52, 25.49901340, 12, 6.22968200000003, 45173, 52.0
base-intel-2, 10, 400, 10, 10, 19.08, 113.77, 18.40832924, , 0, , 56.0
intel-2, 10, 400, 10, 10, 26.56, 158.03, 25.71003943, 36, 3.130289, 133443, 55.0
base-intel-2, 10, 400, 10, 10, 19.94, 116.61, 18.99702015, , 0, , 56.0
intel-2, 10, 400, 10, 10, 26.50, 158.85, 25.59174534, 16, 4.697699, 59958, 57.0
base-intel-2, 10, 400, 10, 10, 19.07, 115.40, 18.45314005, , 0, , 57.0
intel-2, 10, 400, 10, 10, 26.33, 160.51, 25.58317105, 14, 4.47451699999999, 52559, 57.0
base-intel-2, 10, 400, 10, 10, 19.26, 113.26, 18.55957760, , 0, , 58.0
intel-2, 10, 400, 10, 10, 26.99, 161.27, 25.96384063, 18, 4.41042800000002, 67426, 58.0
base-intel-2, 10, 400, 10, 10, 19.84, 116.67, 18.92114007, , 0, , 59.0
intel-2, 10, 400, 10, 10, 26.75, 157.14, 25.70045181, 17, 3.63586500000002, 63667, 59.0
base-intel-2, 10, 400, 10, 10, 19.77, 117.91, 18.90283806, , 0, , 60.0
intel-2, 10, 400, 10, 10, 26.44, 158.59, 25.63285633, 15, 4.450716, 56141, 62.0
base-intel-2, 10, 400, 10, 10, 19.47, 115.02, 18.72106986, , 0, , 59.0
intel-2, 10, 400, 10, 10, 27.79, 162.51, 26.50616204, 25, 5.04553099999998, 93143, 60.0
base-intel-2, 10, 400, 10, 10, 19.66, 116.86, 18.86060056, , 0, , 68.0
intel-2, 10, 400, 10, 10, 26.35, 155.77, 25.57031581, 16, 5.34365500000001, 59698, 61.0
base-intel-2, 10, 400, 10, 10, 20.33, 114.37, 19.27759196, , 0, , 62.0
intel-2, 10, 400, 10, 10, 27.14, 159.85, 26.04319203, 25, 3.44062400000001, 93046, 62.0
base-intel-2, 10, 400, 10, 10, 19.65, 115.87, 18.89345589, , 0, , 61.0
intel-2, 10, 400, 10, 10, 26.52, 156.27, 25.75896168, 12, 6.50411800000001, 45213, 62.0
base-intel-2, 10, 400, 10, 10, 19.38, 114.90, 18.81277483, , 0, , 62.0
intel-2, 10, 400, 10, 10, 26.77, 159.94, 25.93136173, 17, 6.010175, 63664, 63.0
base-intel-2, 10, 400, 10, 10, 19.60, 116.66, 18.83577943, , 0, , 62.0
intel-2, 10, 400, 10, 10, 26.71, 158.51, 25.97549886, 18, 5.11336, 67231, 62.0
base-intel-2, 10, 400, 10, 10, 19.97, 114.17, 19.17612916, , 0, , 63.0
intel-2, 10, 400, 10, 10, 26.77, 159.34, 26.01943119, 24, 2.78215899999998, 89511, 62.0
base-intel-2, 10, 400, 10, 10, 19.83, 117.60, 18.98854729, , 0, , 62.0
intel-2, 10, 400, 10, 10, 27.16, 160.79, 26.08260771, 36, 3.92385400000001, 133916, 60.0
base-intel-2, 10, 400, 10, 10, 25.21, 115.00, 19.88541032, , 0, , 59.0
intel-2, 10, 400, 10, 10, 20.24, 169.32, 26.17029885, 23, 5.20859200000001, 85618, 60.0
base-intel-2, 10, 400, 10, 10, 14.68, 122.56, 18.73904829, , 0, , 60.0
intel-2, 10, 400, 10, 10, 19.64, 166.89, 25.84477495, 34, 3.83603499999998, 126384, 59.0
base-intel-2, 10, 400, 10, 10, 14.63, 122.96, 19.01132804, , 0, , 67.0
intel-2, 10, 400, 10, 10, 19.82, 165.98, 25.78944172, 17, 1.953349, 63688, 62.0
base-intel-2, 10, 400, 10, 10, 14.57, 121.85, 18.95483579, , 0, , 61.0
intel-2, 10, 400, 10, 10, 19.84, 166.88, 25.93247002, 23, 2.58552500000002, 85929, 64.0
base-intel-2, 10, 400, 10, 10, 14.45, 122.10, 18.83341112, , 0, , 61.0
intel-2, 10, 400, 10, 10, 19.89, 165.39, 25.92692740, 24, 5.300207, 89307, 61.0
base-intel-2, 10, 400, 10, 10, 14.63, 121.82, 18.99102486, , 0, , 62.0
intel-2, 10, 400, 10, 10, 19.91, 165.29, 25.97611177, 20, 3.44091100000003, 74599, 63.0
base-intel-2, 10, 400, 10, 10, 14.80, 125.44, 19.13815808, , 0, , 62.0
intel-2, 10, 400, 10, 10, 19.38, 166.95, 25.72043235, 16, 4.71377999999999, 59797, 60.0
base-intel-2, 10, 400, 10, 10, 14.74, 122.15, 18.84703164, , 0, , 62.0
intel-2, 10, 400, 10, 10, 20.06, 163.28, 25.81923748, 16, 6.57895000000002, 59994, 59.0
base-intel-2, 10, 400, 10, 10, 15.02, 122.19, 19.12241239, , 0, , 62.0
intel-2, 10, 400, 10, 10, 20.47, 168.14, 26.23812597, 33, 4.13567899999998, 122515, 58.0
base-intel-2, 10, 400, 10, 10, 14.43, 120.33, 18.57697957, , 0, , 60.0
intel-2, 10, 400, 10, 10, 19.92, 167.13, 25.73936608, 18, 3.37230700000003, 67128, 62.0
base-intel-2, 10, 400, 10, 10, 14.92, 122.70, 19.01470286, , 0, , 61.0
intel-2, 10, 400, 10, 10, 19.88, 166.21, 25.85354821, 21, 2.08307500000001, 78257, 61.0
base-intel-2, 10, 400, 10, 10, 15.29, 125.09, 19.32478207, , 0, , 61.0
intel-2, 10, 400, 10, 10, 20.21, 163.41, 26.17303988, 24, 3.64219900000001, 89318, 62.0
base-intel-2, 10, 400, 10, 10, 14.65, 121.14, 18.84786894, , 0, , 62.0
intel-2, 10, 400, 10, 10, 21.54, 170.16, 26.89269691, 34, 4.96470399999998, 126083, 63.0
base-intel-2, 10, 400, 10, 10, 14.90, 121.81, 18.95934356, , 0, , 63.0
intel-2, 10, 400, 10, 10, 19.50, 164.58, 25.77457396, 22, 3.65574400000003, 81967, 62.0
base-intel-2, 10, 400, 10, 10, 14.81, 122.73, 19.09480150, , 0, , 61.0
base-intel-2, 10, 400, 25, 10, 14.50, 120.16, 18.78757925, , 0, , 61.0
intel-2, 10, 400, 25, 10, 20.08, 166.01, 26.01797515, 58, 4.45652200000001, 215025, 60.0
base-intel-2, 10, 400, 25, 10, 14.57, 121.08, 18.77483065, , 0, , 60.0
intel-2, 10, 400, 25, 10, 19.71, 165.08, 25.68633450, 28, 3.356202, 104037, 58.0
base-intel-2, 10, 400, 25, 10, 14.82, 118.53, 18.96278261, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.14, 167.45, 26.00941368, 44, 4.06623999999999, 163082, 61.0
base-intel-2, 10, 400, 25, 10, 15.01, 121.60, 19.07373165, , 0, , 63.0
intel-2, 10, 400, 25, 10, 20.53, 170.89, 26.25323447, 29, 3.364012, 108019, 61.0
base-intel-2, 10, 400, 25, 10, 14.61, 121.70, 18.80198289, , 0, , 63.0
intel-2, 10, 400, 25, 10, 20.72, 169.88, 26.46941879, 30, 2.07706899999999, 111575, 64.0
base-intel-2, 10, 400, 25, 10, 14.93, 126.76, 19.08800089, , 0, , 62.0
intel-2, 10, 400, 25, 10, 20.42, 168.19, 26.12188365, 35, 4.12126599999999, 130286, 63.0
base-intel-2, 10, 400, 25, 10, 15.02, 123.26, 18.93156830, , 0, , 62.0
intel-2, 10, 400, 25, 10, 20.11, 166.80, 25.84403057, 38, 3.40691500000003, 141268, 61.0
base-intel-2, 10, 400, 25, 10, 14.62, 117.60, 18.66995367, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.98, 168.90, 26.49121492, 27, 4.716768, 100421, 61.0
base-intel-2, 10, 400, 25, 10, 14.60, 122.34, 18.73813226, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.32, 167.54, 26.07950551, 31, 4.05438600000002, 115080, 58.0
base-intel-2, 10, 400, 25, 10, 14.70, 119.67, 19.01316735, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.73, 171.33, 26.50365492, 49, 3.89718099999999, 181461, 62.0
base-intel-2, 10, 400, 25, 10, 14.55, 120.67, 18.83283259, , 0, , 63.0
intel-2, 10, 400, 25, 10, 20.16, 170.68, 26.19781003, 43, 4.14099800000002, 159314, 61.0
base-intel-2, 10, 400, 25, 10, 15.03, 121.92, 19.10739176, , 0, , 63.0
intel-2, 10, 400, 25, 10, 22.36, 170.52, 26.78445503, 80, 4.15499699999998, 296105, 63.0
base-intel-2, 10, 400, 25, 10, 17.93, 120.97, 19.17558466, , 0, , 65.0
intel-2, 10, 400, 25, 10, 20.45, 168.26, 26.26745687, 31, 3.71832000000001, 115290, 64.0
base-intel-2, 10, 400, 25, 10, 14.75, 122.96, 18.82788932, , 0, , 61.0
intel-2, 10, 400, 25, 10, 20.19, 164.85, 26.11398471, 56, 4.61987499999998, 207076, 60.0
base-intel-2, 10, 400, 25, 10, 14.54, 120.72, 18.91321932, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.78, 169.48, 26.35741556, 52, 3.98063200000001, 192491, 60.0
base-intel-2, 10, 400, 25, 10, 15.07, 122.43, 19.16078488, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.53, 171.77, 26.19270644, 42, 5.30904800000002, 155962, 60.0
base-intel-2, 10, 400, 25, 10, 15.18, 120.11, 19.16357544, , 0, , 62.0
intel-2, 10, 400, 25, 10, 21.45, 169.50, 26.52570672, 50, 4.09712300000001, 185098, 62.0
base-intel-2, 10, 400, 25, 10, 15.04, 122.01, 19.13295904, , 0, , 62.0
intel-2, 10, 400, 25, 10, 21.21, 170.54, 26.51918198, 59, 1.95071000000002, 218567, 62.0
base-intel-2, 10, 400, 25, 10, 15.09, 122.10, 19.17317035, , 0, , 63.0
intel-2, 10, 400, 25, 10, 20.38, 168.75, 26.18597114, 64, 2.67478, 236539, 62.0
base-intel-2, 10, 400, 25, 10, 15.42, 122.83, 19.26397640, , 0, , 65.0
intel-2, 10, 400, 25, 10, 20.05, 163.57, 25.81714334, 32, 2.60082399999999, 119041, 62.0
base-intel-2, 10, 400, 25, 10, 15.23, 125.69, 19.13788882, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.62, 168.59, 26.06696876, 34, 3.87929000000003, 126414, 59.0
base-intel-2, 10, 400, 25, 10, 15.20, 122.46, 19.04082073, , 0, , 58.0
intel-2, 10, 400, 25, 10, 20.71, 167.11, 26.14752546, 34, 4.66992299999998, 126146, 59.0
base-intel-2, 10, 400, 25, 10, 15.58, 123.26, 19.19091114, , 0, , 60.0
intel-2, 10, 400, 25, 10, 20.53, 170.89, 26.23886302, 49, 4.489778, 181659, 61.0
base-intel-2, 10, 400, 25, 10, 15.35, 125.69, 19.22124611, , 0, , 62.0
intel-2, 10, 400, 25, 10, 20.53, 170.31, 26.23829526, 36, 4.26809300000002, 133875, 62.0
base-intel-2, 10, 400, 25, 10, 15.03, 122.66, 19.11503671, , 0, , 62.0
intel-2, 10, 400, 25, 10, 21.51, 170.52, 26.54210365, 65, 4.42457999999999, 240450, 63.0
base-intel-2, 10, 400, 25, 10, 15.16, 122.29, 19.05949209, , 0, , 63.0
intel-2, 10, 400, 25, 10, 20.99, 172.48, 26.65165397, 58, 4.79812700000002, 214803, 60.0
