work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel, 10, 400, 10, 10, 14.04, 173.60, 13.47086843, , 0, , 47.0
intel, 10, 400, 10, 10, 22.96, 150.61, 24.29390444, 35, 3.55856199999999, 130078, 57.0
base-intel, 10, 400, 10, 10, 16.28, 107.79, 17.28222461, , 0, , 55.0
intel, 10, 400, 10, 10, 23.21, 150.60, 24.47654783, 40, 4.59336200000001, 148104, 56.0
base-intel, 10, 400, 10, 10, 17.97, 111.92, 17.90450621, , 0, , 57.0
intel, 10, 400, 10, 10, 22.79, 148.68, 24.19988335, 18, 4.04044399999998, 67098, 57.0
base-intel, 10, 400, 10, 10, 15.66, 106.54, 17.09418688, , 0, , 60.0
intel, 10, 400, 10, 10, 21.92, 149.93, 23.79496898, 19, 5.51761800000003, 70879, 60.0
base-intel, 10, 400, 10, 10, 15.74, 109.03, 17.13061544, , 0, , 60.0
intel, 10, 400, 10, 10, 21.55, 145.52, 23.65614991, 18, 4.28996899999999, 67317, 59.0
base-intel, 10, 400, 10, 10, 19.77, 115.93, 20.05899901, , 0, , 59.0
intel, 10, 400, 10, 10, 21.79, 154.36, 23.82555436, 17, 5.92482999999999, 63436, 60.0
base-intel, 10, 400, 10, 10, 15.63, 109.59, 17.17020060, , 0, , 60.0
intel, 10, 400, 10, 10, 21.98, 149.79, 23.94231554, 20, 4.90274299999999, 74614, 61.0
base-intel, 10, 400, 10, 10, 15.67, 108.62, 17.21145504, , 0, , 60.0
intel, 10, 400, 10, 10, 21.61, 147.82, 23.73548957, 23, 3.68869699999999, 85777, 61.0
base-intel, 10, 400, 10, 10, 16.00, 106.50, 17.42496373, , 0, , 61.0
intel, 10, 400, 10, 10, 21.71, 150.62, 23.83121472, 33, 4.40342800000002, 122619, 61.0
base-intel, 10, 400, 10, 10, 16.20, 111.64, 17.52036294, , 0, , 60.0
intel, 10, 400, 10, 10, 21.92, 147.58, 23.85795624, 39, 4.05725000000001, 144648, 61.0
base-intel, 10, 400, 10, 10, 15.74, 108.64, 17.19333876, , 0, , 61.0
intel, 10, 400, 10, 10, 33.63, 162.01, 27.85530626, 22, 4.981246, 82027, 63.0
base-intel, 10, 400, 10, 10, 38.26, 142.39, 26.21720182, , 0, , 64.0
intel, 10, 400, 10, 10, 30.12, 159.48, 27.30495762, 18, 2.97914700000001, 67199, 63.0
base-intel, 10, 400, 10, 10, 18.19, 112.10, 18.11608761, , 0, , 62.0
intel, 10, 400, 10, 10, 23.95, 149.71, 24.40280949, 16, 5.59680700000001, 59615, 59.0
base-intel, 10, 400, 10, 10, 29.71, 122.77, 21.85720468, , 0, , 60.0
intel, 10, 400, 10, 10, 34.12, 162.72, 27.99949053, 25, 4.00306999999998, 93103, 58.0
base-intel, 10, 400, 10, 10, 18.18, 110.42, 17.81726853, , 0, , 63.0
intel, 10, 400, 10, 10, 23.89, 152.47, 24.55347200, 19, 5.43915300000003, 70765, 60.0
base-intel, 10, 400, 10, 10, 16.46, 110.40, 17.45213534, , 0, , 59.0
intel, 10, 400, 10, 10, 42.88, 164.30, 30.00189702, 37, 3.43821100000002, 137488, 60.0
base-intel, 10, 400, 10, 10, 23.56, 110.04, 19.29744416, , 0, , 62.0
intel, 10, 400, 10, 10, 28.30, 152.46, 25.97122575, 14, 3.30600099999998, 52588, 62.0
base-intel, 10, 400, 10, 10, 16.25, 109.56, 17.42170729, , 0, , 62.0
intel, 10, 400, 10, 10, 25.92, 149.96, 24.91228302, 20, 5.21993100000003, 74624, 60.0
base-intel, 10, 400, 10, 10, 17.22, 108.00, 17.54398281, , 0, , 60.0
intel, 10, 400, 10, 10, 21.95, 147.43, 23.93162344, 19, 4.77358800000002, 71032, 59.0
base-intel, 10, 400, 10, 10, 15.80, 108.25, 17.22666596, , 0, , 58.0
intel, 10, 400, 10, 10, 21.98, 149.86, 23.74813628, 15, 6.45939199999998, 56192, 58.0
base-intel, 10, 400, 10, 10, 16.30, 107.57, 17.53331024, , 0, , 64.0
intel, 10, 400, 10, 10, 21.79, 148.15, 24.00247959, 17, 3.70437800000002, 63627, 60.0
base-intel, 10, 400, 10, 10, 16.05, 108.64, 17.39798984, , 0, , 63.0
intel, 10, 400, 10, 10, 21.97, 148.39, 23.92882600, 29, 4.36335200000002, 107804, 62.0
base-intel, 10, 400, 10, 10, 15.68, 108.32, 17.13647468, , 0, , 59.0
intel, 10, 400, 10, 10, 28.00, 150.56, 25.69724461, 27, 5.06442500000003, 100475, 59.0
base-intel, 10, 400, 10, 10, 18.10, 108.15, 18.07090183, , 0, , 60.0
intel, 10, 400, 10, 10, 25.28, 147.03, 24.69699841, 25, 2.95913899999999, 93085, 59.0
base-intel, 10, 400, 10, 10, 18.15, 108.31, 18.00829617, , 0, , 59.0
intel, 10, 400, 10, 10, 24.85, 150.22, 24.90121523, 30, 4.47768200000002, 111327, 61.0
base-intel, 10, 400, 10, 10, 17.81, 109.96, 17.86920963, , 0, , 62.0
intel, 10, 400, 10, 10, 25.00, 151.95, 24.87424873, 15, 2.34586200000001, 56152, 61.0
base-intel, 10, 400, 10, 10, 18.18, 110.62, 18.04590709, , 0, , 62.0
intel, 10, 400, 10, 10, 24.23, 151.40, 24.42405856, 18, 5.36881800000003, 67297, 60.0
base-intel, 10, 400, 10, 10, 19.02, 110.86, 18.35648291, , 0, , 62.0
intel, 10, 400, 10, 10, 24.88, 150.79, 24.88795821, 15, 5.59712200000001, 56149, 59.0
base-intel, 10, 400, 10, 10, 17.72, 108.59, 17.81336462, , 0, , 59.0
intel, 10, 400, 10, 10, 24.83, 150.95, 24.66169138, 14, 4.28673700000002, 52432, 59.0
base-intel, 10, 400, 10, 10, 37.68, 132.13, 25.14580352, , 0, , 58.0
intel, 10, 400, 10, 10, 24.75, 151.59, 24.95059970, 35, 2.27490599999999, 129949, 62.0
base-intel, 10, 400, 10, 10, 17.86, 108.80, 17.87484732, , 0, , 58.0
base-intel, 10, 400, 25, 10, 16.38, 110.68, 17.36107103, , 0, , 59.0
intel, 10, 400, 25, 10, 29.71, 160.06, 27.02966281, 81, 2.491331, 299952, 60.0
base-intel, 10, 400, 25, 10, 18.24, 109.82, 18.10903534, , 0, , 61.0
