work,dimension,population_size,max_gens,alpha,RAM,PKG,seconds,generations,diff_fitness,evaluations,initial_temp
base-intel-4, 10, 400, 10, 10, 10.14, 169.64, 14.06339301, , 0, , 49.0
intel-4, 10, 400, 10, 10, 14.90, 185.54, 22.62084026, 23, 5.44267100000002, 85710, 58.0
base-intel-4, 10, 400, 10, 10, 11.06, 113.95, 17.50898866, , 0, , 60.0
intel-4, 10, 400, 10, 10, 15.49, 156.43, 24.46322235, 27, 4.00217200000003, 100277, 60.0
base-intel-4, 10, 400, 10, 10, 11.11, 113.55, 17.50312293, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.51, 161.93, 24.32325816, 22, 5.29524800000002, 82139, 61.0
base-intel-4, 10, 400, 10, 10, 11.44, 117.13, 17.65979017, , 0, , 60.0
intel-4, 10, 400, 10, 10, 15.93, 158.03, 24.74806073, 11, 3.45859100000001, 41460, 62.0
base-intel-4, 10, 400, 10, 10, 11.71, 113.58, 17.69066901, , 0, , 61.0
intel-4, 10, 400, 10, 10, 16.28, 161.24, 24.79429861, 23, 4.17967500000003, 85689, 63.0
base-intel-4, 10, 400, 10, 10, 11.77, 116.52, 17.84330755, , 0, , 64.0
intel-4, 10, 400, 10, 10, 15.62, 162.01, 24.65072446, 26, 6.02048500000001, 96851, 62.0
base-intel-4, 10, 400, 10, 10, 11.22, 118.66, 17.61608876, , 0, , 63.0
intel-4, 10, 400, 10, 10, 15.50, 160.55, 24.43498291, 18, 4.19965300000001, 67399, 61.0
base-intel-4, 10, 400, 10, 10, 11.29, 114.14, 17.60150441, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.52, 157.98, 24.47170078, 33, 5.86645099999998, 122439, 60.0
base-intel-4, 10, 400, 10, 10, 11.27, 115.47, 17.53785479, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.53, 159.62, 24.31405697, 21, 4.06119000000001, 78404, 59.0
base-intel-4, 10, 400, 10, 10, 11.32, 118.02, 17.63334586, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.17, 157.61, 24.09982187, 13, 6.11586499999999, 48789, 59.0
base-intel-4, 10, 400, 10, 10, 11.29, 117.10, 17.65937067, , 0, , 59.0
intel-4, 10, 400, 10, 10, 15.56, 157.51, 24.40086160, 23, 5.24305600000002, 85829, 60.0
base-intel-4, 10, 400, 10, 10, 12.01, 117.22, 17.88049135, , 0, , 63.0
intel-4, 10, 400, 10, 10, 15.54, 160.93, 24.42246137, 31, 2.55428999999998, 115341, 62.0
base-intel-4, 10, 400, 10, 10, 11.54, 117.82, 17.61199177, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.44, 160.64, 24.41298056, 15, 4.55614600000001, 56115, 63.0
base-intel-4, 10, 400, 10, 10, 11.21, 114.71, 17.59274852, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.00, 155.96, 24.03195591, 16, 3.44782600000002, 59903, 62.0
base-intel-4, 10, 400, 10, 10, 11.57, 114.70, 17.77160572, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.26, 157.95, 24.18148052, 13, 7.70623499999999, 48683, 60.0
base-intel-4, 10, 400, 10, 10, 11.31, 114.06, 17.59008638, , 0, , 60.0
intel-4, 10, 400, 10, 10, 15.37, 161.04, 24.35924604, 16, 3.62280700000002, 59958, 60.0
base-intel-4, 10, 400, 10, 10, 11.04, 115.73, 17.39198497, , 0, , 59.0
intel-4, 10, 400, 10, 10, 15.48, 155.86, 24.47550109, 24, 5.107685, 89320, 61.0
base-intel-4, 10, 400, 10, 10, 15.27, 112.84, 18.29683645, , 0, , 60.0
intel-4, 10, 400, 10, 10, 14.72, 158.96, 23.93509124, 15, 4.28957600000001, 56287, 62.0
base-intel-4, 10, 400, 10, 10, 10.94, 113.77, 17.48760079, , 0, , 61.0
intel-4, 10, 400, 10, 10, 18.79, 167.44, 25.91219610, 13, 3.32076599999999, 48901, 63.0
base-intel-4, 10, 400, 10, 10, 11.69, 115.32, 17.73348565, , 0, , 64.0
intel-4, 10, 400, 10, 10, 15.60, 161.02, 24.47282395, 13, 4.57962900000001, 48714, 62.0
base-intel-4, 10, 400, 10, 10, 11.45, 116.52, 17.82418614, , 0, , 66.0
intel-4, 10, 400, 10, 10, 15.62, 157.15, 24.51326544, 27, 4.007588, 100676, 62.0
base-intel-4, 10, 400, 10, 10, 11.38, 115.67, 17.69405024, , 0, , 63.0
intel-4, 10, 400, 10, 10, 15.21, 159.22, 24.41154902, 31, 4.010785, 115166, 62.0
base-intel-4, 10, 400, 10, 10, 11.44, 115.06, 17.59230767, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.72, 158.67, 24.49566661, 34, 3.75682599999999, 126204, 61.0
base-intel-4, 10, 400, 10, 10, 11.34, 114.86, 17.52029674, , 0, , 60.0
intel-4, 10, 400, 10, 10, 15.86, 159.70, 24.54349554, 22, 4.64635900000002, 81996, 60.0
base-intel-4, 10, 400, 10, 10, 11.35, 112.73, 17.62460375, , 0, , 59.0
intel-4, 10, 400, 10, 10, 15.44, 158.39, 24.29614387, 16, 2.861828, 59841, 58.0
base-intel-4, 10, 400, 10, 10, 11.21, 114.89, 17.54993516, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.99, 160.64, 24.62811171, 26, 5.60704900000002, 97021, 61.0
base-intel-4, 10, 400, 10, 10, 11.28, 114.46, 17.54769983, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.77, 157.03, 24.48877615, 16, 5.36796200000003, 59900, 63.0
base-intel-4, 10, 400, 10, 10, 11.33, 115.12, 17.65545911, , 0, , 62.0
intel-4, 10, 400, 10, 10, 15.00, 161.90, 24.06216582, 12, 6.00000299999999, 45139, 61.0
base-intel-4, 10, 400, 10, 10, 11.25, 113.30, 17.70737542, , 0, , 63.0
intel-4, 10, 400, 10, 10, 15.74, 160.08, 24.47013525, 28, 2.93018999999998, 104561, 62.0
base-intel-4, 10, 400, 10, 10, 11.06, 114.89, 17.58633633, , 0, , 61.0
intel-4, 10, 400, 10, 10, 15.61, 161.93, 24.45461979, 19, 4.71747299999998, 70891, 62.0
base-intel-4, 10, 400, 10, 10, 11.80, 113.95, 17.65489105, , 0, , 61.0
base-intel-4, 10, 400, 25, 10, 11.60, 118.23, 17.73342662, , 0, , 61.0
intel-4, 10, 400, 25, 10, 15.51, 160.77, 24.47956532, 81, 3.36300299999999, 299782, 61.0
base-intel-4, 10, 400, 25, 10, 11.20, 113.06, 17.54962721, , 0, , 62.0
intel-4, 10, 400, 25, 10, 15.14, 160.76, 24.29774167, 32, 2.14418499999999, 118854, 63.0
base-intel-4, 10, 400, 25, 10, 11.62, 115.39, 17.70883510, , 0, , 62.0
intel-4, 10, 400, 25, 10, 15.87, 157.49, 24.43104791, 44, 3.02685500000001, 163114, 63.0
base-intel-4, 10, 400, 25, 10, 12.12, 117.38, 17.87383596, , 0, , 62.0
intel-4, 10, 400, 25, 10, 16.00, 158.56, 24.54344275, 30, 1.72633500000001, 111475, 62.0
base-intel-4, 10, 400, 25, 10, 11.14, 115.72, 17.50580448, , 0, , 62.0
intel-4, 10, 400, 25, 10, 15.54, 158.34, 24.56464821, 39, 2.50637, 144883, 63.0
base-intel-4, 10, 400, 25, 10, 11.41, 115.08, 17.62534937, , 0, , 63.0
