work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations,initial_temp_1, initial_temp_2
base-balanced-4, 10, 400, 10, 10, 704.28, 9.06539286, , 0, , 28.1, 28.6
balanced-4, 10, 400, 10, 10, 723.07, 9.81534766, 13, 8.131416, 48842, 62.0, 33.2
base-balanced-4, 10, 400, 10, 10, 479.96, 7.09269055, , 0, , 34.4, 33.9
balanced-4, 10, 400, 10, 10, 721.66, 9.92860311, 41, 6.06789000000001, 152269, 33.2, 35.4
base-balanced-4, 10, 400, 10, 10, 652.41, 7.82999103, , 0, , 35.0, 33.0
balanced-4, 10, 400, 10, 10, 959.43, 10.80622741, 24, 4.097989, 89406, 44.8, 42.1
base-balanced-4, 10, 400, 10, 10, 718.79, 7.77899800, , 0, , 54.5, 42.1
balanced-4, 10, 400, 10, 10, 850.11, 10.18849002, 13, 8.656148, 48901, 51.0, 50.9
base-balanced-4, 10, 400, 10, 10, 561.67, 7.37406664, , 0, , 43.2, 42.6
balanced-4, 10, 400, 10, 10, 650.52, 9.55282256, 17, 5.783781, 63793, 43.6, 42.1
base-balanced-4, 10, 400, 10, 10, 456.84, 6.84165171, , 0, , 35.4, 35.9
balanced-4, 10, 400, 10, 10, 645.50, 9.51739548, 22, 3.97161100000001, 81915, 36.4, 34.0
base-balanced-4, 10, 400, 10, 10, 497.71, 7.05896385, , 0, , 35.4, 35.4
balanced-4, 10, 400, 10, 10, 660.83, 9.66843822, 24, 3.61360000000001, 89262, 44.6, 42.1
base-balanced-4, 10, 400, 10, 10, 489.36, 7.09858443, , 0, , 43.6, 42.1
balanced-4, 10, 400, 10, 10, 620.57, 9.36340784, 25, 8.3729, 93055, 36.1, 44.6
base-balanced-4, 10, 400, 10, 10, 545.41, 7.14133375, , 0, , 37.9, 35.4
balanced-4, 10, 400, 10, 10, 818.93, 10.14275203, 20, 2.578237, 74562, 46.8, 46.0
base-balanced-4, 10, 400, 10, 10, 467.27, 6.97610789, , 0, , 44.8, 44.0
balanced-4, 10, 400, 10, 10, 816.93, 10.23724719, 15, 5.976506, 56152, 36.9, 36.1
base-balanced-4, 10, 400, 10, 10, 567.68, 7.23270907, , 0, , 42.0, 41.4
balanced-4, 10, 400, 10, 10, 662.19, 9.65561370, 17, 8.436243, 63542, 40.8, 38.0
base-balanced-4, 10, 400, 10, 10, 474.77, 7.02254072, , 0, , 43.8, 43.0
balanced-4, 10, 400, 10, 10, 641.15, 9.46580676, 34, 6.11601800000001, 126471, 35.4, 36.2
base-balanced-4, 10, 400, 10, 10, 494.48, 7.03983305, , 0, , 37.1, 35.4
balanced-4, 10, 400, 10, 10, 692.98, 9.84781073, 32, 4.730986, 118727, 36.1, 36.2
base-balanced-4, 10, 400, 10, 10, 685.02, 7.70880928, , 0, , 45.8, 43.5
balanced-4, 10, 400, 10, 10, 768.34, 10.17190781, 14, 6.811814, 52551, 43.2, 41.9
base-balanced-4, 10, 400, 10, 10, 541.61, 7.46457769, , 0, , 38.4, 37.8
balanced-4, 10, 400, 10, 10, 629.64, 9.85313334, 24, 4.456345, 89353, 37.4, 36.8
base-balanced-4, 10, 400, 10, 10, 436.33, 7.12976563, , 0, , 37.6, 35.4
balanced-4, 10, 400, 10, 10, 482.16, 9.28533152, 12, 6.268111, 45142, 34.2, 35.4
base-balanced-4, 10, 400, 10, 10, 428.87, 7.13363239, , 0, , 36.4, 34.4
balanced-4, 10, 400, 10, 10, 570.20, 9.67731862, 25, 6.475122, 93058, 36.1, 35.9
base-balanced-4, 10, 400, 10, 10, 416.31, 7.04936072, , 0, , 35.4, 34.4
balanced-4, 10, 400, 10, 10, 586.92, 9.84255687, 26, 4.20138200000001, 96919, 33.5, 34.9
base-balanced-4, 10, 400, 10, 10, 488.94, 7.33277964, , 0, , 36.1, 33.4
balanced-4, 10, 400, 10, 10, 610.21, 9.63358018, 18, 7.46303300000001, 67238, 36.9, 36.8
base-balanced-4, 10, 400, 10, 10, 431.66, 7.04993687, , 0, , 36.9, 35.4
balanced-4, 10, 400, 10, 10, 639.99, 9.85529441, 18, 3.782118, 67439, 34.5, 35.9
base-balanced-4, 10, 400, 10, 10, 492.91, 7.24061824, , 0, , 36.1, 34.4
balanced-4, 10, 400, 10, 10, 620.04, 9.67935378, 21, 5.864165, 78288, 37.6, 36.2
base-balanced-4, 10, 400, 10, 10, 519.89, 7.51961599, , 0, , 35.9, 36.2
balanced-4, 10, 400, 10, 10, 782.63, 10.34765591, 38, 2.197057, 140965, 44.6, 36.4
base-balanced-4, 10, 400, 10, 10, 563.39, 7.62969933, , 0, , 35.9, 35.9
balanced-4, 10, 400, 10, 10, 692.59, 9.95268185, 17, 9.714944, 63610, 38.4, 38.0
base-balanced-4, 10, 400, 10, 10, 484.07, 7.28210871, , 0, , 35.8, 36.2
balanced-4, 10, 400, 10, 10, 670.37, 9.93529507, 13, 7.78501300000001, 48814, 38.1, 34.9
base-balanced-4, 10, 400, 10, 10, 450.97, 7.23969255, , 0, , 34.5, 35.9
balanced-4, 10, 400, 10, 10, 582.06, 9.78353990, 22, 6.047315, 82004, 46.2, 36.1
base-balanced-4, 10, 400, 10, 10, 399.77, 7.03338416, , 0, , 37.9, 37.2
balanced-4, 10, 400, 10, 10, 482.70, 9.37493833, 34, 5.50701100000001, 126598, 40.4, 34.9
base-balanced-4, 10, 400, 10, 10, 333.26, 6.78080965, , 0, , 33.2, 34.9
balanced-4, 10, 400, 10, 10, 538.43, 9.52485260, 21, 8.00924000000001, 78258, 36.1, 32.5
base-balanced-4, 10, 400, 10, 10, 401.14, 7.05780683, , 0, , 33.5, 34.9
balanced-4, 10, 400, 10, 10, 663.51, 9.90214972, 26, 7.333483, 96892, 35.9, 33.9
base-balanced-4, 10, 400, 10, 10, 443.60, 7.02384260, , 0, , 35.0, 36.2
balanced-4, 10, 400, 10, 10, 609.81, 9.62435192, 23, 3.40109200000001, 85526, 37.1, 34.9
base-balanced-4, 10, 400, 10, 10, 531.13, 7.52127187, , 0, , 47.9, 36.4
balanced-4, 10, 400, 10, 10, 573.39, 9.74469132, 16, 4.88787500000001, 59920, 33.8, 34.9
base-balanced-4, 10, 400, 10, 10, 557.25, 7.58968973, , 0, , 35.2, 34.1
base-balanced-4, 10, 400, 25, 10, 481.77, 7.21061890, , 0, , 54.2, 38.8
balanced-4, 10, 400, 25, 10, 717.66, 10.10253868, 38, 2.47691400000001, 141125, 36.4, 35.9
base-balanced-4, 10, 400, 25, 10, 544.71, 7.48796997, , 0, , 36.9, 37.8
balanced-4, 10, 400, 25, 10, 513.76, 9.42474552, 30, 6.746151, 111647, 44.1, 42.1
base-balanced-4, 10, 400, 25, 10, 368.36, 6.87887722, , 0, , 37.6, 34.9
balanced-4, 10, 400, 25, 10, 737.74, 9.99698635, 44, 7.41792600000001, 163372, 38.4, 35.9
base-balanced-4, 10, 400, 25, 10, 369.46, 6.92396042, , 0, , 42.8, 42.8
balanced-4, 10, 400, 25, 10, 523.77, 9.42314865, 44, 6.43298800000001, 163322, 40.8, 38.5
base-balanced-4, 10, 400, 25, 10, 387.94, 6.97097678, , 0, , 34.8, 34.9
balanced-4, 10, 400, 25, 10, 549.67, 9.57204120, 36, 6.695322, 133648, 38.4, 35.9
base-balanced-4, 10, 400, 25, 10, 393.08, 6.98688012, , 0, , 35.4, 36.2
balanced-4, 10, 400, 25, 10, 570.61, 9.61275731, 66, 3.26305500000001, 244462, 38.6, 33.4
base-balanced-4, 10, 400, 25, 10, 393.75, 6.90716639, , 0, , 38.9, 35.4
balanced-4, 10, 400, 25, 10, 516.61, 9.35958861, 38, 5.90249900000001, 141029, 35.4, 33.9
base-balanced-4, 10, 400, 25, 10, 356.60, 6.86872513, , 0, , 34.9, 35.9
balanced-4, 10, 400, 25, 10, 517.82, 9.34489579, 37, 2.28206800000001, 137385, 36.4, 33.4
base-balanced-4, 10, 400, 25, 10, 382.51, 6.96621666, , 0, , 40.8, 34.9
balanced-4, 10, 400, 25, 10, 525.22, 9.43515600, 41, 4.53456300000001, 152426, 36.1, 35.4
base-balanced-4, 10, 400, 25, 10, 361.23, 6.87895937, , 0, , 34.5, 34.9
balanced-4, 10, 400, 25, 10, 514.30, 9.38784675, 31, 5.91462, 115342, 36.9, 33.4
base-balanced-4, 10, 400, 25, 10, 372.83, 6.89969744, , 0, , 39.9, 36.2
balanced-4, 10, 400, 25, 10, 483.47, 9.34652897, 27, 5.017129, 100328, 33.8, 36.2
base-balanced-4, 10, 400, 25, 10, 389.77, 6.91664630, , 0, , 37.4, 33.9
balanced-4, 10, 400, 25, 10, 495.53, 9.36734708, 34, 7.86483700000001, 126452, 34.0, 34.9
base-balanced-4, 10, 400, 25, 10, 379.34, 6.92975980, , 0, , 36.4, 33.0
balanced-4, 10, 400, 25, 10, 491.71, 9.41383523, 56, 5.15409000000001, 207312, 34.0, 34.9
base-balanced-4, 10, 400, 25, 10, 376.12, 6.88030919, , 0, , 47.9, 33.2
balanced-4, 10, 400, 25, 10, 513.59, 9.40519302, 32, 6.313119, 118901, 36.4, 36.2
base-balanced-4, 10, 400, 25, 10, 361.00, 6.84069247, , 0, , 34.4, 36.2
balanced-4, 10, 400, 25, 10, 516.35, 9.40026503, 36, 4.159226, 133630, 35.9, 33.4
base-balanced-4, 10, 400, 25, 10, 348.62, 6.80452247, , 0, , 34.2, 35.9
balanced-4, 10, 400, 25, 10, 508.97, 9.40473637, 28, 6.943545, 104366, 40.4, 33.4
base-balanced-4, 10, 400, 25, 10, 351.19, 6.80884046, , 0, , 34.5, 35.9
balanced-4, 10, 400, 25, 10, 527.63, 9.36000749, 38, 3.98665800000001, 140915, 37.1, 33.8
base-balanced-4, 10, 400, 25, 10, 396.45, 6.90436626, , 0, , 40.8, 35.4
balanced-4, 10, 400, 25, 10, 485.44, 9.34077462, 45, 5.283153, 166966, 33.5, 33.9
base-balanced-4, 10, 400, 25, 10, 372.30, 6.88350128, , 0, , 37.9, 33.4
balanced-4, 10, 400, 25, 10, 483.76, 9.32332851, 52, 6.66606900000001, 192771, 33.5, 35.9
base-balanced-4, 10, 400, 25, 10, 380.37, 6.89656872, , 0, , 42.8, 32.8
balanced-4, 10, 400, 25, 10, 484.47, 9.39520970, 70, 4.34235600000001, 259294, 34.5, 36.8
base-balanced-4, 10, 400, 25, 10, 389.90, 6.91022716, , 0, , 37.4, 32.5
balanced-4, 10, 400, 25, 10, 533.24, 9.51331774, 80, 5.379137, 296044, 38.4, 34.9
base-balanced-4, 10, 400, 25, 10, 376.84, 6.89694992, , 0, , 35.4, 34.9
balanced-4, 10, 400, 25, 10, 491.17, 9.38843017, 46, 5.534724, 170415, 34.0, 35.9
base-balanced-4, 10, 400, 25, 10, 393.14, 6.96379282, , 0, , 36.9, 33.4
balanced-4, 10, 400, 25, 10, 634.96, 9.58629668, 46, 4.10209500000001, 170458, 35.4, 34.9
base-balanced-4, 10, 400, 25, 10, 499.90, 7.08767276, , 0, , 43.6, 42.2
