work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v1, 10, 400, 10, 10, 16, 185.73, 4.56685506, , 0, , 1, 33.5, 33.4, 47.9, 35.4
v1, 10, 400, 10, 10, 16, 262.96, 5.88982482, 82, 0.0165650000000142, 226757, 1, 41.0, 35.9, 41.8, 36.1
base-v1, 10, 400, 10, 10, 16, 194.39, 4.14445337, , 0, , 1, 41.2, 36.2, 37.9, 35.4
v1, 10, 400, 10, 10, 16, 267.96, 5.85957182, 82, 0.00472500000000764, 225189, 1, 37.4, 35.9, 37.4, 41.9
base-v1, 10, 400, 10, 10, 16, 176.21, 3.66717746, , 0, , 1, 37.9, 36.2, 40.1, 36.2
v1, 10, 400, 10, 10, 16, 301.59, 6.03226816, 66, 0.0387809999999718, 188685, 1, 38.4, 36.2, 40.6, 36.2
base-v1, 10, 400, 10, 10, 16, 212.71, 3.72975246, , 0, , 1, 39.8, 36.8, 46.4, 43.8
v1, 10, 400, 10, 10, 16, 337.93, 6.06018090, 122, 0.00641000000001668, 321932, 1, 43.2, 38.8, 38.9, 36.2
base-v1, 10, 400, 10, 10, 16, 181.26, 3.66723682, , 0, , 1, 39.4, 36.2, 38.9, 36.2
v1, 10, 400, 10, 10, 16, 311.19, 5.98187941, 67, 0.0140789999999811, 192078, 1, 39.4, 36.5, 37.9, 37.2
base-v1, 10, 400, 10, 10, 16, 201.25, 3.71237244, , 0, , 1, 38.4, 37.2, 42.5, 37.0
v1, 10, 400, 10, 10, 16, 301.39, 5.40153056, 156, 0.00140299999998206, 398655, 1, 41.0, 36.8, 41.5, 36.2
base-v1, 10, 400, 10, 10, 16, 208.67, 3.70964634, , 0, , 1, 42.2, 36.8, 39.4, 39.8
v1, 10, 400, 10, 10, 16, 343.06, 6.07855307, 134, 0.00361099999997805, 348248, 1, 39.4, 37.8, 39.4, 37.2
base-v1, 10, 400, 10, 10, 16, 187.78, 3.67031834, , 0, , 1, 39.2, 37.2, 39.8, 36.2
v1, 10, 400, 10, 10, 16, 363.09, 6.11414179, 78, 0.0198839999999905, 216290, 1, 39.4, 36.8, 39.4, 36.8
base-v1, 10, 400, 10, 10, 16, 191.93, 3.70182823, , 0, , 1, 41.2, 37.2, 37.4, 36.2
v1, 10, 400, 10, 10, 16, 289.12, 5.95098935, 126, 0.00764500000002499, 328187, 1, 37.6, 36.8, 39.1, 36.2
base-v1, 10, 400, 10, 10, 16, 177.46, 3.67751039, , 0, , 1, 40.2, 36.8, 38.9, 36.5
v1, 10, 400, 10, 10, 16, 285.13, 5.91021102, 126, 0.00150999999999613, 328809, 1, 38.4, 38.0, 38.9, 37.8
base-v1, 10, 400, 10, 10, 16, 165.69, 3.70222448, , 0, , 1, 38.9, 37.8, 41.5, 36.2
v1, 10, 400, 10, 10, 16, 286.55, 5.97407949, 74, 0.0234270000000265, 205942, 1, 39.5, 36.2, 39.8, 37.0
base-v1, 10, 400, 10, 10, 16, 171.99, 3.68299900, , 0, , 1, 38.9, 37.8, 66.4, 36.8
v1, 10, 400, 10, 10, 16, 274.61, 5.90521104, 69, 0.0141960000000267, 195347, 1, 41.0, 36.2, 36.9, 35.4
base-v1, 10, 400, 10, 10, 16, 168.58, 3.68773822, , 0, , 1, 36.9, 35.4, 39.8, 36.2
v1, 10, 400, 10, 10, 16, 286.39, 6.06273205, 166, 0.0014409999999998, 421335, 1, 39.4, 36.2, 45.5, 39.4
base-v1, 10, 400, 10, 10, 16, 172.77, 3.68527531, , 0, , 1, 41.0, 37.2, 36.9, 34.9
v1, 10, 400, 10, 10, 16, 309.81, 6.00520849, 68, 0.0171680000000265, 192563, 1, 36.9, 35.9, 38.4, 35.9
base-v1, 10, 400, 10, 10, 16, 195.73, 3.72116258, , 0, , 1, 38.4, 35.9, 38.6, 36.8
v1, 10, 400, 10, 10, 16, 324.88, 6.08289761, 111, 0.00270799999998417, 296334, 1, 39.1, 36.8, 40.8, 38.2
base-v1, 10, 400, 10, 10, 16, 205.91, 3.74068842, , 0, , 1, 40.4, 38.8, 40.2, 37.2
v1, 10, 400, 10, 10, 16, 317.54, 6.03772396, 75, 0.00778400000001511, 210321, 1, 40.2, 37.8, 39.4, 37.2
base-v1, 10, 400, 10, 10, 16, 174.99, 3.71975801, , 0, , 1, 39.4, 37.2, 39.4, 36.2
v1, 10, 400, 10, 10, 16, 291.11, 5.97054581, 87, 0.00782299999997349, 238796, 1, 39.4, 36.2, 51.5, 37.2
base-v1, 10, 400, 10, 10, 16, 195.09, 3.70792321, , 0, , 1, 62.0, 38.0, 39.4, 37.2
v1, 10, 400, 10, 10, 16, 274.07, 5.94707377, 75, 0.00611300000002757, 208408, 1, 38.9, 36.8, 38.9, 36.2
base-v1, 10, 400, 10, 10, 16, 159.61, 3.65359687, , 0, , 1, 39.6, 36.8, 38.9, 35.4
v1, 10, 400, 10, 10, 16, 285.97, 5.93067545, 62, 0.0271670000000199, 178089, 1, 38.6, 36.2, 38.9, 36.8
base-v1, 10, 400, 10, 10, 16, 181.55, 3.71371745, , 0, , 1, 38.6, 36.8, 37.9, 35.9
v1, 10, 400, 10, 10, 16, 310.10, 6.06005079, 91, 0.00609600000001365, 248642, 1, 37.9, 36.2, 39.8, 36.8
base-v1, 10, 400, 10, 10, 16, 197.50, 3.77245886, , 0, , 1, 39.4, 37.2, 39.4, 38.8
v1, 10, 400, 10, 10, 16, 257.88, 5.33008684, 70, 0.0126129999999876, 199107, 1, 44.5, 44.2, 46.9, 37.2
base-v1, 10, 400, 10, 10, 16, 185.52, 3.72015304, , 0, , 1, 41.5, 37.2, 39.9, 39.4
v1, 10, 400, 10, 10, 16, 303.26, 6.08046713, 74, 0.0122670000000085, 207314, 1, 39.8, 37.8, 38.9, 36.8
base-v1, 10, 400, 10, 10, 16, 203.89, 3.79207963, , 0, , 1, 38.9, 36.8, 41.5, 38.2
v1, 10, 400, 10, 10, 16, 308.96, 6.09620783, 103, 0.00569699999999784, 276162, 1, 41.8, 38.5, 42.0, 37.2
base-v1, 10, 400, 10, 10, 16, 186.56, 3.72014511, , 0, , 1, 51.8, 37.2, 38.9, 36.2
