work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna-baseline, 3, 200, 10, 10, 328.64, 7.63704469, , 0, 
bna-baseline, 3, 200, 10, 10, 293.36, 6.44205693, , 0, 
bna-baseline, 3, 200, 10, 10, 289.01, 6.47925942, , 0, 
bna-baseline, 3, 200, 10, 10, 305.60, 6.53133685, , 0, 
bna-baseline, 3, 200, 10, 10, 286.38, 6.47387717, , 0, 
bna-baseline, 3, 200, 10, 10, 285.15, 6.47885187, , 0, 
bna-baseline, 3, 200, 10, 10, 303.00, 6.52552427, , 0, 
bna-baseline, 3, 200, 10, 10, 294.48, 6.53199765, , 0, 
bna-baseline, 3, 200, 10, 10, 290.28, 6.49722472, , 0, 
bna-baseline, 3, 200, 10, 10, 298.16, 6.54815212, , 0, 
bna-baseline, 3, 200, 10, 10, 310.14, 6.55825608, , 0, 
bna-baseline, 3, 200, 10, 10, 293.71, 6.48078247, , 0, 
bna-baseline, 3, 200, 10, 10, 300.13, 6.56963585, , 0, 
bna-baseline, 3, 200, 10, 10, 308.42, 6.54838183, , 0, 
bna-baseline, 3, 200, 10, 10, 293.91, 6.45649315, , 0, 
bna-baseline, 3, 200, 10, 10, 303.00, 6.51649670, , 0, 
bna-baseline, 3, 200, 10, 10, 299.08, 6.49915718, , 0, 
bna-baseline, 3, 200, 10, 10, 301.12, 6.52815530, , 0, 
bna-baseline, 3, 200, 10, 10, 285.72, 6.47914974, , 0, 
bna-baseline, 3, 200, 10, 10, 310.68, 6.57086447, , 0, 
bna-baseline, 3, 200, 10, 10, 311.01, 6.50490300, , 0, 
bna-baseline, 3, 200, 10, 10, 299.05, 6.48290947, , 0, 
bna-baseline, 3, 200, 10, 10, 293.50, 6.48672446, , 0, 
bna-baseline, 3, 200, 10, 10, 292.28, 6.46642089, , 0, 
bna-baseline, 3, 200, 10, 10, 295.23, 6.50090530, , 0, 
bna-baseline, 3, 200, 10, 10, 309.26, 6.55524189, , 0, 
bna-baseline, 3, 200, 10, 10, 306.51, 6.51339178, , 0, 
bna-baseline, 3, 200, 10, 10, 308.81, 6.52488688, , 0, 
bna-baseline, 3, 200, 10, 10, 302.93, 6.50209790, , 0, 
bna-baseline, 3, 200, 10, 10, 304.71, 6.50623475, , 0, 
bna-baseline, 3, 200, 25, 10, 291.09, 6.50200039, , 0, 
bna-baseline, 3, 200, 25, 10, 297.60, 6.48462367, , 0, 
bna-baseline, 3, 200, 25, 10, 299.22, 6.49367139, , 0, 
bna-baseline, 3, 200, 25, 10, 298.01, 6.49635134, , 0, 
bna-baseline, 3, 200, 25, 10, 295.96, 6.46471623, , 0, 
bna-baseline, 3, 200, 25, 10, 297.55, 6.49199138, , 0, 
bna-baseline, 3, 200, 25, 10, 298.79, 6.47431559, , 0, 
bna-baseline, 3, 200, 25, 10, 305.23, 6.48648707, , 0, 
bna-baseline, 3, 200, 25, 10, 305.99, 6.54532358, , 0, 
bna-baseline, 3, 200, 25, 10, 310.83, 6.53211693, , 0, 
bna-baseline, 3, 200, 25, 10, 309.24, 6.50620790, , 0, 
bna-baseline, 3, 200, 25, 10, 296.19, 6.47292839, , 0, 
bna-baseline, 3, 200, 25, 10, 296.52, 6.45495312, , 0, 
bna-baseline, 3, 200, 25, 10, 303.25, 6.51956217, , 0, 
bna-baseline, 3, 200, 25, 10, 296.01, 6.48856049, , 0, 
bna-baseline, 3, 200, 25, 10, 295.86, 6.46447715, , 0, 
bna-baseline, 3, 200, 25, 10, 290.04, 6.47223890, , 0, 
bna-baseline, 3, 200, 25, 10, 287.78, 6.44795246, , 0, 
bna-baseline, 3, 200, 25, 10, 295.68, 6.48876551, , 0, 
bna-baseline, 3, 200, 25, 10, 299.55, 6.46672342, , 0, 
bna-baseline, 3, 200, 25, 10, 294.17, 6.47825318, , 0, 
bna-baseline, 3, 200, 25, 10, 296.34, 6.48912838, , 0, 
bna-baseline, 3, 200, 25, 10, 293.93, 6.51028743, , 0, 
bna-baseline, 3, 200, 25, 10, 296.42, 6.50703357, , 0, 
bna-baseline, 3, 200, 25, 10, 301.16, 6.52343629, , 0, 
bna-baseline, 3, 200, 25, 10, 292.45, 6.52266314, , 0, 
bna-baseline, 3, 200, 25, 10, 300.68, 6.50705540, , 0, 
bna-baseline, 3, 200, 25, 10, 296.17, 6.49450662, , 0, 
bna-baseline, 3, 200, 25, 10, 288.52, 6.47670324, , 0, 
bna-baseline, 3, 200, 25, 10, 290.49, 6.48965492, , 0, 
bna-baseline, 3, 400, 10, 10, 296.50, 6.49281551, , 0, 
bna-baseline, 3, 400, 10, 10, 291.92, 6.48735129, , 0, 
bna-baseline, 3, 400, 10, 10, 296.51, 6.48525017, , 0, 
