work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna-fix-rand, 3, 200, 10, 10, 425.25, 8.89903634, 21, 0.00433199999997669, 38743
bna-fix-rand, 3, 200, 10, 10, 435.01, 8.86447436, 17, 0.00191100000000688, 31568
bna-fix-rand, 3, 200, 10, 10, 429.37, 8.84495097, 45, 0.000965000000007876, 82509
bna-fix-rand, 3, 200, 10, 10, 445.97, 8.94802900, 23, 0.00294999999999845, 42411
bna-fix-rand, 3, 200, 10, 10, 449.60, 8.83369395, 16, 0.00208599999996295, 29679
bna-fix-rand, 3, 200, 10, 10, 450.98, 8.85559592, 22, 0.00478900000001659, 40483
bna-fix-rand, 3, 200, 10, 10, 446.61, 8.89741480, 17, 0.00140599999997448, 31514
bna-fix-rand, 3, 200, 10, 10, 449.32, 8.85471211, 39, 0.000898000000006505, 71510
bna-fix-rand, 3, 200, 10, 10, 433.37, 8.88809183, 14, 0.00230599999997594, 26015
bna-fix-rand, 3, 200, 10, 10, 452.11, 8.86808711, 21, 0.00154199999997218, 38670
bna-fix-rand, 3, 200, 10, 10, 445.11, 8.85291244, 16, 0.00302299999998468, 29670
bna-fix-rand, 3, 200, 10, 10, 448.41, 8.87646766, 16, 0.00315599999998994, 29607
bna-fix-rand, 3, 200, 10, 10, 436.21, 8.87902319, 23, 0.00147699999996576, 42431
bna-fix-rand, 3, 200, 10, 10, 437.81, 8.85423300, 15, 0.00193500000000313, 28009
bna-fix-rand, 3, 200, 10, 10, 444.16, 8.86059019, 16, 0.0045849999999632, 29678
bna-fix-rand, 3, 200, 10, 10, 439.67, 8.88069546, 31, 0.00054899999997815, 57172
bna-fix-rand, 3, 200, 10, 10, 436.48, 8.86198006, 12, 0.0118019999999888, 22424
bna-fix-rand, 3, 200, 10, 10, 432.40, 8.90213671, 24, 0.00153499999998985, 44225
bna-fix-rand, 3, 200, 10, 10, 451.69, 8.87760363, 28, 0.000561000000004697, 51561
bna-fix-rand, 3, 200, 10, 10, 450.87, 8.89335433, 16, 0.00180899999998019, 29728
bna-fix-rand, 3, 200, 10, 10, 446.31, 8.87224044, 27, 0.00228499999997211, 49745
bna-fix-rand, 3, 200, 10, 10, 437.20, 8.85299524, 43, 0.000131000000010317, 78708
bna-fix-rand, 3, 200, 10, 10, 435.90, 8.91402672, 26, 0.00176999999996497, 47958
bna-fix-rand, 3, 200, 10, 10, 433.18, 8.88714542, 25, 0.00311099999998987, 45935
bna-fix-rand, 3, 200, 10, 10, 432.49, 8.88736563, 35, 0.000178000000005341, 64252
bna-fix-rand, 3, 200, 10, 10, 429.39, 8.87693595, 26, 0.00290699999999333, 47805
bna-fix-rand, 3, 200, 10, 10, 428.35, 8.83631707, 18, 0.00191100000000688, 33461
bna-fix-rand, 3, 200, 10, 10, 434.55, 8.89486154, 27, 0.0059959999999819, 49589
bna-fix-rand, 3, 200, 10, 10, 428.14, 8.84608900, 22, 0.00230399999998099, 40631
