work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-ola-mixed, 3, 200, 10, 10, 395.78, 6.76608766, , 0, 
ola-mixed, 3, 200, 10, 10, 574.16, 9.51664534, 13, 0.000250000000050932, 24233
base-ola-mixed, 3, 200, 10, 10, 370.71, 6.63039794, , 0, 
ola-mixed, 3, 200, 10, 10, 749.25, 10.16018212, 12, 0.0107910000000402, 22407
base-ola-mixed, 3, 200, 10, 10, 473.23, 7.13525421, , 0, 
ola-mixed, 3, 200, 10, 10, 558.63, 9.38856830, 23, 0.00151600000003782, 42432
base-ola-mixed, 3, 200, 10, 10, 530.66, 7.30708638, , 0, 
ola-mixed, 3, 200, 10, 10, 577.59, 9.52594737, 37, 0.00063399999999092, 67784
base-ola-mixed, 3, 200, 10, 10, 384.76, 6.71112833, , 0, 
ola-mixed, 3, 200, 10, 10, 482.42, 8.96562042, 22, 0.000466999999957807, 40645
base-ola-mixed, 3, 200, 10, 10, 340.43, 6.48476625, , 0, 
ola-mixed, 3, 200, 10, 10, 477.39, 8.94305219, 32, 0.00157600000000002, 58741
base-ola-mixed, 3, 200, 10, 10, 355.46, 6.62605330, , 0, 
ola-mixed, 3, 200, 10, 10, 473.57, 8.90034890, 19, 0.00371600000005401, 35147
base-ola-mixed, 3, 200, 10, 10, 345.46, 6.62232667, , 0, 
ola-mixed, 3, 200, 10, 10, 503.77, 9.09067199, 17, 0.00492599999995491, 31447
base-ola-mixed, 3, 200, 10, 10, 339.47, 6.59975088, , 0, 
ola-mixed, 3, 200, 10, 10, 478.10, 9.01193043, 25, 0.00268000000005486, 45903
base-ola-mixed, 3, 200, 10, 10, 349.56, 6.67056906, , 0, 
ola-mixed, 3, 200, 10, 10, 472.75, 9.00314422, 18, 0.000126000000022941, 33384
base-ola-mixed, 3, 200, 10, 10, 347.46, 6.61877638, , 0, 
ola-mixed, 3, 200, 10, 10, 459.74, 8.99185222, 14, 0.00331500000004326, 26105
base-ola-mixed, 3, 200, 10, 10, 345.00, 6.59674954, , 0, 
ola-mixed, 3, 200, 10, 10, 480.29, 8.94659264, 19, 0.000981000000024324, 35112
base-ola-mixed, 3, 200, 10, 10, 338.25, 6.57333351, , 0, 
ola-mixed, 3, 200, 10, 10, 471.22, 8.99922725, 24, 0.00146700000004785, 44186
base-ola-mixed, 3, 200, 10, 10, 350.26, 6.61698660, , 0, 
ola-mixed, 3, 200, 10, 10, 468.03, 8.99193915, 18, 0.00322900000003301, 33282
base-ola-mixed, 3, 200, 10, 10, 345.12, 6.56872148, , 0, 
ola-mixed, 3, 200, 10, 10, 464.02, 8.96082428, 26, 0.0010939999999664, 47691
base-ola-mixed, 3, 200, 10, 10, 344.86, 6.65386214, , 0, 
ola-mixed, 3, 200, 10, 10, 508.35, 9.03045618, 25, 0.00375799999994797, 46150
base-ola-mixed, 3, 200, 10, 10, 363.44, 6.55177079, , 0, 
ola-mixed, 3, 200, 10, 10, 465.37, 8.94363671, 24, 0.00640799999996489, 44439
base-ola-mixed, 3, 200, 10, 10, 346.97, 6.60733613, , 0, 
ola-mixed, 3, 200, 10, 10, 461.07, 8.99285199, 16, 0.00228900000001886, 29660
base-ola-mixed, 3, 200, 10, 10, 344.34, 6.63959782, , 0, 
ola-mixed, 3, 200, 10, 10, 461.93, 8.98250039, 17, 0.000761000000011336, 31514
base-ola-mixed, 3, 200, 10, 10, 353.49, 6.61488447, , 0, 
ola-mixed, 3, 200, 10, 10, 469.80, 8.91656107, 15, 0.0045069999999896, 27979
base-ola-mixed, 3, 200, 10, 10, 344.53, 6.61650489, , 0, 
ola-mixed, 3, 200, 10, 10, 470.84, 8.97638633, 23, 0.00349900000003345, 42450
base-ola-mixed, 3, 200, 10, 10, 345.89, 6.60960157, , 0, 
ola-mixed, 3, 200, 10, 10, 469.78, 8.92493824, 20, 0.00051599999994778, 36846
base-ola-mixed, 3, 200, 10, 10, 339.87, 6.58961908, , 0, 
ola-mixed, 3, 200, 10, 10, 468.77, 8.92481175, 22, 0.000881000000049426, 40674
base-ola-mixed, 3, 200, 10, 10, 340.93, 6.59661254, , 0, 
ola-mixed, 3, 200, 10, 10, 499.58, 9.08793150, 43, 0.000759000000016385, 78794
base-ola-mixed, 3, 200, 10, 10, 348.64, 6.60998232, , 0, 
ola-mixed, 3, 200, 10, 10, 469.12, 8.93725557, 18, 0.00298599999996441, 33290
base-ola-mixed, 3, 200, 10, 10, 349.30, 6.56232140, , 0, 
ola-mixed, 3, 200, 10, 10, 466.80, 8.99655216, 16, 0.000540999999998348, 29707
base-ola-mixed, 3, 200, 10, 10, 343.69, 6.59716721, , 0, 
ola-mixed, 3, 200, 10, 10, 465.62, 8.99390654, 33, 0.00239499999997861, 60517
base-ola-mixed, 3, 200, 10, 10, 338.35, 6.57807354, , 0, 
ola-mixed, 3, 200, 10, 10, 470.72, 8.97112847, 18, 0.000596999999970649, 33215
base-ola-mixed, 3, 200, 10, 10, 349.77, 6.57464344, , 0, 
ola-mixed, 3, 200, 10, 10, 481.33, 8.96683404, 39, 0.00163199999997232, 71511
base-ola-mixed, 3, 200, 10, 10, 338.26, 6.58141379, , 0, 
ola-mixed, 3, 200, 10, 10, 466.56, 8.94426935, 21, 0.00160300000004554, 38815
base-ola-mixed, 3, 200, 25, 10, 348.25, 6.59415025, , 0, 
ola-mixed, 3, 200, 25, 10, 461.05, 8.95992956, 43, 0.00183400000003076, 78653
base-ola-mixed, 3, 200, 25, 10, 356.57, 6.62531359, , 0, 
ola-mixed, 3, 200, 25, 10, 497.75, 9.03736850, 39, 0.00066900000001624, 71383
base-ola-mixed, 3, 200, 25, 10, 371.16, 6.57051497, , 0, 
ola-mixed, 3, 200, 25, 10, 471.74, 8.97205045, 42, 0.00218800000004649, 76872
base-ola-mixed, 3, 200, 25, 10, 345.30, 6.63439307, , 0, 
ola-mixed, 3, 200, 25, 10, 471.50, 9.04897224, 34, 0.00326099999995222, 62520
base-ola-mixed, 3, 200, 25, 10, 371.14, 6.67436068, , 0, 
ola-mixed, 3, 200, 25, 10, 557.57, 9.38405498, 61, 0.000323999999977787, 111395
base-ola-mixed, 3, 200, 25, 10, 455.55, 7.02544198, , 0, 
ola-mixed, 3, 200, 25, 10, 549.82, 9.36096130, 35, 0.00140699999997196, 64160
base-ola-mixed, 3, 200, 25, 10, 402.80, 6.75795595, , 0, 
ola-mixed, 3, 200, 25, 10, 521.20, 9.24659217, 52, 0.00122799999996914, 95226
