work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
ola, 3, 200, 10, 10, 524.22, 8.56175286, 14, 0.00635999999997239, 26094
ola, 3, 200, 10, 10, 605.38, 8.81836630, 21, 0.00288199999999961, 38843
ola, 3, 200, 10, 10, 485.23, 8.41700764, 26, 0.00351000000000568, 48047
ola, 3, 200, 10, 10, 483.96, 8.37266716, 18, 0.00229000000001633, 33416
ola, 3, 200, 10, 10, 502.69, 8.49129693, 37, 0.00238999999999123, 67819
ola, 3, 200, 10, 10, 482.50, 8.41436970, 25, 0.000124000000027991, 46099
ola, 3, 200, 10, 10, 493.14, 8.47086383, 34, 0.000388000000043576, 62390
ola, 3, 200, 10, 10, 477.76, 8.35434821, 27, 0.00179000000002816, 49886
ola, 3, 200, 10, 10, 493.58, 8.41918402, 26, 0.00183300000003328, 47750
ola, 3, 200, 10, 10, 472.95, 8.35171297, 37, 0.000126000000022941, 67776
ola, 3, 200, 10, 10, 464.53, 8.32290719, 18, 0.00352299999997285, 33264
ola, 3, 200, 10, 10, 475.55, 8.39407036, 13, 0.002475000000004, 24114
ola, 3, 200, 10, 10, 546.73, 8.68479197, 20, 0.00114799999994375, 37086
ola, 3, 200, 10, 10, 504.27, 8.49030381, 14, 0.000977000000034423, 26020
ola, 3, 200, 10, 10, 482.02, 8.37522840, 14, 0.00282000000004246, 25956
ola, 3, 200, 10, 10, 492.12, 8.34988046, 36, 0.00114499999995132, 66161
ola, 3, 200, 10, 10, 474.09, 8.35122554, 12, 0.00285399999995661, 22392
ola, 3, 200, 10, 10, 492.05, 8.50692710, 28, 0.00104399999997895, 51463
ola, 3, 200, 10, 10, 554.56, 8.73987295, 16, 0.00243499999999131, 29627
ola, 3, 200, 10, 10, 530.44, 8.68694409, 27, 0.000402000000008229, 49866
ola, 3, 200, 10, 10, 533.10, 8.73160316, 30, 0.00163899999995465, 55106
ola, 3, 200, 10, 10, 528.14, 8.63309884, 30, 0.000695999999948071, 55126
ola, 3, 200, 10, 10, 528.22, 8.61882558, 22, 0.00271499999996649, 40627
