work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
baseline-v2, 3, 200, 10, 10, 403.53, 7.84699332, , 0, 
baseline-v2, 3, 200, 10, 10, 325.75, 6.59922417, , 0, 
baseline-v2, 3, 200, 10, 10, 327.23, 6.64042035, , 0, 
baseline-v2, 3, 200, 10, 10, 323.17, 6.45756102, , 0, 
baseline-v2, 3, 200, 10, 10, 327.38, 6.64515584, , 0, 
baseline-v2, 3, 200, 10, 10, 334.30, 6.48546862, , 0, 
baseline-v2, 3, 200, 10, 10, 364.12, 6.67863974, , 0, 
baseline-v2, 3, 200, 10, 10, 513.64, 7.07919933, , 0, 
baseline-v2, 3, 200, 10, 10, 352.06, 6.66577969, , 0, 
baseline-v2, 3, 200, 10, 10, 332.61, 6.52507792, , 0, 
baseline-v2, 3, 200, 10, 10, 340.02, 6.66994597, , 0, 
baseline-v2, 3, 200, 10, 10, 336.78, 6.68097953, , 0, 
baseline-v2, 3, 200, 10, 10, 362.69, 6.72357148, , 0, 
baseline-v2, 3, 200, 10, 10, 363.44, 6.70146528, , 0, 
baseline-v2, 3, 200, 10, 10, 341.48, 6.67059819, , 0, 
baseline-v2, 3, 200, 10, 10, 344.16, 6.63907144, , 0, 
baseline-v2, 3, 200, 10, 10, 334.69, 6.65802234, , 0, 
baseline-v2, 3, 200, 10, 10, 347.35, 6.62357285, , 0, 
baseline-v2, 3, 200, 10, 10, 365.77, 6.62196878, , 0, 
baseline-v2, 3, 200, 10, 10, 353.94, 6.67797104, , 0, 
baseline-v2, 3, 200, 10, 10, 344.30, 6.54240299, , 0, 
baseline-v2, 3, 200, 10, 10, 368.52, 6.73132894, , 0, 
baseline-v2, 3, 200, 10, 10, 356.80, 6.72130432, , 0, 
baseline-v2, 3, 200, 10, 10, 343.89, 6.70100838, , 0, 
baseline-v2, 3, 200, 10, 10, 355.74, 6.70002497, , 0, 
baseline-v2, 3, 200, 10, 10, 471.96, 7.05740222, , 0, 
baseline-v2, 3, 200, 10, 10, 363.49, 6.75169522, , 0, 
baseline-v2, 3, 200, 10, 10, 343.44, 6.64281825, , 0, 
baseline-v2, 3, 200, 10, 10, 330.24, 6.66117506, , 0, 
baseline-v2, 3, 200, 10, 10, 339.36, 6.66682202, , 0, 
baseline-v2, 3, 200, 25, 10, 341.08, 6.67616855, , 0, 
baseline-v2, 3, 200, 25, 10, 324.17, 6.61188297, , 0, 
baseline-v2, 3, 200, 25, 10, 328.07, 6.48067634, , 0, 
baseline-v2, 3, 200, 25, 10, 332.98, 6.62505247, , 0, 
baseline-v2, 3, 200, 25, 10, 339.63, 6.62880331, , 0, 
baseline-v2, 3, 200, 25, 10, 330.34, 6.62028613, , 0, 
baseline-v2, 3, 200, 25, 10, 370.94, 6.74046026, , 0, 
baseline-v2, 3, 200, 25, 10, 364.89, 6.70948056, , 0, 
baseline-v2, 3, 200, 25, 10, 350.02, 6.66654550, , 0, 
baseline-v2, 3, 200, 25, 10, 344.97, 6.64627560, , 0, 
baseline-v2, 3, 200, 25, 10, 333.06, 6.62682007, , 0, 
baseline-v2, 3, 200, 25, 10, 329.23, 6.52064320, , 0, 
baseline-v2, 3, 200, 25, 10, 321.54, 6.45604337, , 0, 
baseline-v2, 3, 200, 25, 10, 328.10, 6.61405664, , 0, 
baseline-v2, 3, 200, 25, 10, 330.29, 6.68832386, , 0, 
baseline-v2, 3, 200, 25, 10, 332.99, 6.65868438, , 0, 
baseline-v2, 3, 200, 25, 10, 315.89, 6.48656936, , 0, 
baseline-v2, 3, 200, 25, 10, 320.57, 6.46190265, , 0, 
baseline-v2, 3, 200, 25, 10, 334.02, 6.66516983, , 0, 
baseline-v2, 3, 200, 25, 10, 330.35, 6.63239813, , 0, 
baseline-v2, 3, 200, 25, 10, 336.71, 6.54917967, , 0, 
baseline-v2, 3, 200, 25, 10, 328.49, 6.67634618, , 0, 
baseline-v2, 3, 200, 25, 10, 327.20, 6.50420613, , 0, 
baseline-v2, 3, 200, 25, 10, 326.17, 6.53918253, , 0, 
baseline-v2, 3, 200, 25, 10, 341.57, 6.64032329, , 0, 
baseline-v2, 3, 200, 25, 10, 372.72, 6.74531427, , 0, 
baseline-v2, 3, 200, 25, 10, 339.38, 6.47043195, , 0, 
baseline-v2, 3, 200, 25, 10, 324.05, 6.50581830, , 0, 
baseline-v2, 3, 200, 25, 10, 344.91, 6.65560459, , 0, 
baseline-v2, 3, 200, 25, 10, 337.55, 6.63267372, , 0, 
baseline-v2, 3, 400, 10, 10, 329.09, 6.48718223, , 0, 
