work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
ola-v2, 3, 200, 10, 10, 606.83, 10.71660800, 18, 0.000658000000044012, 33364
ola-v2, 3, 200, 10, 10, 541.27, 9.35303721, 36, 0.00177099999996244, 65983
ola-v2, 3, 200, 10, 10, 444.15, 9.06871042, 22, 0.00284199999998691, 40571
ola-v2, 3, 200, 10, 10, 568.36, 9.34706062, 17, 0.00142200000004777, 31549
ola-v2, 3, 200, 10, 10, 613.13, 9.42061770, 17, 0.00152300000002015, 31642
ola-v2, 3, 200, 10, 10, 438.89, 8.95698886, 30, 0.00106300000004467, 55298
ola-v2, 3, 200, 10, 10, 454.11, 9.02732468, 17, 0.00321299999995972, 31451
ola-v2, 3, 200, 10, 10, 445.99, 9.04728835, 24, 0.00177499999995234, 44224
ola-v2, 3, 200, 10, 10, 486.67, 9.15501743, 17, 0.00295600000004015, 31534
ola-v2, 3, 200, 10, 10, 495.35, 9.10780964, 23, 0.000489000000015949, 42414
ola-v2, 3, 200, 10, 10, 504.49, 9.19802323, 13, 0.000560999999947853, 24132
ola-v2, 3, 200, 10, 10, 503.63, 9.18696221, 14, 0.00441499999999451, 26199
ola-v2, 3, 200, 10, 10, 493.01, 9.26737649, 16, 0.00547099999994316, 29576
ola-v2, 3, 200, 10, 10, 576.86, 9.46190192, 29, 0.00275099999998929, 53203
ola-v2, 3, 200, 10, 10, 517.57, 9.43331678, 30, 0.00181899999995494, 55241
ola-v2, 3, 200, 10, 10, 483.69, 9.25873546, 19, 0.0024310000000014, 35017
ola-v2, 3, 200, 10, 10, 533.85, 9.39365908, 20, 0.00323600000001534, 36974
ola-v2, 3, 200, 10, 10, 520.80, 9.32783307, 19, 0.00449000000003252, 35141
ola-v2, 3, 200, 10, 10, 527.03, 9.41641710, 22, 0.0026749999999538, 40709
ola-v2, 3, 200, 10, 10, 470.30, 9.20248048, 24, 0.000435000000038599, 44191
ola-v2, 3, 200, 10, 10, 537.82, 9.50414206, 27, 0.000705000000039036, 49733
ola-v2, 3, 200, 10, 10, 477.13, 9.14541188, 29, 0.00189199999999801, 53130
ola-v2, 3, 200, 10, 10, 524.12, 9.31726363, 24, 0.000765000000001237, 44161
ola-v2, 3, 200, 10, 10, 447.18, 8.97796756, 35, 0.000544999999988249, 64321
ola-v2, 3, 200, 10, 10, 486.46, 9.18420739, 36, 0.00280999999995402, 66150
ola-v2, 3, 200, 10, 10, 486.55, 9.30109720, 21, 0.0030100000000175, 38871
ola-v2, 3, 200, 10, 10, 485.35, 9.20283943, 36, 0.000933000000031825, 65856
ola-v2, 3, 200, 10, 10, 483.96, 9.11035489, 28, 0.00107500000001437, 51701
ola-v2, 3, 200, 10, 10, 458.93, 9.02467898, 19, 0.000569000000041342, 35168
ola-v2, 3, 200, 10, 10, 458.10, 9.01321047, 34, 0.00195299999995768, 62308
ola-v2, 3, 200, 25, 10, 452.60, 9.13546192, 57, 0.000545999999985725, 104323
ola-v2, 3, 200, 25, 10, 466.58, 9.09136857, 39, 0.000363999999990483, 71537
ola-v2, 3, 200, 25, 10, 440.44, 9.07652673, 32, 0.000270000000000437, 58789
ola-v2, 3, 200, 25, 10, 450.51, 9.08595589, 59, 0.00151900000003025, 107739
ola-v2, 3, 200, 25, 10, 477.34, 9.26975507, 28, 0.00146700000004785, 51669
ola-v2, 3, 200, 25, 10, 580.20, 9.71677535, 79, 0.000488000000018474, 144248
ola-v2, 3, 200, 25, 10, 521.94, 9.27976690, 36, 0.0015170000000353, 65988
ola-v2, 3, 200, 25, 10, 606.87, 9.61888162, 40, 0.000961999999958607, 73313
ola-v2, 3, 200, 25, 10, 507.07, 9.21140963, 34, 0.00111700000002202, 62316
ola-v2, 3, 200, 25, 10, 454.09, 9.02189623, 41, 0.00131099999998696, 75210
