work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-balance_power, 5, 400, 10, 10, 335.29, 6.64751732, , 0, 
balance_power, 5, 400, 10, 10, 452.09, 8.99516045, 15, 0.261869999999988, 56532
base-balance_power, 5, 400, 10, 10, 348.02, 6.65571772, , 0, 
balance_power, 5, 400, 10, 10, 482.26, 9.05356444, 12, 0.271356999999966, 45299
base-balance_power, 5, 400, 10, 10, 337.51, 6.64824587, , 0, 
balance_power, 5, 400, 10, 10, 465.96, 8.96741778, 19, 0.162848999999994, 71330
base-balance_power, 5, 400, 10, 10, 347.06, 6.66068186, , 0, 
balance_power, 5, 400, 10, 10, 466.38, 8.99738346, 16, 0.271106999999972, 59882
base-balance_power, 5, 400, 10, 10, 389.98, 6.82277235, , 0, 
balance_power, 5, 400, 10, 10, 548.54, 9.33271756, 13, 0.0600999999999772, 49017
base-balance_power, 5, 400, 10, 10, 361.52, 6.70541824, , 0, 
balance_power, 5, 400, 10, 10, 488.62, 9.06958997, 30, 0.168573999999978, 111912
base-balance_power, 5, 400, 10, 10, 344.64, 6.66186203, , 0, 
balance_power, 5, 400, 10, 10, 509.53, 9.17206229, 19, 0.142066, 71208
base-balance_power, 5, 400, 10, 10, 372.86, 6.74075489, , 0, 
balance_power, 5, 400, 10, 10, 483.71, 9.10399265, 16, 0.183023999999989, 60005
base-balance_power, 5, 400, 10, 10, 370.85, 6.71901485, , 0, 
balance_power, 5, 400, 10, 10, 488.24, 9.16240321, 22, 0.19635199999999, 82095
base-balance_power, 5, 400, 10, 10, 373.50, 6.77034342, , 0, 
balance_power, 5, 400, 10, 10, 486.89, 9.06564181, 13, 0.165470999999968, 48883
base-balance_power, 5, 400, 10, 10, 341.64, 6.69283378, , 0, 
balance_power, 5, 400, 10, 10, 475.60, 9.02615538, 13, 0.187329999999974, 49017
base-balance_power, 5, 400, 10, 10, 366.31, 6.70587940, , 0, 
balance_power, 5, 400, 10, 10, 514.49, 9.15266940, 22, 0.29200800000001, 82058
base-balance_power, 5, 400, 10, 10, 368.13, 6.71990445, , 0, 
balance_power, 5, 400, 10, 10, 552.26, 9.41376239, 12, 0.198838999999964, 45474
base-balance_power, 5, 400, 10, 10, 381.62, 6.81671415, , 0, 
balance_power, 5, 400, 10, 10, 507.83, 9.17287449, 25, 0.152383999999984, 93247
base-balance_power, 5, 400, 10, 10, 330.09, 6.65913825, , 0, 
balance_power, 5, 400, 10, 10, 479.93, 9.09601826, 17, 0.16603699999996, 63782
base-balance_power, 5, 400, 10, 10, 354.34, 6.71500068, , 0, 
balance_power, 5, 400, 10, 10, 456.63, 9.07110184, 24, 0.147159999999985, 89597
base-balance_power, 5, 400, 10, 10, 385.07, 6.86574259, , 0, 
balance_power, 5, 400, 10, 10, 490.51, 9.10966488, 21, 0.240140999999994, 78595
base-balance_power, 5, 400, 10, 10, 345.21, 6.63180733, , 0, 
balance_power, 5, 400, 10, 10, 503.29, 9.10904154, 13, 0.345181999999966, 49017
base-balance_power, 5, 400, 10, 10, 347.08, 6.65929692, , 0, 
balance_power, 5, 400, 10, 10, 470.84, 9.05444962, 20, 0.196613000000013, 74782
base-balance_power, 5, 400, 10, 10, 368.89, 6.74068025, , 0, 
balance_power, 5, 400, 10, 10, 532.43, 9.19643735, 17, 0.301075999999966, 63594
base-balance_power, 5, 400, 10, 10, 379.33, 6.79787970, , 0, 
balance_power, 5, 400, 10, 10, 506.92, 9.18440310, 14, 0.161522999999988, 52563
base-balance_power, 5, 400, 10, 10, 345.33, 6.68688817, , 0, 
balance_power, 5, 400, 10, 10, 482.56, 9.18046359, 17, 0.299898999999982, 63727
base-balance_power, 5, 400, 10, 10, 352.70, 6.71484023, , 0, 
balance_power, 5, 400, 10, 10, 471.48, 9.02893861, 13, 0.107979, 48996
base-balance_power, 5, 400, 10, 10, 352.81, 6.65866195, , 0, 
balance_power, 5, 400, 10, 10, 473.83, 8.96803916, 13, 0.314239999999984, 49008
base-balance_power, 5, 400, 10, 10, 360.40, 6.74953845, , 0, 
balance_power, 5, 400, 10, 10, 489.17, 9.06136322, 16, 0.209178000000009, 59948
base-balance_power, 5, 400, 10, 10, 337.51, 6.67263791, , 0, 
balance_power, 5, 400, 10, 10, 470.96, 9.06851695, 19, 0.225281999999993, 71262
base-balance_power, 5, 400, 10, 10, 349.48, 6.73019926, , 0, 
balance_power, 5, 400, 10, 10, 488.85, 9.07132415, 16, 0.553402000000006, 60165
base-balance_power, 5, 400, 10, 10, 397.49, 6.97060243, , 0, 
balance_power, 5, 400, 10, 10, 583.55, 9.57294575, 29, 0.154444000000012, 108418
base-balance_power, 5, 400, 10, 10, 381.25, 6.77183017, , 0, 
balance_power, 5, 400, 10, 10, 517.51, 9.37416667, 20, 0.243684999999971, 74857
base-balance_power, 5, 400, 10, 10, 360.85, 6.78274012, , 0, 
balance_power, 5, 400, 10, 10, 476.15, 9.00273215, 14, 0.454480999999987, 52658
base-balance_power, 5, 400, 25, 10, 367.56, 6.72615638, , 0, 
balance_power, 5, 400, 25, 10, 527.61, 9.41002100, 31, 0.174739999999986, 115441
base-balance_power, 5, 400, 25, 10, 370.34, 6.82102631, , 0, 
balance_power, 5, 400, 25, 10, 536.30, 9.40600606, 55, 0.100209000000007, 204577
base-balance_power, 5, 400, 25, 10, 399.52, 6.93696318, , 0, 
balance_power, 5, 400, 25, 10, 497.10, 9.27411362, 54, 0.0594059999999672, 200511
base-balance_power, 5, 400, 25, 10, 367.42, 6.74959026, , 0, 
balance_power, 5, 400, 25, 10, 474.28, 9.09328829, 66, 0.166961000000015, 244858
base-balance_power, 5, 400, 25, 10, 394.82, 6.89119718, , 0, 
balance_power, 5, 400, 25, 10, 598.72, 9.66108563, 33, 0.151093000000003, 123031
base-balance_power, 5, 400, 25, 10, 416.20, 6.95143251, , 0, 
balance_power, 5, 400, 25, 10, 618.82, 9.75245572, 28, 0.064233999999999, 104266
base-balance_power, 5, 400, 25, 10, 356.18, 6.76309945, , 0, 
balance_power, 5, 400, 25, 10, 465.39, 9.08661358, 36, 0.199297000000001, 134283
base-balance_power, 5, 400, 25, 10, 336.52, 6.69607309, , 0, 
balance_power, 5, 400, 25, 10, 471.25, 9.01621605, 49, 0.183917000000008, 182303
base-balance_power, 5, 400, 25, 10, 350.44, 6.65740396, , 0, 
balance_power, 5, 400, 25, 10, 466.74, 9.05119006, 46, 0.0272919999999885, 171125
base-balance_power, 5, 400, 25, 10, 364.52, 6.72273113, , 0, 
balance_power, 5, 400, 25, 10, 463.92, 9.04843944, 32, 0.140398000000005, 119091
base-balance_power, 5, 400, 25, 10, 346.03, 6.65493103, , 0, 
balance_power, 5, 400, 25, 10, 464.35, 9.04890340, 34, 0.0808869999999615, 126930
