work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-ola-mixed-inverted, 5, 400, 10, 10, 306.96, 6.66838028, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 447.03, 8.93096737, 18, 0.240895999999964, 67375
base-ola-mixed-inverted, 5, 400, 10, 10, 325.95, 6.60668068, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 0, 0, 13, 0.197493000000009, 49083
base-ola-mixed-inverted, 5, 400, 10, 10, 322.31, 6.63842295, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 465.88, 9.13400114, 27, 0.0603309999999624, 100663
base-ola-mixed-inverted, 5, 400, 10, 10, 325.67, 6.64769478, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 432.39, 9.00635359, 12, 0.201873999999975, 45364
base-ola-mixed-inverted, 5, 400, 10, 10, 315.55, 6.62919358, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 424.51, 8.98876554, 24, 0.275206999999966, 89701
base-ola-mixed-inverted, 5, 400, 10, 10, 315.66, 6.65766973, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 441.47, 8.99770081, 30, 0.27415400000001, 111944
base-ola-mixed-inverted, 5, 400, 10, 10, 319.73, 6.64546195, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 433.17, 8.97639867, 12, 0.151872999999966, 45285
base-ola-mixed-inverted, 5, 400, 10, 10, 328.81, 6.69250546, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 440.80, 9.01275674, 31, 0.185701999999992, 115580
base-ola-mixed-inverted, 5, 400, 10, 10, 329.89, 6.61029081, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 427.67, 8.97537046, 21, 0.149455999999986, 78484
base-ola-mixed-inverted, 5, 400, 10, 10, 327.09, 6.63297583, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 445.61, 9.03500799, 16, 0.0668850000000134, 60152
base-ola-mixed-inverted, 5, 400, 10, 10, 348.91, 6.68270737, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 0, 0, 23, 0.226137999999992, 85967
base-ola-mixed-inverted, 5, 400, 10, 10, 317.17, 6.63523918, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 427.63, 8.99783178, 19, 0.243065999999999, 71184
base-ola-mixed-inverted, 5, 400, 10, 10, 318.38, 6.63576824, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 445.33, 8.98319771, 20, 0.228278999999986, 74941
base-ola-mixed-inverted, 5, 400, 10, 10, 328.73, 6.62434713, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 429.74, 9.01522853, 12, 0.179619000000002, 45061
base-ola-mixed-inverted, 5, 400, 10, 10, 327.88, 6.66963150, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 433.96, 9.03172596, 20, 0.178804000000014, 74940
base-ola-mixed-inverted, 5, 400, 10, 10, 353.32, 6.77707962, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 439.16, 8.98608023, 13, 0.0982020000000148, 48976
base-ola-mixed-inverted, 5, 400, 10, 10, 327.72, 6.70280496, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 438.21, 8.98651517, 20, 0.0894759999999906, 74868
base-ola-mixed-inverted, 5, 400, 10, 10, 333.42, 6.65926446, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 459.07, 9.06732106, 20, 0.209955999999977, 74853
base-ola-mixed-inverted, 5, 400, 10, 10, 378.25, 6.85545856, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 455.48, 9.08229282, 13, 0.195381999999995, 49025
base-ola-mixed-inverted, 5, 400, 10, 10, 329.74, 6.63382467, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 470.40, 9.14910729, 24, 0.0284540000000106, 89687
base-ola-mixed-inverted, 5, 400, 10, 10, 434.89, 7.07621881, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 619.05, 9.61109457, 17, 0.159208999999976, 63726
base-ola-mixed-inverted, 5, 400, 10, 10, 344.87, 6.70173197, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 469.48, 9.15067162, 14, 0.274482999999975, 52830
base-ola-mixed-inverted, 5, 400, 10, 10, 385.99, 6.99401820, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 551.23, 9.56180979, 17, 0.383415000000014, 63604
base-ola-mixed-inverted, 5, 400, 10, 10, 372.20, 6.90373612, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 590.76, 9.54721974, 16, 0.116174000000001, 60082
base-ola-mixed-inverted, 5, 400, 10, 10, 375.10, 6.85678073, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 463.25, 9.12207037, 24, 0.250941000000012, 89641
base-ola-mixed-inverted, 5, 400, 10, 10, 504.95, 7.21281735, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 709.52, 10.11924606, 13, 0.308496999999988, 49076
base-ola-mixed-inverted, 5, 400, 10, 10, 523.01, 7.21717814, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 557.89, 9.36219018, 14, 0.296362999999985, 52580
base-ola-mixed-inverted, 5, 400, 10, 10, 385.75, 6.80929297, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 527.88, 9.31356845, 15, 0.141143999999997, 56343
base-ola-mixed-inverted, 5, 400, 10, 10, 413.54, 6.96323549, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 581.16, 9.64448279, 31, 0.114300000000014, 115465
base-ola-mixed-inverted, 5, 400, 10, 10, 400.56, 6.97829090, , 0, 
ola-mixed-inverted, 5, 400, 10, 10, 529.69, 9.42435034, 23, 0.171524999999974, 85921
