work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
base-ola-no0, 5, 400, 10, 10, 395.26, 7.82555934, , 0, 
ola-no0, 5, 400, 10, 10, 464.20, 9.03215513, 15, 0.103860999999995, 56415
base-ola-no0, 5, 400, 10, 10, 311.01, 6.57391599, , 0, 
ola-no0, 5, 400, 10, 10, 421.21, 8.94222184, 15, 0.210203999999976, 56440
base-ola-no0, 5, 400, 10, 10, 309.45, 6.56951247, , 0, 
ola-no0, 5, 400, 10, 10, 441.04, 8.94513864, 14, 0.185111000000006, 52612
base-ola-no0, 5, 400, 10, 10, 317.39, 6.57298322, , 0, 
ola-no0, 5, 400, 10, 10, 424.12, 8.93014844, 13, 0.316617000000008, 48892
base-ola-no0, 5, 400, 10, 10, 321.21, 6.59184766, , 0, 
ola-no0, 5, 400, 10, 10, 445.16, 8.97019758, 36, 0.23604899999998, 134005
base-ola-no0, 5, 400, 10, 10, 306.94, 6.59392206, , 0, 
ola-no0, 5, 400, 10, 10, 460.38, 9.08412638, 20, 0.286944000000005, 74995
base-ola-no0, 5, 400, 10, 10, 323.38, 6.61416593, , 0, 
ola-no0, 5, 400, 10, 10, 514.07, 9.12391000, 15, 0.294395000000009, 56324
base-ola-no0, 5, 400, 10, 10, 325.82, 6.60540445, , 0, 
ola-no0, 5, 400, 10, 10, 470.39, 9.09110953, 13, 0.233767999999998, 49032
base-ola-no0, 5, 400, 10, 10, 330.72, 6.64097920, , 0, 
ola-no0, 5, 400, 10, 10, 452.43, 9.04933248, 28, 0.17805199999998, 104350
base-ola-no0, 5, 400, 10, 10, 328.38, 6.55828850, , 0, 
ola-no0, 5, 400, 10, 10, 431.15, 8.99751800, 32, 0.0687289999999621, 119303
base-ola-no0, 5, 400, 10, 10, 307.12, 6.56197237, , 0, 
ola-no0, 5, 400, 10, 10, 437.87, 8.93005090, 30, 0.142844999999966, 112083
base-ola-no0, 5, 400, 10, 10, 319.75, 6.59808332, , 0, 
ola-no0, 5, 400, 10, 10, 445.92, 8.95726072, 17, 0.229225999999983, 63758
base-ola-no0, 5, 400, 10, 10, 349.46, 6.65958120, , 0, 
ola-no0, 5, 400, 10, 10, 421.18, 8.94603974, 36, 0.0872999999999706, 133780
base-ola-no0, 5, 400, 10, 10, 312.14, 6.61043315, , 0, 
ola-no0, 5, 400, 10, 10, 493.01, 9.20151626, 20, 0.128052999999966, 74765
base-ola-no0, 5, 400, 10, 10, 344.40, 6.68452755, , 0, 
ola-no0, 5, 400, 10, 10, 475.28, 9.10350874, 26, 0.124014999999986, 97175
base-ola-no0, 5, 400, 10, 10, 363.16, 6.62115643, , 0, 
ola-no0, 5, 400, 10, 10, 502.73, 9.21649001, 34, 0.0715639999999667, 126807
base-ola-no0, 5, 400, 10, 10, 320.61, 6.59324682, , 0, 
ola-no0, 5, 400, 10, 10, 420.90, 8.96212043, 30, 0.0790769999999839, 111904
base-ola-no0, 5, 400, 10, 10, 320.72, 6.57122743, , 0, 
ola-no0, 5, 400, 10, 10, 439.88, 8.98714634, 12, 0.379480000000001, 45450
base-ola-no0, 5, 400, 10, 10, 336.09, 6.74063799, , 0, 
ola-no0, 5, 400, 10, 10, 472.60, 9.16742118, 19, 0.159052999999972, 71264
base-ola-no0, 5, 400, 10, 10, 326.38, 6.58983224, , 0, 
