work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
ola-baseline, 3, 200, 10, 10, 374.07, 7.86498453, , 0, 
ola-baseline, 3, 200, 10, 10, 336.38, 6.52970779, , 0, 
ola-baseline, 3, 200, 10, 10, 308.06, 6.58433014, , 0, 
ola-baseline, 3, 200, 10, 10, 309.84, 6.43896936, , 0, 
ola-baseline, 3, 200, 10, 10, 317.14, 6.44264229, , 0, 
ola-baseline, 3, 200, 10, 10, 327.65, 6.60582117, , 0, 
ola-baseline, 3, 200, 10, 10, 327.34, 6.66115969, , 0, 
ola-baseline, 3, 200, 10, 10, 336.26, 6.65803725, , 0, 
ola-baseline, 3, 200, 10, 10, 308.55, 6.47393488, , 0, 
ola-baseline, 3, 200, 10, 10, 320.32, 6.46269506, , 0, 
ola-baseline, 3, 200, 10, 10, 317.11, 6.45517398, , 0, 
ola-baseline, 3, 200, 10, 10, 305.20, 6.46893830, , 0, 
ola-baseline, 3, 200, 10, 10, 311.67, 6.46997394, , 0, 
ola-baseline, 3, 200, 10, 10, 308.63, 6.45499026, , 0, 
ola-baseline, 3, 200, 10, 10, 322.22, 6.45290080, , 0, 
ola-baseline, 3, 200, 10, 10, 319.10, 6.48900874, , 0, 
ola-baseline, 3, 200, 10, 10, 308.46, 6.48771573, , 0, 
ola-baseline, 3, 200, 10, 10, 326.66, 6.54283251, , 0, 
ola-baseline, 3, 200, 10, 10, 316.05, 6.44839545, , 0, 
ola-baseline, 3, 200, 10, 10, 329.87, 6.54693675, , 0, 
ola-baseline, 3, 200, 10, 10, 327.13, 6.61234958, , 0, 
ola-baseline, 3, 200, 10, 10, 306.57, 6.47646347, , 0, 
ola-baseline, 3, 200, 10, 10, 317.58, 6.47341813, , 0, 
ola-baseline, 3, 200, 10, 10, 306.69, 6.48497232, , 0, 
ola-baseline, 3, 200, 10, 10, 324.22, 6.49043648, , 0, 
ola-baseline, 3, 200, 10, 10, 309.09, 6.44973851, , 0, 
ola-baseline, 3, 200, 10, 10, 338.60, 6.64839247, , 0, 
ola-baseline, 3, 200, 10, 10, 322.53, 6.64594600, , 0, 
ola-baseline, 3, 200, 10, 10, 316.48, 6.46356373, , 0, 
ola-baseline, 3, 200, 10, 10, 310.29, 6.45682706, , 0, 
ola-baseline, 3, 200, 10, 25, 305.70, 6.49048037, , 0, 
ola-baseline, 3, 200, 10, 25, 313.10, 6.47793564, , 0, 
ola-baseline, 3, 200, 10, 25, 309.07, 6.54284217, , 0, 
ola-baseline, 3, 200, 10, 25, 320.04, 6.47208960, , 0, 
ola-baseline, 3, 200, 10, 25, 305.25, 6.49521217, , 0, 
