Energy; seconds
17.755167093; 10.61
17.287141779; 10.63
17.476082308; 10.58
17.227012159; 10.63
17.338019313; 10.61
17.88839667; 10.7
17.033140569; 10.59
17.364633888; 10.62
17.223865528; 10.64
17.804085932; 10.62
17.275575688; 10.64
17.480927558; 10.57
17.937954176; 10.58
17.709413205; 10.65
17.267094752; 10.61
18.241114318; 10.59
17.643124113; 10.57
16.983359764; 10.61
16.63886601; 10.66
16.69111642; 10.62
17.162029194; 10.63
18.994005555; 10.65
17.683729955; 10.65
17.731114968; 10.59
18.061885047; 10.63
17.81644466; 10.6
18.267689674; 10.59
17.49412006; 10.62
17.81834194; 10.6
18.014575093; 10.63
