work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v4, 3, 400, 10, 10, 16, 168.99, 3.88228237, , 0, , 1, 38.4, 37.2, 42.8, 39.6
v4, 3, 400, 10, 10, 16, 261.46, 5.63038878, 18, 0.460386999999969, 21628, 1, 42.5, 40.1, 41.2, 40.1
base-v4, 3, 400, 10, 10, 16, 172.52, 3.79773421, , 0, , 1, 41.8, 40.1, 43.0, 39.4
v4, 3, 400, 10, 10, 16, 260.88, 5.64055242, 15, 0.113853000000006, 17967, 1, 43.2, 40.1, 42.0, 39.6
base-v4, 3, 400, 10, 10, 16, 178.37, 3.82814065, , 0, , 1, 42.2, 39.6, 42.8, 39.6
v4, 3, 400, 10, 10, 16, 261.17, 5.68250689, 19, 0.351836999999989, 22497, 1, 43.5, 39.6, 44.8, 39.6
base-v4, 3, 400, 10, 10, 16, 181.77, 3.83598218, , 0, , 1, 42.2, 40.1, 41.8, 40.1
v4, 3, 400, 10, 10, 16, 262.23, 5.69780185, 13, 0.347262000000001, 15696, 1, 41.2, 40.6, 43.0, 39.6
base-v4, 3, 400, 10, 10, 16, 180.01, 3.80980124, , 0, , 1, 44.0, 39.9, 41.5, 39.6
v4, 3, 400, 10, 10, 16, 258.28, 5.66340080, 16, 0.362549999999999, 19080, 1, 41.8, 40.1, 43.8, 40.1
base-v4, 3, 400, 10, 10, 16, 173.92, 3.80091826, , 0, , 1, 41.8, 40.1, 44.5, 39.6
v4, 3, 400, 10, 10, 16, 258.16, 5.65270579, 17, 0.242763999999966, 20378, 1, 43.2, 39.6, 42.5, 39.2
base-v4, 3, 400, 10, 10, 16, 176.99, 3.82443839, , 0, , 1, 42.5, 39.6, 43.0, 39.6
v4, 3, 400, 10, 10, 16, 264.41, 5.70513263, 14, 0.50648799999999, 16743, 1, 43.2, 40.1, 71.9, 40.1
base-v4, 3, 400, 10, 10, 16, 182.98, 3.81580803, , 0, , 1, 45.6, 40.1, 43.5, 40.6
v4, 3, 400, 10, 10, 16, 263.16, 5.68064278, 14, 0.484204999999974, 16886, 1, 42.0, 40.6, 43.2, 39.6
base-v4, 3, 400, 10, 10, 16, 185.86, 3.83400033, , 0, , 1, 42.5, 39.6, 41.8, 42.2
v4, 3, 400, 10, 10, 16, 267.40, 5.72568931, 16, 0.455499999999972, 18935, 1, 41.8, 40.9, 42.2, 39.2
base-v4, 3, 400, 10, 10, 16, 180.65, 3.81936187, , 0, , 1, 42.8, 39.6, 42.8, 40.1
v4, 3, 400, 10, 10, 16, 264.50, 5.71061616, 18, 0.707506999999964, 21537, 1, 43.0, 40.6, 42.5, 39.6
base-v4, 3, 400, 10, 10, 16, 176.52, 3.81029071, , 0, , 1, 41.8, 40.1, 41.8, 40.1
v4, 3, 400, 10, 10, 16, 260.46, 5.64157896, 17, 0.593335999999965, 20078, 1, 41.8, 40.6, 43.0, 40.1
base-v4, 3, 400, 10, 10, 16, 184.56, 3.84408918, , 0, , 1, 42.2, 40.6, 42.8, 41.1
v4, 3, 400, 10, 10, 16, 257.56, 5.70293200, 13, 0.453956000000005, 15728, 1, 42.8, 41.1, 44.5, 39.6
base-v4, 3, 400, 10, 10, 16, 172.43, 3.79331776, , 0, , 1, 44.0, 40.1, 43.5, 39.6
v4, 3, 400, 10, 10, 16, 254.96, 5.65315364, 16, 0.383565999999973, 19106, 1, 42.5, 40.1, 42.5, 40.6
base-v4, 3, 400, 10, 10, 16, 175.30, 3.81212797, , 0, , 1, 42.2, 40.1, 41.5, 39.6
v4, 3, 400, 10, 10, 16, 266.28, 5.61830013, 16, 0.416209999999978, 19295, 1, 43.2, 40.6, 41.8, 40.1
base-v4, 3, 400, 10, 10, 16, 183.83, 3.86534223, , 0, , 1, 42.5, 40.1, 43.2, 40.1
v4, 3, 400, 10, 10, 16, 264.72, 5.67813536, 16, 0.351729999999975, 19334, 1, 43.0, 40.1, 45.2, 40.4
base-v4, 3, 400, 10, 10, 16, 179.66, 3.81807953, , 0, , 1, 44.1, 41.9, 41.8, 40.1
v4, 3, 400, 10, 10, 16, 272.99, 5.72761925, 19, 0.31801999999999, 22332, 1, 42.8, 40.1, 41.8, 40.1
