work,dimension,population_size,max_gens,alpha,steps,PKG,seconds,generations,diff_fitness,evaluations,die,initial_temp_1, initial_temp_2, final_temp_1, final_temp_2
base-v4, 3, 400, 10, 10, 16, 197.36, 3.82909053, , 0, , 1, 37.4, 35.9, 41.8, 40.1
v4, 3, 400, 10, 10, 16, 273.27, 5.60417101, 18, 0.841015999999968, 21455, 1, 41.8, 41.1, 41.2, 38.8
base-v4, 3, 400, 10, 10, 16, 177.29, 3.80328358, , 0, , 1, 41.8, 39.2, 40.8, 38.2
v4, 3, 400, 10, 10, 16, 268.48, 5.61084907, 18, 0.152896999999996, 21588, 1, 40.2, 38.8, 43.2, 39.2
base-v4, 3, 400, 10, 10, 16, 178.43, 3.78538814, , 0, , 1, 42.2, 39.2, 41.2, 38.8
v4, 3, 400, 10, 10, 16, 264.04, 5.60300742, 17, 1.028324, 20210, 1, 41.8, 38.8, 42.0, 39.6
base-v4, 3, 400, 10, 10, 16, 182.52, 3.80865570, , 0, , 1, 42.5, 39.2, 42.0, 38.2
v4, 3, 400, 10, 10, 16, 266.72, 5.66449898, 16, 0.311793999999963, 19057, 1, 41.0, 38.8, 40.8, 39.2
base-v4, 3, 400, 10, 10, 16, 170.20, 3.75945296, , 0, , 1, 40.2, 39.6, 42.2, 38.8
v4, 3, 400, 10, 10, 16, 275.11, 5.63027736, 16, 0.242629999999963, 19008, 1, 41.2, 39.2, 40.8, 38.8
base-v4, 3, 400, 10, 10, 16, 188.83, 3.80838332, , 0, , 1, 40.8, 39.6, 41.0, 39.6
v4, 3, 400, 10, 10, 16, 284.10, 5.66580915, 16, 0.323035000000004, 18962, 1, 41.0, 39.6, 42.0, 39.2
base-v4, 3, 400, 10, 10, 16, 176.51, 3.80806061, , 0, , 1, 41.5, 40.1, 40.8, 39.2
v4, 3, 400, 10, 10, 16, 264.23, 5.64567838, 16, 0.105961999999977, 19122, 1, 40.2, 39.6, 43.8, 39.6
base-v4, 3, 400, 10, 10, 16, 179.33, 3.81100208, , 0, , 1, 42.0, 39.2, 41.2, 39.2
v4, 3, 400, 10, 10, 16, 269.96, 5.67446645, 14, 0.417614000000015, 17178, 1, 41.8, 39.6, 46.4, 40.1
base-v4, 3, 400, 10, 10, 16, 185.65, 3.84758744, , 0, , 1, 43.0, 40.4, 43.0, 39.2
v4, 3, 400, 10, 10, 16, 253.09, 5.60516858, 14, 0.585072999999966, 16852, 1, 42.0, 39.2, 41.0, 39.2
base-v4, 3, 400, 10, 10, 16, 169.98, 3.77867249, , 0, , 1, 41.2, 39.2, 45.9, 50.4
v4, 3, 400, 10, 10, 16, 263.50, 5.63974608, 18, 0.436915999999997, 21075, 1, 57.6, 40.1, 41.2, 39.9
base-v4, 3, 400, 10, 10, 16, 172.01, 3.76902177, , 0, , 1, 41.8, 39.6, 42.2, 39.6
v4, 3, 400, 10, 10, 16, 256.57, 5.62159004, 19, 0.457627000000002, 22422, 1, 43.5, 39.2, 41.8, 38.8
base-v4, 3, 400, 10, 10, 16, 220.06, 3.94493860, , 0, , 1, 41.2, 39.2, 41.8, 39.2
v4, 3, 400, 10, 10, 16, 265.04, 5.63198220, 17, 0.671485000000018, 20015, 1, 41.8, 39.6, 42.0, 39.6
base-v4, 3, 400, 10, 10, 16, 170.30, 3.78703512, , 0, , 1, 41.8, 39.6, 43.2, 39.6
v4, 3, 400, 10, 10, 16, 253.89, 5.60570456, 19, 0.566260999999997, 22697, 1, 42.2, 39.6, 41.2, 39.6
base-v4, 3, 400, 10, 10, 16, 174.29, 3.77472543, , 0, , 1, 41.8, 39.6, 42.2, 39.2
v4, 3, 400, 10, 10, 16, 259.07, 5.59142913, 18, 0.469177999999999, 21509, 1, 42.2, 39.6, 42.8, 39.2
base-v4, 3, 400, 10, 10, 16, 172.75, 3.76578176, , 0, , 1, 42.8, 39.6, 42.0, 39.6
v4, 3, 400, 10, 10, 16, 258.97, 5.65349588, 17, 0.0901630000000182, 20526, 1, 42.0, 40.1, 45.5, 39.6
base-v4, 3, 400, 10, 10, 16, 171.67, 3.75037695, , 0, , 1, 41.8, 40.1, 41.2, 39.6
v4, 3, 400, 10, 10, 16, 249.49, 5.60041422, 17, 0.368052999999975, 20099, 1, 41.2, 40.1, 43.2, 39.2
base-v4, 3, 400, 10, 10, 16, 171.49, 3.78980190, , 0, , 1, 42.8, 39.6, 43.2, 39.6
v4, 3, 400, 10, 10, 16, 259.41, 5.58027884, 15, 0.467538999999988, 17871, 1, 44.6, 39.6, 44.0, 39.6
base-v4, 3, 400, 10, 10, 16, 170.05, 3.76734507, , 0, , 1, 42.5, 39.6, 42.8, 40.1
v4, 3, 400, 10, 10, 16, 256.29, 5.56089188, 18, 0.463566000000014, 21361, 1, 42.2, 40.1, 41.8, 40.1
base-v4, 3, 400, 10, 10, 16, 173.30, 3.78276213, , 0, , 1, 41.8, 40.1, 42.2, 39.2
v4, 3, 400, 10, 10, 16, 249.29, 5.59352089, 12, 0.470774000000006, 14561, 1, 41.5, 39.6, 43.2, 39.2
base-v4, 3, 400, 10, 10, 16, 172.89, 3.78268592, , 0, , 1, 43.2, 39.2, 42.8, 38.8
v4, 3, 400, 10, 10, 16, 249.86, 5.59984482, 14, 0.668830000000014, 16837, 1, 42.2, 40.1, 45.2, 39.6
base-v4, 3, 400, 10, 10, 16, 170.29, 3.78665323, , 0, , 1, 55.8, 39.6, 43.2, 39.6
v4, 3, 400, 10, 10, 16, 251.20, 5.59812101, 18, 0.0967129999999656, 21288, 1, 42.8, 39.2, 43.0, 40.1
base-v4, 3, 400, 10, 10, 16, 169.80, 3.77011453, , 0, , 1, 42.0, 39.6, 42.0, 39.6
v4, 3, 400, 10, 10, 16, 258.96, 5.68585626, 20, 0.194836000000009, 23458, 1, 41.5, 39.6, 45.0, 39.6
base-v4, 3, 400, 10, 10, 16, 174.66, 3.79735263, , 0, , 1, 42.5, 40.1, 43.5, 39.2
v4, 3, 400, 10, 10, 16, 253.55, 5.58817842, 15, 0.378085999999996, 17886, 1, 42.8, 39.2, 42.2, 39.6
base-v4, 3, 400, 10, 10, 16, 173.19, 3.80748764, , 0, , 1, 42.2, 39.6, 41.2, 39.2
v4, 3, 400, 10, 10, 16, 245.56, 5.58615065, 16, 0.449706999999989, 19230, 1, 41.2, 39.6, 43.2, 39.6
base-v4, 3, 400, 10, 10, 16, 171.13, 3.77807802, , 0, , 1, 42.0, 39.2, 45.5, 39.6
v4, 3, 400, 10, 10, 16, 259.37, 5.62762963, 17, 0.178331000000014, 20790, 1, 42.5, 39.6, 42.2, 39.2
base-v4, 3, 400, 10, 10, 16, 172.82, 3.77243692, , 0, , 1, 42.8, 39.6, 42.0, 40.1
v4, 3, 400, 10, 10, 16, 256.01, 5.63103832, 17, 0.377283999999975, 20329, 1, 42.0, 40.1, 41.5, 39.6
base-v4, 3, 400, 10, 10, 16, 171.31, 3.79022059, , 0, , 1, 41.2, 39.6, 45.0, 40.6
v4, 3, 400, 10, 10, 16, 254.64, 5.62537462, 15, 0.594119999999975, 17941, 1, 42.2, 40.6, 41.2, 38.8
base-v4, 3, 400, 10, 10, 16, 168.78, 3.79244359, , 0, , 1, 40.8, 40.1, 43.0, 39.2
v4, 3, 400, 10, 10, 16, 246.97, 5.57676650, 15, 0.335711000000003, 18053, 1, 42.2, 39.6, 41.8, 39.2
base-v4, 3, 400, 10, 10, 16, 167.13, 3.78031969, , 0, , 1, 41.2, 39.2, 43.2, 40.6
v4, 3, 400, 10, 10, 16, 253.80, 5.59343055, 14, 0.459723999999994, 16910, 1, 41.5, 40.1, 42.8, 39.6
base-v4, 3, 400, 10, 10, 16, 168.49, 3.76992042, , 0, , 1, 42.8, 39.6, 41.8, 39.2
v4, 3, 400, 10, 10, 16, 254.22, 5.56970515, 16, 0.466956999999979, 19408, 1, 41.2, 39.6, 42.5, 39.6
base-v4, 3, 400, 10, 10, 16, 174.74, 3.75140808, , 0, , 1, 42.8, 39.2, 43.8, 39.6
base-v4, 3, 400, 10, 10, 64, 175.20, 3.76957980, , 0, , 1, 41.2, 40.1, 43.5, 39.6
v4, 3, 400, 10, 10, 64, 267.85, 5.61197684, 17, 0.337707999999964, 20196, 1, 42.8, 40.1, 41.8, 39.2
base-v4, 3, 400, 10, 10, 64, 174.01, 3.78293943, , 0, , 1, 41.8, 39.2, 42.8, 40.1
v4, 3, 400, 10, 10, 64, 247.79, 5.59669938, 14, 0.140888000000018, 16722, 1, 41.8, 39.6, 72.8, 39.2
base-v4, 3, 400, 10, 10, 64, 170.79, 3.76089440, , 0, , 1, 76.6, 39.2, 42.0, 40.1
v4, 3, 400, 10, 10, 64, 255.98, 5.58236639, 19, 0.312263999999971, 22314, 1, 41.8, 39.6, 44.1, 39.2
base-v4, 3, 400, 10, 10, 64, 168.00, 3.75854374, , 0, , 1, 42.2, 39.2, 45.2, 39.6
v4, 3, 400, 10, 10, 64, 248.76, 5.58029633, 17, 1.075829, 20144, 1, 41.8, 40.1, 44.1, 39.2
base-v4, 3, 400, 10, 10, 64, 171.94, 3.76593622, , 0, , 1, 43.2, 39.6, 42.2, 39.6
v4, 3, 400, 10, 10, 64, 256.10, 5.55790852, 18, 0.265062999999998, 21350, 1, 41.8, 39.2, 42.2, 39.6
base-v4, 3, 400, 10, 10, 64, 168.99, 3.78553459, , 0, , 1, 42.0, 39.6, 43.5, 39.6
v4, 3, 400, 10, 10, 64, 256.83, 5.56161653, 16, 0.423529999999971, 19085, 1, 42.8, 39.6, 42.0, 39.6
base-v4, 3, 400, 10, 10, 64, 169.89, 3.73396885, , 0, , 1, 43.0, 40.1, 41.2, 39.2
v4, 3, 400, 10, 10, 64, 254.01, 5.63290891, 19, 0.383238000000006, 22583, 1, 41.2, 39.2, 41.2, 39.2
base-v4, 3, 400, 10, 10, 64, 166.52, 3.77288911, , 0, , 1, 41.8, 39.6, 42.2, 39.2
v4, 3, 400, 10, 10, 64, 257.09, 5.65431551, 17, 0.343079999999986, 20271, 1, 42.0, 39.6, 42.2, 39.2
base-v4, 3, 400, 10, 10, 64, 168.67, 3.75668413, , 0, , 1, 42.2, 39.2, 42.2, 39.6
v4, 3, 400, 10, 10, 64, 253.63, 5.61305720, 17, 0.333788999999967, 20459, 1, 42.5, 39.6, 41.2, 39.2
base-v4, 3, 400, 10, 10, 64, 172.16, 3.75182645, , 0, , 1, 41.5, 39.2, 41.2, 39.6
v4, 3, 400, 10, 10, 64, 252.16, 5.61091921, 15, 0.513409999999965, 17788, 1, 41.8, 40.1, 40.8, 39.6
base-v4, 3, 400, 10, 10, 64, 168.33, 3.78541829, , 0, , 1, 41.2, 39.2, 42.2, 39.2
v4, 3, 400, 10, 10, 64, 255.32, 5.60833874, 19, 0.271815000000004, 22577, 1, 42.2, 39.2, 43.6, 39.6
base-v4, 3, 400, 10, 10, 64, 169.35, 3.78596624, , 0, , 1, 41.8, 39.6, 43.2, 39.2
v4, 3, 400, 10, 10, 64, 245.62, 5.55894204, 13, 0.220066999999972, 15775, 1, 42.2, 39.2, 70.8, 39.6
base-v4, 3, 400, 10, 10, 64, 173.64, 3.77553157, , 0, , 1, 73.8, 39.2, 43.0, 39.6
v4, 3, 400, 10, 10, 64, 253.43, 5.63674469, 16, 0.147811999999988, 19047, 1, 45.5, 39.6, 41.2, 39.2
base-v4, 3, 400, 10, 10, 64, 175.89, 3.72189815, , 0, , 1, 41.2, 39.4, 41.2, 39.6
v4, 3, 400, 10, 10, 64, 257.64, 5.57172385, 18, 0.241833999999983, 21279, 1, 41.2, 39.6, 43.0, 40.1
base-v4, 3, 400, 10, 10, 64, 171.22, 3.77540347, , 0, , 1, 43.5, 40.1, 59.2, 39.2
v4, 3, 400, 10, 10, 64, 249.60, 5.59450231, 14, 0.326115000000016, 16705, 1, 45.9, 39.2, 43.2, 39.2
base-v4, 3, 400, 10, 10, 64, 168.47, 3.80196219, , 0, , 1, 43.6, 39.6, 43.6, 39.6
v4, 3, 400, 10, 10, 64, 255.46, 5.63690233, 16, 0.647029999999972, 19232, 1, 42.8, 39.6, 41.8, 39.2
base-v4, 3, 400, 10, 10, 64, 172.43, 3.76415164, , 0, , 1, 41.2, 39.2, 42.2, 40.1
v4, 3, 400, 10, 10, 64, 254.86, 5.56180425, 16, 0.320500999999979, 19092, 1, 44.5, 40.6, 41.8, 39.6
base-v4, 3, 400, 10, 10, 64, 175.04, 3.76280081, , 0, , 1, 41.8, 39.6, 43.2, 39.6
v4, 3, 400, 10, 10, 64, 255.39, 5.62729242, 17, 0.37245999999999, 20024, 1, 42.8, 40.1, 42.0, 39.2
base-v4, 3, 400, 10, 10, 64, 169.40, 3.75240577, , 0, , 1, 41.2, 39.2, 50.0, 39.2
v4, 3, 400, 10, 10, 64, 246.88, 5.55417781, 14, 1.15344599999997, 16861, 1, 42.2, 39.2, 42.2, 39.2
base-v4, 3, 400, 10, 10, 64, 167.30, 3.75853801, , 0, , 1, 41.8, 39.6, 41.8, 39.2
v4, 3, 400, 10, 10, 64, 255.52, 5.60490090, 15, 0.504478000000006, 18006, 1, 41.8, 39.2, 42.5, 39.2
base-v4, 3, 400, 10, 10, 64, 175.04, 3.78302921, , 0, , 1, 42.0, 39.2, 44.5, 39.6
v4, 3, 400, 10, 10, 64, 246.13, 5.58509691, 19, 0.504437999999993, 22497, 1, 45.5, 40.1, 42.8, 39.2
