work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 479.63, 8.94943296, 20, 0.000950000000045748, 36897
bna, 3, 200, 10, 10, 473.67, 8.95226236, 14, 0.0120310000000359, 26036
bna, 3, 200, 10, 10, 470.89, 8.92013527, 12, 0.00122400000003609, 22328
bna, 3, 200, 10, 10, 480.52, 8.95387914, 24, 0.000386000000048625, 44185
bna, 3, 200, 10, 10, 472.85, 8.89472557, 30, 0.00475500000004558, 55009
bna, 3, 200, 10, 10, 470.74, 8.93567791, 12, 0.00525600000003124, 22453
bna, 3, 200, 10, 10, 471.18, 8.95946416, 21, 0.00522200000000339, 38664
bna, 3, 200, 10, 10, 485.38, 8.98449471, 33, 0.00279399999999441, 60650
bna, 3, 200, 10, 10, 484.34, 8.89324509, 20, 0.000826000000017757, 36940
bna, 3, 200, 10, 10, 481.50, 8.91493895, 21, 0.00748400000003357, 38781
bna, 3, 200, 10, 10, 482.88, 8.93372658, 17, 0.0111850000000118, 31392
bna, 3, 200, 10, 10, 488.07, 8.88986632, 19, 0.133275000000026, 35182
bna, 3, 200, 10, 10, 483.05, 8.86262937, 18, 0.00692000000003645, 33199
bna, 3, 200, 10, 10, 483.31, 8.88602910, 16, 0.00335000000001173, 29688
bna, 3, 200, 10, 10, 486.50, 8.96950472, 38, 0.00416699999999537, 69478
bna, 3, 200, 10, 10, 472.99, 8.92701639, 18, 7.10000000481159e-05, 33456
bna, 3, 200, 10, 10, 487.16, 8.89039478, 19, 0.000636000000042714, 35108
bna, 3, 200, 10, 10, 480.90, 8.88812669, 20, 0.000271999999995387, 36978
bna, 3, 200, 10, 10, 471.88, 8.91651456, 30, 0.000312000000008084, 55140
bna, 3, 200, 10, 10, 483.09, 8.94276372, 21, 0.000308000000018183, 38725
bna, 3, 200, 10, 10, 489.22, 8.90340995, 16, 0.00445799999999963, 29765
bna, 3, 200, 10, 10, 487.71, 8.92075156, 17, 0.00917600000002494, 31508
bna, 3, 200, 10, 10, 473.36, 8.89801088, 12, 0.0480940000000487, 22400
bna, 3, 200, 10, 10, 493.59, 8.92767863, 29, 0.000124000000027991, 53052
bna, 3, 200, 10, 10, 483.59, 8.90337519, 15, 0.0672720000000027, 27837
bna, 3, 200, 10, 10, 476.26, 8.94277421, 27, 0.0148700000000304, 49658
bna, 3, 200, 10, 10, 487.23, 8.93884959, 29, 0.0101319999999987, 53182
bna, 3, 200, 10, 10, 479.23, 8.92060076, 22, 0.00816600000001699, 40577
bna, 3, 200, 10, 10, 477.16, 8.87694519, 17, 0.0113760000000411, 31464
bna, 3, 200, 10, 10, 516.38, 9.01178624, 21, 0.0160220000000209, 38728
bna, 3, 200, 10, 25, 675.36, 9.60325942, 20, 0.00649400000003197, 13124
bna, 3, 200, 10, 25, 554.51, 9.14896613, 17, 0.00538800000003903, 11275
bna, 3, 200, 10, 25, 501.71, 8.96067949, 20, 0.0094150000000468, 13233
bna, 3, 200, 10, 25, 502.26, 8.96872275, 20, 0.0168330000000196, 13135
bna, 3, 200, 10, 25, 490.88, 8.96879507, 39, 0.000187000000039461, 25481
bna, 3, 200, 10, 25, 493.04, 8.93980278, 20, 0.00248000000004822, 13219
bna, 3, 200, 10, 25, 496.66, 8.99658536, 31, 0.00216299999999592, 20194
bna, 3, 200, 10, 25, 498.51, 8.93404374, 21, 0.00067100000001119, 13865
bna, 3, 200, 10, 25, 489.22, 8.96711714, 23, 0.00129600000002483, 15134
bna, 3, 200, 10, 25, 496.06, 8.91306305, 30, 0.00269300000002204, 19620
bna, 3, 200, 10, 25, 492.20, 8.93751124, 23, 0.00176600000003191, 15190
bna, 3, 200, 10, 25, 496.47, 8.95538021, 19, 0.00377000000003136, 12657
bna, 3, 200, 10, 25, 493.10, 8.99651350, 27, 0.000651000000004842, 17737
bna, 3, 200, 10, 25, 499.43, 8.94449124, 20, 0.0172060000000442, 13151
bna, 3, 200, 10, 25, 495.64, 8.94728898, 39, 0.00014800000002424, 25414
bna, 3, 200, 10, 25, 488.65, 8.87336003, 21, 0.0121599999999944, 13871
bna, 3, 200, 10, 25, 497.23, 8.94209053, 27, 4.2000000007647e-05, 17794
bna, 3, 200, 10, 25, 496.57, 8.93014457, 29, 0.00169100000005074, 19002
bna, 3, 200, 10, 25, 480.66, 8.94852438, 14, 0.00346400000000813, 9402
bna, 3, 200, 10, 25, 492.11, 8.89978203, 14, 0.0256459999999947, 9402
bna, 3, 200, 10, 25, 497.08, 8.93345858, 13, 0.000735000000020136, 8740
bna, 3, 200, 10, 25, 496.55, 8.88901684, 34, 0.0387630000000172, 22230
bna, 3, 200, 10, 25, 478.94, 8.93857683, 34, 0.0099580000000401, 22102
bna, 3, 200, 10, 25, 484.02, 8.95092721, 42, 0.000192000000026837, 27422
bna, 3, 200, 10, 25, 497.56, 8.91784801, 18, 0.000836000000049353, 12006
bna, 3, 200, 10, 25, 482.84, 8.94844637, 23, 0.000635000000045238, 15227
bna, 3, 200, 10, 25, 498.72, 8.91533213, 21, 0.00389000000001261, 13849
bna, 3, 200, 10, 25, 485.44, 8.90853483, 30, 0.00950299999999515, 19604
bna, 3, 200, 10, 25, 482.23, 8.88249296, 34, 0.00863400000002912, 22259
bna, 3, 200, 10, 25, 477.95, 8.94225886, 25, 0.0365090000000237, 16498
bna, 3, 200, 50, 10, 492.37, 8.93318854, 79, 0.0245540000000233, 143988
bna, 3, 200, 50, 10, 491.27, 8.95226815, 151, 0.00265300000000934, 274079
bna, 3, 200, 50, 10, 489.41, 8.94361490, 55, 0.00659600000000182, 100120
bna, 3, 200, 50, 10, 489.85, 8.98101875, 128, 0.000710000000026412, 232242
bna, 3, 200, 50, 10, 504.68, 8.98862032, 123, 0.0242000000000075, 223385
bna, 3, 200, 50, 10, 477.69, 8.91912929, 59, 0.0158500000000004, 107684
bna, 3, 200, 50, 10, 494.83, 8.92169943, 89, 0.00405700000004572, 161854
bna, 3, 200, 50, 10, 495.52, 8.92935014, 52, 0.0033610000000408, 94832
bna, 3, 200, 50, 10, 495.38, 8.92668679, 84, 0.0269470000000069, 152716
bna, 3, 200, 50, 10, 482.61, 8.91399137, 74, 0.000785000000007585, 134611
bna, 3, 200, 50, 10, 487.02, 9.00978896, 140, 0.00293700000003128, 254312
bna, 3, 200, 50, 10, 496.26, 8.95009385, 100, 0.0132500000000277, 181703
bna, 3, 200, 50, 10, 490.24, 8.97423964, 122, 0.00171900000003689, 221717
bna, 3, 200, 50, 10, 480.88, 8.94890912, 101, 0.000801000000024032, 184117
bna, 3, 200, 50, 10, 485.55, 8.90618016, 77, 0.0294140000000311, 140360
bna, 3, 200, 50, 10, 487.39, 8.93510580, 77, 0.00380000000001246, 140254
bna, 3, 200, 50, 10, 487.01, 8.98677746, 139, 0.00513300000000072, 252609
bna, 3, 200, 50, 10, 498.56, 8.97412447, 123, 0.0187890000000266, 223584
bna, 3, 200, 50, 10, 487.89, 8.95154191, 78, 0.0167190000000232, 142099
bna, 3, 200, 50, 10, 483.87, 8.88129966, 82, 0.00113700000002837, 149572
bna, 3, 200, 50, 10, 499.65, 8.93445404, 128, 0.00972200000001067, 232703
bna, 3, 200, 50, 10, 493.54, 8.90006045, 54, 0.00413500000001932, 98440
bna, 3, 200, 50, 10, 489.32, 8.95502967, 72, 0.00263700000004974, 131042
bna, 3, 200, 50, 10, 498.63, 8.92861724, 76, 0.0320550000000139, 138737
bna, 3, 200, 50, 10, 479.00, 8.90751715, 88, 0.0144960000000083, 160473
bna, 3, 200, 50, 10, 489.57, 8.91916755, 53, 0.018997000000013, 96530
bna, 3, 200, 50, 10, 483.59, 8.90448931, 68, 0.000855000000001382, 123774
bna, 3, 200, 50, 10, 502.26, 8.95345222, 94, 3.00000004926915e-06, 171264
bna, 3, 200, 50, 10, 481.83, 8.90770539, 83, 0.0372350000000097, 151060
bna, 3, 200, 50, 10, 475.38, 8.93445249, 93, 0.0441260000000057, 169323
bna, 3, 200, 50, 25, 483.38, 8.90570707, 106, 0.00962400000003072, 68542
bna, 3, 200, 50, 25, 498.64, 8.86585413, 86, 0.00166000000001532, 55630
bna, 3, 200, 50, 25, 490.15, 8.97035800, 78, 0.0257830000000467, 50577
bna, 3, 200, 50, 25, 480.25, 8.93927495, 101, 0.018064000000038, 65214
bna, 3, 200, 50, 25, 496.22, 8.90522407, 90, 0.00638300000002801, 58079
bna, 3, 200, 50, 25, 497.32, 8.96374296, 117, 0.00828500000000076, 75218
bna, 3, 200, 50, 25, 488.08, 8.93324211, 97, 0.0103730000000155, 62693
bna, 3, 200, 50, 25, 488.67, 8.95996899, 67, 0.00742900000000191, 43380
bna, 3, 200, 50, 25, 491.08, 8.95086210, 77, 0.00275600000003351, 49796
bna, 3, 200, 50, 25, 494.27, 8.96812304, 112, 0.0503980000000297, 72143
bna, 3, 200, 50, 25, 498.08, 8.96026062, 60, 8.50000000127693e-05, 38896
bna, 3, 200, 50, 25, 487.20, 8.95890178, 60, 0.000347000000033404, 38890
bna, 3, 200, 50, 25, 480.79, 8.94331091, 98, 0.000113999999996395, 63406
bna, 3, 200, 50, 25, 494.84, 8.98016038, 176, 0.000172000000020489, 113547
bna, 3, 200, 50, 25, 483.08, 8.95556016, 64, 0.000948000000050797, 41559
bna, 3, 200, 50, 25, 484.29, 8.96119520, 159, 0.0250470000000291, 102552
bna, 3, 200, 50, 25, 485.73, 8.97433745, 84, 0.000541999999995824, 54346
bna, 3, 200, 50, 25, 495.99, 9.07671485, 164, 0.00939600000003793, 105775
bna, 3, 200, 50, 25, 497.04, 8.97460970, 58, 3.90000000152213e-05, 37442
bna, 3, 200, 50, 25, 491.63, 8.97833884, 137, 0.00336700000002566, 88295
bna, 3, 200, 50, 25, 487.08, 9.01988809, 163, 0.0198129999999992, 105238
bna, 3, 200, 50, 25, 480.77, 8.94657068, 74, 0.0634850000000142, 47791
bna, 3, 200, 50, 25, 494.17, 8.97411221, 137, 0.000186000000041986, 88550
bna, 3, 200, 50, 25, 482.13, 8.94822149, 53, 0.00341200000002573, 34310
bna, 3, 200, 50, 25, 492.76, 8.90951126, 54, 0.00227800000004663, 35121
bna, 3, 200, 50, 25, 484.69, 8.98206958, 91, 0.000969999999995252, 58837
bna, 3, 200, 50, 25, 483.81, 8.99180446, 98, 0.00020399999999654, 63229
bna, 3, 200, 50, 25, 491.75, 8.94084825, 85, 0.000386000000048625, 55032
bna, 3, 200, 50, 25, 495.58, 8.93300893, 70, 0.000224000000002889, 45402
bna, 3, 200, 50, 25, 481.62, 8.92803253, 92, 0.0250780000000077, 59269
bna, 3, 400, 10, 10, 501.51, 8.91475041, 32, 0.00126299999999446, 117578
bna, 3, 400, 10, 10, 496.64, 8.94282958, 14, 0.0059760000000324, 52278
bna, 3, 400, 10, 10, 476.34, 8.90966773, 22, 0.000376000000017029, 81108
bna, 3, 400, 10, 10, 493.46, 8.94535186, 23, 0.000115000000050713, 84907
bna, 3, 400, 10, 10, 488.69, 8.89030561, 26, 0.00117400000004864, 95475
bna, 3, 400, 10, 10, 496.61, 8.88914082, 12, 0.000635000000045238, 44855
bna, 3, 400, 10, 10, 485.80, 8.92324119, 12, 0.0116950000000315, 44766
bna, 3, 400, 10, 10, 484.88, 8.95652331, 29, 0.000390000000038526, 106402
bna, 3, 400, 10, 10, 497.55, 8.93693403, 42, 0.000240000000019336, 153439
bna, 3, 400, 10, 10, 487.19, 8.91032468, 21, 0.00905900000003612, 77403
bna, 3, 400, 10, 10, 625.97, 9.44475826, 44, 0.000192000000026837, 160765
bna, 3, 400, 10, 10, 634.56, 9.33063672, 15, 0.00125800000000709, 55856
bna, 3, 400, 10, 10, 513.09, 8.92185067, 18, 0.000538000000005923, 66533
bna, 3, 400, 10, 10, 506.87, 8.97401823, 13, 0.000215000000025611, 48273
bna, 3, 400, 10, 10, 521.69, 9.05035318, 32, 0.0003870000000461, 117344
bna, 3, 400, 10, 10, 509.03, 8.98124920, 27, 9.1999999995096e-05, 99366
bna, 3, 400, 10, 10, 513.20, 8.99567416, 35, 0.00118600000001834, 128375
bna, 3, 400, 10, 10, 524.65, 8.99623710, 13, 0.000190000000031887, 48494
bna, 3, 400, 10, 10, 523.10, 8.96578652, 12, 0.00302700000003142, 44889
bna, 3, 400, 10, 10, 500.52, 8.97240503, 39, 0.00123999999999569, 142678
bna, 3, 400, 10, 10, 515.12, 8.95017655, 19, 0.00061500000003889, 70095
bna, 3, 400, 10, 10, 508.11, 8.98010101, 28, 0.00207900000003747, 102662
bna, 3, 400, 10, 10, 509.15, 8.94601999, 39, 2.50000000505679e-05, 142794
bna, 3, 400, 10, 10, 514.82, 8.95376184, 12, 0.000776000000030308, 44708
bna, 3, 400, 10, 10, 517.52, 8.98175500, 30, 0.00052800000003117, 110056
bna, 3, 400, 10, 10, 510.87, 8.97034554, 17, 0.00344599999999673, 62875
bna, 3, 400, 10, 10, 505.94, 8.98021122, 25, 0.0030500000000302, 91853
bna, 3, 400, 10, 10, 502.97, 8.98097150, 20, 0.000119000000040614, 73969
bna, 3, 400, 10, 10, 500.28, 8.91790832, 14, 0.000381000000004406, 52292
bna, 3, 400, 10, 10, 511.81, 9.00039272, 24, 0.00210100000003877, 88442
bna, 3, 400, 10, 25, 512.06, 8.94368226, 28, 0.000614000000041415, 36756
bna, 3, 400, 10, 25, 499.75, 8.96793211, 16, 0.000273000000049706, 21360
bna, 3, 400, 10, 25, 507.72, 9.02984394, 39, 0.000248999999996613, 50921
bna, 3, 400, 10, 25, 515.34, 8.97500960, 20, 0.0018540000000371, 26578
bna, 3, 400, 10, 25, 507.18, 9.01164810, 72, 0.00850500000001375, 93321
