work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 453.34, 9.31042755, 17, 0.274050999999986, 31225
bna, 3, 200, 10, 10, 383.73, 7.93772528, 12, 0.0549230000000307, 22160
bna, 3, 200, 10, 10, 396.62, 8.04385749, 15, 0.0757979999999634, 27499
bna, 3, 200, 10, 10, 441.11, 8.15897195, 32, 0.0313869999999952, 58168
bna, 3, 200, 10, 10, 515.08, 8.67484789, 16, 0.14053100000001, 29518
bna, 3, 200, 10, 10, 432.77, 8.17228891, 13, 0.121365999999966, 24030
bna, 3, 200, 10, 10, 420.71, 8.29721471, 25, 0.0844499999999471, 45605
bna, 3, 200, 10, 10, 404.73, 8.07839290, 33, 0.0733139999999821, 60024
bna, 3, 200, 10, 10, 370.03, 7.84083010, 12, 0.166792999999984, 22154
bna, 3, 200, 10, 10, 387.27, 8.06601773, 12, 0.374864000000002, 22216
bna, 3, 200, 10, 10, 385.91, 7.95215647, 16, 0.0393759999999475, 29313
bna, 3, 200, 10, 10, 390.98, 7.94162123, 16, 0.427201999999966, 29494
bna, 3, 200, 10, 10, 410.31, 7.99414595, 13, 0.27502400000003, 23919
bna, 3, 200, 10, 10, 390.14, 7.94232776, 20, 0.0406040000000303, 36614
bna, 3, 200, 10, 10, 371.01, 8.03788837, 27, 0.0313619999999446, 49387
bna, 3, 200, 10, 10, 360.45, 7.99020083, 12, 0.249254999999948, 22128
bna, 3, 200, 10, 10, 354.46, 7.82983818, 17, 0.0603750000000218, 31159
bna, 3, 200, 10, 10, 385.90, 8.09678439, 27, 0.0446269999999913, 49232
bna, 3, 200, 10, 10, 402.65, 8.11525977, 13, 0.282762000000048, 23923
bna, 3, 200, 10, 10, 377.95, 7.94805392, 17, 0.360758000000033, 31222
bna, 3, 200, 10, 10, 463.54, 8.43812698, 12, 0.731617000000028, 22168
bna, 3, 200, 10, 10, 453.01, 8.30303466, 15, 0.0719070000000102, 27562
bna, 3, 200, 10, 10, 451.36, 8.32292291, 19, 0.315609999999992, 34801
bna, 3, 200, 10, 10, 435.31, 8.33087727, 11, 0.78064500000005, 20458
bna, 3, 200, 10, 10, 437.43, 8.11492042, 13, 0.0558710000000247, 23993
bna, 3, 200, 10, 10, 438.97, 8.28574602, 16, 0.0328899999999521, 29506
bna, 3, 200, 10, 10, 395.27, 8.13552705, 14, 0.369185000000016, 25781
bna, 3, 200, 10, 10, 383.38, 8.09744360, 15, 0.146177999999964, 27478
bna, 3, 200, 10, 10, 370.15, 7.87057398, 22, 0.127371000000039, 40308
bna, 3, 200, 10, 10, 392.02, 8.17166304, 18, 0.164274999999975, 33029
bna, 3, 200, 10, 25, 397.26, 8.06835767, 23, 0.0432700000000068, 15234
bna, 3, 200, 10, 25, 402.11, 8.14847307, 23, 0.0416880000000219, 15218
bna, 3, 200, 10, 25, 501.64, 8.57044064, 19, 0.101243999999951, 12603
bna, 3, 200, 10, 25, 618.60, 8.86420170, 31, 0.162394999999947, 20426
bna, 3, 200, 10, 25, 497.19, 8.51263671, 14, 0.198999999999955, 9327
bna, 3, 200, 10, 25, 429.07, 8.18057293, 23, 0.0215920000000551, 15229
bna, 3, 200, 10, 25, 455.21, 8.37863269, 14, 0.240343000000053, 9365
bna, 3, 200, 10, 25, 425.28, 8.19840361, 17, 0.0945860000000494, 11322
bna, 3, 200, 10, 25, 626.82, 8.91485862, 21, 0.041005000000041, 13966
bna, 3, 200, 10, 25, 714.70, 9.17616214, 34, 0.208383000000026, 22331
bna, 3, 200, 10, 25, 540.20, 8.52950443, 27, 0.155486999999994, 17816
bna, 3, 200, 10, 25, 536.05, 8.91545889, 29, 0.146274999999946, 18952
bna, 3, 200, 10, 25, 545.64, 8.91307315, 13, 0.125841000000037, 8709
bna, 3, 200, 10, 25, 561.10, 8.80006449, 22, 0.0180380000000468, 14623
bna, 3, 200, 10, 25, 479.32, 8.49986584, 23, 0.083631999999966, 15121
bna, 3, 200, 10, 25, 488.48, 8.52409750, 16, 0.047095000000013, 10574
bna, 3, 200, 10, 25, 446.27, 8.32773485, 49, 0.182966999999962, 32016
bna, 3, 200, 10, 25, 403.62, 8.10290667, 12, 0.135691999999949, 8022
bna, 3, 200, 10, 25, 408.71, 8.06743460, 12, 0.183582000000001, 8110
bna, 3, 200, 10, 25, 407.38, 8.08077111, 24, 0.117423000000031, 15842
bna, 3, 200, 10, 25, 433.61, 8.28342221, 43, 0.0160700000000134, 28006
bna, 3, 200, 10, 25, 420.93, 8.10517374, 12, 0.155797000000007, 8044
bna, 3, 200, 10, 25, 491.96, 8.55122197, 33, 0.0515540000000101, 21665
bna, 3, 200, 10, 25, 491.49, 8.38692789, 17, 0.0718279999999822, 11282
bna, 3, 200, 10, 25, 459.90, 8.36581702, 26, 0.127832000000012, 17094
bna, 3, 200, 10, 25, 436.58, 8.28079001, 30, 0.0181579999999713, 19653
bna, 3, 200, 10, 25, 425.07, 8.11889117, 28, 0.086104999999975, 18406
bna, 3, 200, 10, 25, 430.96, 8.14816613, 26, 0.180795999999987, 17167
bna, 3, 200, 10, 25, 425.77, 8.07747546, 25, 0.0574420000000373, 16485
bna, 3, 200, 10, 25, 432.94, 8.28198204, 16, 0.0509110000000419, 10551
bna, 3, 200, 50, 10, 439.32, 8.14052883, 70, 0.111566000000039, 126883
bna, 3, 200, 50, 10, 443.79, 8.18374082, 81, 0.100099, 146602
bna, 3, 200, 50, 10, 453.21, 8.31396769, 58, 0.0397380000000567, 105114
bna, 3, 200, 50, 10, 422.54, 8.09601733, 57, 0.030283000000054, 103258
bna, 3, 200, 50, 10, 426.11, 8.30543718, 55, 0.362948999999958, 99968
bna, 3, 200, 50, 10, 424.86, 8.07296033, 81, 0.232463000000052, 146935
bna, 3, 200, 50, 10, 433.42, 8.22075385, 62, 0.0225120000000061, 112400
bna, 3, 200, 50, 10, 417.64, 8.15886508, 58, 0.319326000000046, 105454
bna, 3, 200, 50, 10, 460.08, 8.32458775, 122, 0.0890369999999621, 220232
bna, 3, 200, 50, 10, 420.08, 8.12250044, 56, 0.146728000000053, 101691
bna, 3, 200, 50, 10, 384.96, 8.12780735, 59, 0.135501999999974, 107244
bna, 3, 200, 50, 10, 357.99, 8.04112642, 90, 0.0777040000000397, 163096
bna, 3, 200, 50, 10, 353.91, 7.99328433, 97, 0.315199000000007, 175522
bna, 3, 200, 50, 10, 348.89, 7.82095331, 51, 0.166022999999996, 92251
bna, 3, 200, 50, 10, 356.19, 7.98135914, 59, 0.0894120000000385, 107569
bna, 3, 200, 50, 10, 358.63, 8.00724169, 56, 0.302495000000022, 101773
bna, 3, 200, 50, 10, 354.79, 7.98373004, 52, 0.274275999999986, 94259
bna, 3, 200, 50, 10, 358.34, 8.02304248, 70, 0.343675999999959, 127094
bna, 3, 200, 50, 10, 354.24, 7.99679419, 62, 0.278548999999998, 112567
bna, 3, 200, 50, 10, 355.06, 8.00816440, 55, 0.0638480000000072, 99803
bna, 3, 200, 50, 10, 353.96, 8.01519933, 164, 0.120375999999965, 296078
bna, 3, 200, 50, 10, 368.09, 7.98653493, 89, 0.0720519999999851, 161534
bna, 3, 200, 50, 10, 358.32, 8.00890956, 96, 0.0514090000000351, 173881
bna, 3, 200, 50, 10, 360.64, 8.03885240, 95, 0.197857999999997, 172024
bna, 3, 200, 50, 10, 352.66, 8.00656589, 109, 0.157872999999995, 197301
bna, 3, 200, 50, 10, 353.15, 7.97373660, 56, 0.0656040000000075, 101606
bna, 3, 200, 50, 10, 369.59, 8.01229031, 53, 0.117324000000053, 96180
bna, 3, 200, 50, 10, 356.51, 7.98565503, 53, 0.218920000000026, 96163
bna, 3, 200, 50, 10, 353.66, 8.01312780, 68, 0.0269980000000487, 123378
bna, 3, 200, 50, 10, 368.61, 8.05147739, 54, 0.246532000000002, 97894
bna, 3, 200, 50, 25, 361.42, 8.07412153, 124, 0.0213959999999815, 80382
