work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 433.86, 9.40167166, 18, 0.0878860000000259, 33024
bna, 3, 200, 10, 10, 374.74, 8.20868267, 17, 0.105109999999968, 31215
bna, 3, 200, 10, 10, 369.00, 8.16656449, 16, 0.02991099999997, 29307
bna, 3, 200, 10, 10, 370.85, 8.15668978, 25, 0.555244000000016, 45746
bna, 3, 200, 10, 10, 383.66, 8.16693518, 20, 0.0191320000000132, 36621
bna, 3, 200, 10, 10, 409.04, 8.33569847, 17, 0.236504999999966, 31256
bna, 3, 200, 10, 10, 368.04, 8.18961787, 34, 0.262862000000041, 61839
bna, 3, 200, 10, 10, 380.66, 8.23396969, 18, 0.0265190000000075, 32856
bna, 3, 200, 10, 10, 370.70, 8.16614946, 22, 0.176309999999944, 40176
bna, 3, 200, 10, 10, 369.01, 8.16646543, 12, 0.0149860000000217, 22198
bna, 3, 200, 10, 10, 367.71, 8.15702150, 16, 0.210243999999989, 29386
bna, 3, 200, 10, 10, 381.42, 8.19119943, 15, 0.0716129999999566, 27542
bna, 3, 200, 10, 10, 383.51, 8.16350810, 14, 0.023755000000051, 25659
bna, 3, 200, 10, 10, 367.89, 8.13737117, 11, 0.706609999999955, 20487
bna, 3, 200, 10, 10, 375.76, 8.18902838, 11, 0.0215859999999566, 20276
bna, 3, 200, 10, 10, 366.98, 8.15609288, 23, 0.0203749999999445, 42055
bna, 3, 200, 10, 10, 373.35, 8.18411385, 48, 0.0456580000000031, 87312
bna, 3, 200, 10, 10, 370.19, 8.23219194, 13, 0.395424000000048, 23904
bna, 3, 200, 10, 10, 368.36, 8.18482550, 32, 0.302482000000055, 58380
bna, 3, 200, 10, 10, 366.29, 8.19507524, 42, 0.020595999999955, 76568
bna, 3, 200, 10, 10, 381.84, 8.19727502, 31, 0.0972510000000284, 56633
bna, 3, 200, 10, 10, 377.59, 8.19888171, 14, 0.220817000000011, 25723
bna, 3, 200, 10, 10, 373.51, 8.20307271, 12, 0.0598509999999806, 22043
bna, 3, 200, 10, 10, 374.65, 8.16535616, 13, 0.207379999999944, 24033
bna, 3, 200, 10, 10, 367.20, 8.18515501, 16, 0.0965569999999616, 29433
bna, 3, 200, 10, 10, 371.87, 8.20741177, 16, 0.0629760000000488, 29508
bna, 3, 200, 10, 10, 371.72, 8.15985422, 17, 0.0295529999999644, 31209
bna, 3, 200, 10, 10, 385.27, 8.17069704, 30, 0.363129999999956, 54554
bna, 3, 200, 10, 10, 383.64, 8.17973132, 35, 0.136945999999966, 63676
bna, 3, 200, 10, 10, 375.86, 8.15129908, 12, 0.188134999999988, 22073
bna, 3, 200, 10, 25, 378.42, 8.18674766, 25, 0.0927910000000338, 16507
bna, 3, 200, 10, 25, 373.82, 8.13767761, 15, 0.18449499999997, 10010
bna, 3, 200, 10, 25, 371.17, 8.17074697, 22, 0.227833000000032, 14508
bna, 3, 200, 10, 25, 381.34, 8.16614354, 35, 0.0284990000000107, 22894
bna, 3, 200, 10, 25, 363.04, 8.15888508, 49, 0.0332100000000537, 32039
bna, 3, 200, 10, 25, 369.22, 8.16975010, 28, 0.0168579999999565, 18427
bna, 3, 200, 10, 25, 368.88, 8.21759100, 30, 0.18564200000003, 19737
bna, 3, 200, 10, 25, 372.78, 8.18620437, 46, 0.020212000000015, 29894
bna, 3, 200, 10, 25, 364.94, 8.15722414, 18, 0.0564269999999851, 11974
bna, 3, 200, 10, 25, 365.80, 8.17651133, 28, 0.0424930000000359, 18335
bna, 3, 200, 10, 25, 365.85, 8.16107429, 17, 0.0443139999999858, 11350
bna, 3, 200, 10, 25, 373.16, 8.18861335, 15, 0.136444999999981, 9988
bna, 3, 200, 10, 25, 384.91, 8.21411992, 17, 0.114317000000028, 11308
bna, 3, 200, 10, 25, 367.55, 8.19788671, 42, 0.0527980000000525, 27406
bna, 3, 200, 10, 25, 369.05, 8.18758302, 31, 0.0435390000000098, 20337
bna, 3, 200, 10, 25, 374.25, 8.18148464, 25, 0.0743280000000368, 16568
bna, 3, 200, 10, 25, 365.81, 8.21042708, 24, 0.144022999999947, 15792
bna, 3, 200, 10, 25, 375.86, 8.18504794, 35, 0.455878999999982, 23016
bna, 3, 200, 10, 25, 377.79, 8.20357476, 12, 0.104664999999954, 8050
bna, 3, 200, 10, 25, 373.08, 8.24115185, 41, 0.0484969999999976, 26780
bna, 3, 200, 10, 25, 365.76, 8.18964514, 12, 0.16274999999996, 8122
bna, 3, 200, 10, 25, 371.40, 8.19402033, 41, 0.117333000000031, 26877
bna, 3, 200, 10, 25, 365.09, 8.19375915, 16, 0.121129999999994, 10663
bna, 3, 200, 10, 25, 370.05, 8.18715653, 21, 0.339750999999978, 13960
bna, 3, 200, 10, 25, 379.17, 8.19953307, 40, 0.169630999999981, 26058
bna, 3, 200, 10, 25, 381.09, 8.19672235, 36, 0.142555000000016, 23510
bna, 3, 200, 10, 25, 441.10, 8.49099193, 28, 0.0489199999999528, 18397
bna, 3, 200, 10, 25, 431.45, 8.37086713, 29, 0.0286610000000564, 19056
bna, 3, 200, 10, 25, 401.76, 8.34199350, 13, 0.201827999999978, 8648
bna, 3, 200, 10, 25, 401.87, 8.40380523, 18, 0.0475480000000061, 11891
bna, 3, 200, 50, 10, 539.22, 8.87503291, 64, 0.178205000000048, 115724
bna, 3, 200, 50, 10, 420.21, 8.37155833, 67, 0.019820999999979, 121640
bna, 3, 200, 50, 10, 469.19, 8.59806501, 99, 0.033019999999965, 179422
bna, 3, 200, 50, 10, 446.98, 8.50416711, 70, 0.0283570000000282, 126979
