work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 447.90, 8.54106792, 21, 0.0213910000000013, 38727
bna, 3, 200, 10, 10, 457.14, 8.52944226, 15, 0.0704790000000024, 27892
bna, 3, 200, 10, 10, 484.26, 8.60375613, 20, 0.0282470000000004, 37130
bna, 3, 200, 10, 10, 426.55, 8.34169720, 12, 0.0992260000000016, 22363
bna, 3, 200, 10, 10, 436.83, 8.38561031, 37, 0.102596000000002, 67785
bna, 3, 200, 10, 10, 417.99, 8.31157993, 19, 0.155311000000001, 35088
bna, 3, 200, 10, 10, 424.53, 8.33141040, 14, 0.016133, 26054
bna, 3, 200, 10, 10, 420.40, 8.26766705, 41, 0.191767000000002, 74909
bna, 3, 200, 10, 10, 446.77, 8.50305550, 13, 0.171682000000001, 24186
bna, 3, 200, 10, 10, 468.86, 8.56903573, 24, 0.0842400000000012, 44213
bna, 3, 200, 10, 10, 410.36, 8.24981471, 14, 0.0232470000000013, 25913
bna, 3, 200, 10, 10, 390.08, 8.20936634, 17, 0.0573149999999991, 31398
bna, 3, 200, 10, 10, 380.16, 8.22013330, 32, 0.0201449999999994, 58720
bna, 3, 200, 10, 10, 374.06, 8.19000667, 12, 0.0322899999999997, 22356
bna, 3, 200, 10, 10, 388.86, 8.21269792, 19, 0.104369000000002, 35166
bna, 3, 200, 10, 10, 398.43, 8.22347068, 29, 0.0419890000000009, 53254
bna, 3, 200, 10, 10, 376.64, 8.17743939, 16, 0.0773200000000003, 29769
bna, 3, 200, 10, 10, 391.84, 8.31024348, 28, 0.137387, 51413
bna, 3, 200, 10, 10, 393.64, 8.19368235, 13, 0.130417000000001, 24221
bna, 3, 200, 10, 10, 375.66, 8.18720233, 14, 0.0251470000000005, 26131
bna, 3, 200, 10, 10, 375.17, 8.24082491, 34, 0.193633999999999, 62350
bna, 3, 200, 10, 10, 371.86, 8.20052418, 20, 0.033887, 36845
bna, 3, 200, 10, 10, 397.80, 8.25091600, 12, 0.126384000000002, 22376
bna, 3, 200, 10, 10, 395.49, 8.20795325, 27, 0.0183740000000014, 49640
bna, 3, 200, 10, 10, 382.01, 8.18817536, 31, 0.0172360000000005, 56826
bna, 3, 200, 10, 10, 386.50, 8.22746751, 23, 0.189800000000002, 42391
bna, 3, 200, 10, 10, 408.40, 8.25709931, 14, 0.0212380000000003, 26038
bna, 3, 200, 10, 10, 391.23, 8.19122693, 20, 0.257303, 36811
bna, 3, 200, 10, 10, 393.49, 8.18425082, 17, 0.0528849999999998, 31484
bna, 3, 200, 10, 10, 405.68, 8.22405507, 13, 0.0052979999999998, 24225
bna, 3, 200, 10, 25, 377.31, 8.18741071, 16, 0.0257550000000002, 10698
bna, 3, 200, 10, 25, 378.70, 8.21806647, 16, 0.0150269999999999, 10652
bna, 3, 200, 10, 25, 381.56, 8.22666899, 24, 0.0147100000000009, 15825
bna, 3, 200, 10, 25, 380.46, 8.19068847, 21, 0.0120369999999994, 13871
bna, 3, 200, 10, 25, 373.61, 8.18399170, 39, 0.000999000000000194, 25469
bna, 3, 200, 10, 25, 387.07, 8.21831402, 28, 0.00253000000000014, 18245
bna, 3, 200, 10, 25, 391.98, 8.23599443, 34, 0.00534500000000193, 22256
bna, 3, 200, 10, 25, 379.60, 8.23095324, 29, 0.022359999999999, 19075
bna, 3, 200, 10, 25, 385.05, 8.19224706, 44, 0.194255999999999, 28564
bna, 3, 200, 10, 25, 379.65, 8.21829884, 21, 0.0258590000000005, 13867
bna, 3, 200, 10, 25, 372.77, 8.15074160, 15, 0.127219, 10033
bna, 3, 200, 10, 25, 381.05, 8.21717690, 31, 0.00779900000000211, 20219
bna, 3, 200, 10, 25, 374.30, 8.20772466, 12, 0.071313, 8102
bna, 3, 200, 10, 25, 378.05, 8.20681845, 15, 0.0419429999999998, 9963
bna, 3, 200, 10, 25, 400.48, 8.28957670, 15, 0.092213000000001, 10045
bna, 3, 200, 10, 25, 383.49, 8.20583604, 39, 0.00757800000000231, 25502
bna, 3, 200, 10, 25, 396.69, 8.28314787, 21, 0.0376760000000012, 13940
bna, 3, 200, 10, 25, 373.70, 8.20058078, 31, 0.0208359999999992, 20453
bna, 3, 200, 10, 25, 374.48, 8.19265375, 14, 0.121639000000002, 9377
bna, 3, 200, 10, 25, 380.19, 8.22809632, 21, 0.033021999999999, 13898
bna, 3, 200, 10, 25, 380.64, 8.22348370, 42, 0.0131250000000023, 27507
bna, 3, 200, 10, 25, 384.92, 8.25306309, 33, 0.188336, 21663
bna, 3, 200, 10, 25, 370.44, 8.18181296, 30, 0.00933200000000056, 19743
bna, 3, 200, 10, 25, 380.79, 8.24077508, 16, 0.0687010000000008, 10687
bna, 3, 200, 10, 25, 381.60, 8.24169483, 23, 0.0841209999999997, 15143
bna, 3, 200, 10, 25, 387.86, 8.14800965, 14, 0.0534300000000023, 9309
bna, 3, 200, 10, 25, 373.07, 8.19103384, 14, 0.00119800000000225, 9379
bna, 3, 200, 10, 25, 371.63, 8.16762395, 23, 0.00708200000000048, 15186
bna, 3, 200, 10, 25, 374.80, 8.19277456, 14, 0.120902000000001, 9401
bna, 3, 200, 10, 25, 374.48, 8.19200780, 14, 0.0138449999999999, 9356
bna, 3, 200, 50, 10, 388.49, 8.25460119, 53, 0.085051, 96966
bna, 3, 200, 50, 10, 386.67, 8.25383674, 69, 0.190619999999999, 125761
bna, 3, 200, 50, 10, 388.52, 8.20576094, 54, 0.179114999999999, 98871
bna, 3, 200, 50, 10, 399.32, 8.22184333, 56, 0.0152929999999998, 102165
bna, 3, 200, 50, 10, 389.07, 8.16696406, 51, 0.0773200000000003, 93069
bna, 3, 200, 50, 10, 373.85, 8.15640106, 65, 0.0580740000000013, 118586
bna, 3, 200, 50, 10, 390.34, 8.17544066, 58, 0.125783000000002, 105676
bna, 3, 200, 50, 10, 396.43, 8.23368295, 59, 0.0305460000000011, 107652
bna, 3, 200, 50, 10, 373.82, 8.18798469, 55, 0.0591560000000015, 100461
bna, 3, 200, 50, 10, 375.18, 8.16415836, 55, 0.164394000000001, 100186
bna, 3, 200, 50, 10, 380.92, 8.16412774, 52, 0.199726999999999, 95033
bna, 3, 200, 50, 10, 380.87, 8.17998473, 52, 0.0859610000000011, 95074
bna, 3, 200, 50, 10, 375.03, 8.22736055, 74, 0.188798999999999, 134955
bna, 3, 200, 50, 10, 373.34, 8.16708159, 57, 0.0469539999999995, 104190
bna, 3, 200, 50, 10, 384.25, 8.17110006, 52, 0.0840220000000009, 95016
bna, 3, 200, 50, 10, 375.75, 8.22066587, 138, 0.0518719999999995, 250938
bna, 3, 200, 50, 10, 368.24, 8.11671716, 51, 0.0844020000000008, 93074
bna, 3, 200, 50, 10, 368.16, 8.13331216, 54, 0.139354000000001, 98159
bna, 3, 200, 50, 10, 380.73, 8.18274718, 53, 0.161147, 96631
bna, 3, 200, 50, 10, 374.29, 8.17391337, 54, 0.0978490000000001, 98570
bna, 3, 200, 50, 10, 370.58, 8.16138349, 60, 0.0195390000000017, 109467
bna, 3, 200, 50, 10, 374.32, 8.24915307, 146, 0.195079, 265852
bna, 3, 200, 50, 10, 384.11, 8.19523045, 53, 0.0405669999999994, 96935
bna, 3, 200, 50, 10, 382.47, 8.23824304, 63, 0.0525860000000016, 114869
bna, 3, 200, 50, 10, 379.19, 8.15431818, 113, 0.188866000000001, 205188
bna, 3, 200, 50, 10, 389.70, 8.18014215, 69, 0.0239380000000011, 126093
bna, 3, 200, 50, 10, 374.47, 8.23245454, 54, 0.0914950000000019, 98504
bna, 3, 200, 50, 10, 372.01, 8.17232447, 58, 0.0430710000000012, 105960
bna, 3, 200, 50, 10, 378.56, 8.21836134, 57, 0.175606999999999, 104173
bna, 3, 200, 50, 10, 393.78, 8.25007900, 52, 0.143415000000001, 95146
bna, 3, 200, 50, 25, 374.75, 8.18422222, 59, 0.0167710000000021, 38307
bna, 3, 200, 50, 25, 374.01, 8.23415366, 129, 0.000493999999999772, 83323
bna, 3, 200, 50, 25, 371.58, 8.22622227, 55, 0.024243000000002, 35737
bna, 3, 200, 50, 25, 372.54, 8.20494394, 57, 0.0182029999999997, 36973
bna, 3, 200, 50, 25, 381.45, 8.26981343, 107, 0.207444000000002, 69244
bna, 3, 200, 50, 25, 389.51, 8.24474272, 81, 0.012675999999999, 52431
bna, 3, 200, 50, 25, 394.45, 8.26740023, 59, 0.100228000000001, 38520
bna, 3, 200, 50, 25, 402.78, 8.24362842, 115, 0.188304000000002, 74349
bna, 3, 200, 50, 25, 389.72, 8.16608880, 53, 0.0698650000000001, 34464
bna, 3, 200, 50, 25, 389.52, 8.22463868, 62, 0.018025999999999, 40221
bna, 3, 200, 50, 25, 379.48, 8.20091231, 52, 0.0179560000000016, 33853
bna, 3, 200, 50, 25, 378.25, 8.20405529, 53, 0.0926849999999995, 34366
bna, 3, 200, 50, 25, 378.31, 8.21892417, 55, 0.207215999999999, 35643
bna, 3, 200, 50, 25, 379.88, 8.26337469, 94, 0.0104649999999999, 60762
bna, 3, 200, 50, 25, 373.03, 8.16957368, 55, 0.164747999999999, 35804
bna, 3, 200, 50, 25, 365.87, 8.19583560, 57, 0.0259, 37103
bna, 3, 200, 50, 25, 391.51, 8.29370664, 85, 0.00459299999999985, 55082
bna, 3, 200, 50, 25, 370.71, 8.20537928, 55, 0.0726329999999997, 35868
bna, 3, 200, 50, 25, 395.19, 8.30182790, 64, 0.0108379999999997, 41559
bna, 3, 200, 50, 25, 381.00, 8.29498500, 135, 0.00910299999999964, 87310
bna, 3, 200, 50, 25, 396.20, 8.28828765, 137, 0.00218200000000124, 88629
bna, 3, 200, 50, 25, 375.54, 8.27137387, 141, 0.186745000000002, 91154
bna, 3, 200, 50, 25, 393.43, 8.21768299, 68, 0.0184859999999993, 44152
bna, 3, 200, 50, 25, 385.74, 8.16988015, 57, 0.0555340000000015, 37123
bna, 3, 200, 50, 25, 374.38, 8.22345177, 53, 0.0559840000000023, 34640
bna, 3, 200, 50, 25, 390.24, 8.20257375, 55, 0.122731999999999, 35727
bna, 3, 200, 50, 25, 382.94, 8.23075877, 52, 0.0807350000000007, 33864
bna, 3, 200, 50, 25, 388.32, 8.25174316, 55, 0.0199050000000014, 35939
bna, 3, 200, 50, 25, 384.17, 8.21385916, 55, 0.0826770000000003, 35772
bna, 3, 200, 50, 25, 402.81, 8.32463255, 115, 0.192043999999999, 74556
bna, 3, 400, 10, 10, 382.45, 8.15159410, 14, 0.0885280000000002, 52159
bna, 3, 400, 10, 10, 381.99, 8.16427838, 25, 0.0407380000000011, 92060
bna, 3, 400, 10, 10, 384.92, 8.12910462, 12, 0.0517400000000023, 44809
bna, 3, 400, 10, 10, 396.58, 8.21520964, 12, 0.0621740000000024, 44717
bna, 3, 400, 10, 10, 390.78, 8.21407061, 22, 0.0161960000000008, 81062
bna, 3, 400, 10, 10, 382.84, 8.19760086, 11, 0.0950130000000016, 41212
bna, 3, 400, 10, 10, 383.99, 8.22014945, 25, 0.0208480000000009, 91893
bna, 3, 400, 10, 10, 366.06, 8.15272994, 19, 0.0315350000000016, 70128
bna, 3, 400, 10, 10, 369.83, 8.16618156, 13, 0.0207049999999995, 48307
bna, 3, 400, 10, 10, 379.16, 8.16371880, 12, 0.021768999999999, 44860
bna, 3, 400, 10, 10, 379.21, 8.15404580, 12, 0.0519409999999993, 44660
bna, 3, 400, 10, 10, 389.48, 8.17610797, 22, 0.0324930000000023, 80817
bna, 3, 400, 10, 10, 386.93, 8.18839583, 18, 0.172657000000001, 66745
bna, 3, 400, 10, 10, 385.55, 8.17724500, 25, 0.0989120000000021, 91844
bna, 3, 400, 10, 10, 384.35, 8.18896340, 15, 0.0673260000000013, 55900
bna, 3, 400, 10, 10, 375.85, 8.24173056, 32, 0.0607679999999995, 117328
bna, 3, 400, 10, 10, 377.34, 8.21017968, 12, 0.146910000000002, 44792
bna, 3, 400, 10, 10, 386.37, 8.21075103, 18, 0.00793200000000027, 66442
bna, 3, 400, 10, 10, 376.32, 8.18868313, 36, 0.00136200000000031, 131574
bna, 3, 400, 10, 10, 385.34, 8.27759506, 19, 0.0460570000000011, 70254
bna, 3, 400, 10, 10, 369.89, 8.17573615, 16, 0.0213889999999992, 59330
bna, 3, 400, 10, 10, 378.42, 8.19855186, 13, 0.0955259999999996, 48407
bna, 3, 400, 10, 10, 389.01, 8.16922340, 17, 0.0163809999999991, 62805
bna, 3, 400, 10, 10, 393.60, 8.20039769, 18, 0.00234599999999929, 66765
bna, 3, 400, 10, 10, 389.69, 8.17008691, 17, 0.0224070000000012, 62952
bna, 3, 400, 10, 10, 388.72, 8.19541395, 26, 0.00441800000000114, 95496
bna, 3, 400, 10, 10, 378.70, 8.19986169, 15, 0.0926819999999999, 55905
bna, 3, 400, 10, 10, 388.51, 8.19275789, 29, 0.190781000000001, 106447
bna, 3, 400, 10, 10, 368.58, 8.14350365, 23, 0.0234729999999992, 84802
bna, 3, 400, 10, 10, 371.98, 8.21388697, 23, 0.0356570000000005, 84602
bna, 3, 400, 10, 25, 366.06, 8.16189030, 12, 0.0193539999999999, 16140
bna, 3, 400, 10, 25, 377.09, 8.21517203, 13, 0.146007000000001, 17586
bna, 3, 400, 10, 25, 372.08, 8.20078125, 13, 0.039753000000001, 17421
bna, 3, 400, 10, 25, 386.42, 8.17594195, 17, 0.0559639999999995, 22612
bna, 3, 400, 10, 25, 378.57, 8.15646284, 17, 0.00883699999999976, 22631
bna, 3, 400, 10, 25, 394.16, 8.28721765, 22, 0.0195919999999994, 29000
bna, 3, 400, 10, 25, 370.66, 8.20676048, 15, 0.0692909999999998, 20061
bna, 3, 400, 10, 25, 373.37, 8.17766480, 21, 0.0469860000000004, 27731
bna, 3, 400, 10, 25, 373.27, 8.20099841, 31, 0.039982000000002, 40743
bna, 3, 400, 10, 25, 379.59, 8.18859930, 22, 0.101502, 28965
bna, 3, 400, 10, 25, 376.56, 8.15115461, 18, 0.00892299999999935, 23907
bna, 3, 400, 10, 25, 371.61, 8.21632643, 34, 0.0626880000000014, 44514
bna, 3, 400, 10, 25, 375.06, 8.21491948, 13, 0.0725709999999999, 17400
bna, 3, 400, 10, 25, 383.35, 8.20535677, 43, 0.0111279999999994, 56060
bna, 3, 400, 10, 25, 373.40, 8.17572400, 26, 0.00533800000000184, 34216
bna, 3, 400, 10, 25, 381.40, 8.19074199, 48, 0.0382750000000023, 62458
bna, 3, 400, 10, 25, 394.55, 8.23175908, 21, 0.0519309999999997, 27805
bna, 3, 400, 10, 25, 392.77, 8.22511930, 35, 0.00910400000000067, 45621
bna, 3, 400, 10, 25, 368.81, 8.17877961, 36, 0.035381000000001, 47117
bna, 3, 400, 10, 25, 373.53, 8.21891376, 28, 0.00432699999999997, 36745
bna, 3, 400, 10, 25, 374.49, 8.18743789, 17, 0.066594000000002, 22697
bna, 3, 400, 10, 25, 375.44, 8.22485763, 38, 0.053916000000001, 49705
bna, 3, 400, 10, 25, 369.33, 8.18435026, 14, 0.020271000000001, 18923
bna, 3, 400, 10, 25, 390.05, 8.22611732, 47, 7.80000000020209e-05, 61082
bna, 3, 400, 10, 25, 373.74, 8.19155768, 14, 0.0193130000000004, 18722
bna, 3, 400, 10, 25, 384.58, 8.15182938, 21, 0.0118720000000003, 27647
bna, 3, 400, 10, 25, 369.98, 8.16968867, 12, 0.0926930000000006, 16105
bna, 3, 400, 10, 25, 371.47, 8.18548498, 26, 0.0404979999999995, 34269
bna, 3, 400, 10, 25, 368.68, 8.15475000, 17, 0.0551209999999998, 22729
bna, 3, 400, 10, 25, 388.62, 8.19037807, 22, 0.0389920000000004, 29049
bna, 3, 400, 50, 10, 372.75, 8.22612296, 66, 0.00403299999999973, 241037
bna, 3, 400, 50, 10, 385.61, 8.20591111, 68, 0.0285110000000017, 248018
bna, 3, 400, 50, 10, 370.74, 8.24991276, 61, 0.0110379999999992, 222540
bna, 3, 400, 50, 10, 385.87, 8.17189912, 59, 0.0915409999999994, 215461
bna, 3, 400, 50, 10, 369.15, 8.20038203, 57, 0.162929000000002, 208266
bna, 3, 400, 50, 10, 378.89, 8.21742607, 68, 0.0401209999999992, 247694
bna, 3, 400, 50, 10, 375.76, 8.19150680, 62, 0.0433979999999998, 226131
bna, 3, 400, 50, 10, 378.84, 8.24450941, 57, 0.062778999999999, 208285
bna, 3, 400, 50, 10, 373.79, 8.20418559, 57, 0.114217, 208152
bna, 3, 400, 50, 10, 379.64, 8.27425175, 91, 0.0215530000000008, 331564
bna, 3, 400, 50, 10, 386.22, 8.18413105, 59, 0.0127279999999992, 215544
bna, 3, 400, 50, 10, 376.14, 8.25673282, 60, 0.0975570000000019, 219053
bna, 3, 400, 50, 10, 382.30, 8.25001491, 104, 0.0061959999999992, 378397
bna, 3, 400, 50, 10, 382.00, 8.19829464, 51, 0.075292000000001, 186305
bna, 3, 400, 50, 10, 375.60, 8.22640554, 55, 0.151945000000001, 200795
bna, 3, 400, 50, 10, 377.92, 8.28005092, 83, 0.0328030000000012, 302288
bna, 3, 400, 50, 10, 376.31, 8.20746873, 58, 0.151916, 211805
bna, 3, 400, 50, 10, 374.23, 8.17452955, 54, 0.0455630000000014, 197266
bna, 3, 400, 50, 10, 370.11, 8.17052362, 53, 0.106400000000001, 193801
bna, 3, 400, 50, 10, 369.44, 8.20028605, 60, 0.044824000000002, 218899
bna, 3, 400, 50, 10, 379.72, 8.20967811, 55, 0.049627000000001, 200546
bna, 3, 400, 50, 10, 390.98, 8.22766915, 53, 0.00436200000000042, 193757
bna, 3, 400, 50, 10, 383.78, 8.17314838, 57, 0.086034999999999, 207843
bna, 3, 400, 50, 10, 393.66, 8.31125040, 59, 0.00181900000000113, 215376
bna, 3, 400, 50, 10, 369.82, 8.20384761, 70, 0.0434760000000018, 255535
bna, 3, 400, 50, 10, 379.46, 8.23981015, 67, 0.200912000000002, 244544
bna, 3, 400, 50, 10, 374.12, 8.21891752, 70, 0.00279700000000105, 255310
bna, 3, 400, 50, 10, 379.49, 8.26056593, 56, 0.0139960000000023, 204345
bna, 3, 400, 50, 10, 380.06, 8.22034121, 94, 0.187854000000002, 342556
bna, 3, 400, 50, 10, 375.48, 8.19810656, 55, 0.0488740000000014, 200973
bna, 3, 400, 50, 25, 390.22, 8.28010029, 54, 0.0899409999999996, 70253
bna, 3, 400, 50, 25, 380.63, 8.25329631, 58, 0.0072650000000003, 75174
bna, 3, 400, 50, 25, 377.42, 8.26316700, 96, 0.0211320000000015, 124287
bna, 3, 400, 50, 25, 371.98, 8.25329100, 75, 0.00321500000000086, 97392
bna, 3, 400, 50, 25, 381.34, 8.30059354, 178, 0.0121120000000019, 229272
bna, 3, 400, 50, 25, 391.38, 8.37180479, 165, 0.0109390000000005, 213212
bna, 3, 400, 50, 25, 378.71, 8.23078606, 69, 0.00189800000000062, 89335
bna, 3, 400, 50, 25, 394.11, 8.30360020, 125, 0.00145099999999942, 161744
bna, 3, 400, 50, 25, 399.58, 8.34897324, 190, 0.00360399999999927, 245952
bna, 3, 400, 50, 25, 381.82, 8.29940346, 95, 0.00786000000000087, 123049
bna, 3, 400, 50, 25, 373.60, 8.26013661, 133, 0.00801700000000238, 172073
bna, 3, 400, 50, 25, 373.43, 8.18917060, 57, 0.0165120000000023, 73921
bna, 3, 400, 50, 25, 383.56, 8.19396950, 59, 0.0434410000000014, 76789
bna, 3, 400, 50, 25, 379.12, 8.22951801, 54, 0.101745000000001, 70225
bna, 3, 400, 50, 25, 365.87, 8.19673088, 54, 0.0721890000000016, 70284
bna, 3, 400, 50, 25, 388.73, 8.23921546, 53, 0.0224849999999996, 69007
bna, 3, 400, 50, 25, 375.39, 8.21894900, 55, 0.013261, 71790
bna, 3, 400, 50, 25, 374.32, 8.22262585, 55, 0.102862999999999, 71591
bna, 3, 400, 50, 25, 382.06, 8.27619914, 57, 0.174128, 74032
bna, 3, 400, 50, 25, 373.56, 8.24572203, 109, 0.0250790000000016, 141309
bna, 3, 400, 50, 25, 368.97, 8.19617490, 54, 0.00352900000000034, 70102
bna, 3, 400, 50, 25, 372.28, 8.19438999, 62, 0.006768000000001, 80409
