work,type,size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 410.45, 9.35688129, 12, 0.150590000000001, 8051
bna, 3, 200, 10, 10, 366.03, 8.12276990, 26, 0.00964199999999948, 17009
bna, 3, 200, 10, 10, 371.19, 8.11680931, 16, 0.0456520000000005, 10644
bna, 3, 200, 10, 10, 381.84, 8.13410582, 12, 0.0261589999999998, 8063
bna, 3, 200, 10, 10, 377.85, 8.14816678, 17, 0.123725, 11338
bna, 3, 200, 10, 10, 367.58, 8.12790819, 13, 0.0367010000000008, 8723
bna, 3, 200, 10, 10, 373.78, 8.17757294, 19, 0.0416440000000016, 12560
bna, 3, 200, 10, 10, 362.89, 8.10839696, 17, 0.194402, 11284
bna, 3, 200, 10, 10, 367.73, 8.17744841, 15, 0.164055000000001, 10030
bna, 3, 200, 10, 10, 378.68, 8.15465597, 14, 0.182898999999999, 9420
bna, 3, 200, 10, 10, 390.61, 8.21785485, 16, 0.112611000000001, 10671
bna, 3, 200, 10, 10, 369.05, 8.16319361, 28, 0.00674300000000017, 18331
bna, 3, 200, 10, 10, 370.81, 8.16344229, 28, 0.0197740000000017, 18374
bna, 3, 200, 10, 10, 366.32, 8.14495171, 23, 0.010313, 15253
bna, 3, 200, 10, 10, 363.76, 8.14685495, 68, 0.00826100000000096, 44215
bna, 3, 200, 10, 10, 362.31, 8.13990655, 12, 0.0295389999999998, 8048
bna, 3, 200, 10, 10, 366.77, 8.15433571, 20, 0.00450999999999979, 13227
bna, 3, 200, 10, 10, 368.30, 8.14794104, 24, 0.0627600000000008, 15840
bna, 3, 200, 10, 10, 366.55, 8.16423923, 18, 0.0378410000000002, 12064
bna, 3, 200, 10, 10, 362.07, 8.10703492, 19, 0.0127559999999995, 12588
bna, 3, 200, 10, 10, 367.10, 8.15610228, 12, 0.0255550000000007, 8022
bna, 3, 200, 10, 10, 369.77, 8.13506751, 16, 0.181961000000001, 10686
bna, 3, 200, 10, 10, 367.90, 8.13323964, 12, 0.0623600000000017, 8119
bna, 3, 200, 10, 10, 364.59, 8.13791145, 11, 0.0990870000000008, 7404
bna, 3, 200, 10, 10, 365.02, 8.15246554, 12, 0.039906000000002, 8036
bna, 3, 200, 10, 10, 376.55, 8.19675872, 21, 0.0181070000000005, 13847
bna, 3, 200, 10, 10, 381.74, 8.17173228, 23, 0.00703599999999938, 15178
bna, 3, 200, 10, 10, 364.63, 8.13981485, 18, 0.0164560000000016, 11895
bna, 3, 200, 10, 10, 367.78, 8.14749379, 13, 0.0292549999999991, 8700
bna, 3, 200, 10, 10, 365.83, 8.14015316, 12, 0.0838479999999997, 8117
bna, 3, 200, 10, 25, 383.07, 8.17226237, 15, 0.202363999999999, 10038
bna, 3, 200, 10, 25, 378.97, 8.16123617, 12, 0.00534899999999894, 8101
bna, 3, 200, 10, 25, 373.16, 8.16445984, 26, 0.0052979999999998, 17073
bna, 3, 200, 10, 25, 396.43, 8.21202868, 12, 0.103463000000001, 8072
bna, 3, 200, 10, 25, 367.17, 8.14747365, 19, 0.0309810000000006, 12666
bna, 3, 200, 10, 25, 369.73, 8.15120597, 22, 0.0845590000000023, 14507
bna, 3, 200, 10, 25, 368.61, 8.12022471, 19, 0.199311999999999, 12606
bna, 3, 200, 10, 25, 364.40, 8.12726939, 17, 0.0166260000000023, 11333
bna, 3, 200, 10, 25, 377.09, 8.15336384, 12, 0.0247440000000019, 8116
bna, 3, 200, 10, 25, 378.67, 8.19645327, 15, 0.111534000000002, 10056
bna, 3, 200, 10, 25, 369.47, 8.19837404, 14, 0.202707, 9448
bna, 3, 200, 10, 25, 364.03, 8.13947681, 17, 0.0785240000000016, 11392
bna, 3, 200, 10, 25, 368.73, 8.18474922, 18, 0.04223, 11928
bna, 3, 200, 10, 25, 366.76, 8.15408728, 38, 0.0279680000000013, 24714
bna, 3, 200, 10, 25, 363.82, 8.14894219, 20, 0.00632300000000185, 13231
bna, 3, 200, 10, 25, 369.78, 8.17384233, 17, 0.00110600000000005, 11363
bna, 3, 200, 10, 25, 378.87, 8.15857334, 45, 0.0281020000000005, 29313
bna, 3, 200, 10, 25, 371.96, 8.18347698, 19, 0.202605999999999, 12554
bna, 3, 200, 10, 25, 366.18, 8.15487924, 24, 0.0353160000000017, 15709
bna, 3, 200, 10, 25, 370.63, 8.12866308, 21, 0.200948, 13942
bna, 3, 200, 10, 25, 363.51, 8.14434359, 26, 0.0272180000000013, 17011
bna, 3, 200, 10, 25, 366.23, 8.13611629, 34, 0.0101599999999991, 22147
bna, 3, 200, 10, 25, 373.35, 8.15400918, 53, 0.054742000000001, 34544
bna, 3, 200, 10, 25, 363.69, 8.13157084, 14, 0.196664999999999, 9454
bna, 3, 200, 10, 25, 377.92, 8.16648400, 20, 0.147950999999999, 13261
bna, 3, 200, 10, 25, 375.65, 8.23288485, 13, 0.065374000000002, 8800
bna, 3, 200, 10, 25, 376.92, 8.18896462, 14, 0.0629580000000018, 9445
bna, 3, 200, 10, 25, 372.35, 8.15986836, 44, 0.129303, 28683
bna, 3, 200, 10, 25, 366.93, 8.15161689, 17, 0.150698999999999, 11375
bna, 3, 200, 10, 25, 367.01, 8.17119779, 16, 0.047346000000001, 10645
bna, 3, 200, 50, 10, 361.21, 8.15761469, 40, 0.0191090000000003, 26220
bna, 3, 200, 50, 10, 382.71, 8.18491924, 22, 0.129650999999999, 14528
bna, 3, 200, 50, 10, 368.40, 8.17246297, 30, 0.0631740000000001, 19702
bna, 3, 200, 50, 10, 359.59, 8.09955059, 27, 0.0142530000000001, 17674
bna, 3, 200, 50, 10, 369.07, 8.12300048, 26, 0.107141000000002, 17123
bna, 3, 200, 50, 10, 367.77, 8.16360702, 30, 0.010898000000001, 19703
bna, 3, 200, 50, 10, 361.06, 8.13335961, 25, 0.220327000000001, 16461
bna, 3, 200, 50, 10, 364.01, 8.13677045, 11, 0.0740230000000004, 7508
bna, 3, 200, 50, 10, 378.56, 8.14578130, 13, 0.0645270000000018, 8740
bna, 3, 200, 50, 10, 382.13, 8.15691073, 26, 0.0178770000000021, 17119
bna, 3, 200, 50, 10, 379.60, 8.14340522, 12, 0.104431999999999, 8097
bna, 3, 200, 50, 10, 376.42, 8.11198829, 19, 0.0168810000000015, 12633
bna, 3, 200, 50, 10, 366.97, 8.17197729, 15, 0.166111000000001, 10075
bna, 3, 200, 50, 10, 374.08, 8.12324789, 15, 0.050333000000002, 10061
bna, 3, 200, 50, 10, 375.36, 8.14752211, 13, 0.110512, 8813
bna, 3, 200, 50, 10, 373.90, 8.10495607, 16, 0.0166550000000001, 10706
bna, 3, 200, 50, 10, 383.43, 8.14669622, 28, 0.00217400000000012, 18357
bna, 3, 200, 50, 10, 368.57, 8.08241412, 22, 0.000339000000000311, 14414
bna, 3, 200, 50, 10, 372.82, 8.17843745, 28, 0.194984999999999, 18426
bna, 3, 200, 50, 10, 362.82, 8.11449439, 12, 0.151081000000001, 8082
bna, 3, 200, 50, 10, 377.42, 8.12420141, 31, 0.00872400000000084, 20332
bna, 3, 200, 50, 10, 360.86, 8.14448099, 15, 0.133974000000002, 10023
bna, 3, 200, 50, 10, 358.39, 8.10757698, 16, 0.0968289999999996, 10692
bna, 3, 200, 50, 10, 377.82, 8.15934622, 20, 0.149737999999999, 13196
bna, 3, 200, 50, 10, 367.15, 8.14075863, 12, 0.0306330000000017, 8061
bna, 3, 200, 50, 10, 367.02, 8.13594888, 14, 0.139462999999999, 9340
bna, 3, 200, 50, 10, 368.06, 8.15833511, 15, 0.0875070000000022, 10054
bna, 3, 200, 50, 10, 366.33, 8.13753926, 23, 0.0615880000000004, 15273
bna, 3, 200, 50, 10, 365.45, 8.14558634, 41, 0.00977100000000064, 26672
bna, 3, 200, 50, 10, 378.38, 8.14831023, 44, 0.0107379999999999, 28622
bna, 3, 200, 50, 25, 365.48, 8.16343178, 15, 0.00612100000000027, 10007
bna, 3, 200, 50, 25, 378.61, 8.18035298, 16, 0.0261990000000019, 10602
bna, 3, 200, 50, 25, 384.19, 8.13929448, 22, 0.0150910000000017, 14596
bna, 3, 200, 50, 25, 364.53, 8.15482862, 20, 0.0446100000000023, 13225
bna, 3, 200, 50, 25, 367.43, 8.14211440, 13, 0.0778320000000008, 8716
bna, 3, 200, 50, 25, 372.24, 8.09655584, 15, 0.0587000000000018, 10032
bna, 3, 200, 50, 25, 364.81, 8.14947024, 18, 0.0366339999999994, 11985
