work,dimension,population_size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 427.12, 9.39837813, 12, 0.146287000000001, 22376
bna, 3, 200, 10, 10, 444.49, 8.41146150, 34, 0.187702000000002, 62404
bna, 3, 200, 10, 10, 443.06, 8.33323384, 30, 0.188617000000001, 55138
bna, 3, 200, 10, 10, 383.55, 8.12654536, 16, 0.00857099999999988, 29693
bna, 3, 200, 10, 10, 511.25, 8.82622300, 18, 0.199093000000001, 33248
bna, 3, 200, 10, 10, 508.02, 8.69224111, 22, 0.200151000000002, 40488
bna, 3, 200, 10, 10, 466.72, 8.56557008, 21, 0.0519660000000002, 38768
bna, 3, 200, 10, 10, 497.42, 8.60681294, 17, 0.405924000000002, 31500
bna, 3, 200, 10, 10, 521.26, 8.73944338, 21, 0.0283599999999993, 38682
bna, 3, 200, 10, 10, 472.94, 8.59229755, 34, 0.0648009999999992, 62388
bna, 3, 200, 10, 10, 467.70, 8.50791585, 33, 0.188881000000002, 60436
bna, 3, 200, 10, 10, 483.17, 8.59491831, 25, 0.188420000000001, 46041
bna, 3, 200, 10, 10, 481.84, 8.60597125, 27, 0.191393000000001, 49596
bna, 3, 200, 10, 10, 381.24, 8.15760144, 12, 0.0819930000000006, 22351
bna, 3, 200, 10, 10, 482.03, 8.67985188, 12, 0.0830979999999997, 22359
bna, 3, 200, 10, 10, 420.90, 8.33691528, 12, 0.0341319999999996, 22433
bna, 3, 200, 10, 10, 415.69, 8.31985087, 18, 0.199797, 33203
bna, 3, 200, 10, 10, 391.75, 8.25872282, 13, 0.000413999999999248, 24108
bna, 3, 200, 10, 10, 467.92, 8.55320361, 20, 0.176532000000002, 36954
bna, 3, 200, 10, 10, 420.90, 8.39980073, 25, 0.186912, 46044
bna, 3, 200, 10, 10, 475.37, 8.59855784, 38, 0.194342000000002, 69614
bna, 3, 200, 10, 10, 518.46, 8.79921682, 16, 0.0331650000000003, 29729
bna, 3, 200, 10, 10, 440.36, 8.50902894, 31, 0.186783999999999, 56977
bna, 3, 200, 10, 10, 389.11, 8.23207215, 17, 0.0207739999999994, 31478
bna, 3, 200, 10, 10, 417.58, 8.38404456, 11, 0.0822789999999998, 20537
bna, 3, 200, 10, 10, 399.29, 8.17818463, 18, 0.0728679999999997, 33184
bna, 3, 200, 10, 10, 442.90, 8.49215280, 13, 0.194860000000002, 24301
bna, 3, 200, 10, 10, 387.74, 8.16792410, 13, 0.344139000000002, 24272
bna, 3, 200, 10, 10, 426.22, 8.34674803, 14, 0.181352, 26062
bna, 3, 200, 10, 10, 490.18, 8.71530586, 13, 0.206802, 24274
bna, 3, 200, 10, 25, 494.83, 8.70126112, 36, 0.188667000000002, 23599
bna, 3, 200, 10, 25, 444.71, 8.40846010, 19, 0.0393720000000002, 12641
bna, 3, 200, 10, 25, 520.77, 8.74002940, 18, 0.0713889999999999, 11892
bna, 3, 200, 10, 25, 545.65, 8.90558273, 18, 0.0626570000000015, 12033
bna, 3, 200, 10, 25, 489.73, 8.59627668, 15, 0.077255000000001, 9975
bna, 3, 200, 10, 25, 405.21, 8.28809261, 19, 0.0838870000000007, 12677
bna, 3, 200, 10, 25, 395.89, 8.26448065, 13, 0.063644, 8788
bna, 3, 200, 10, 25, 446.73, 8.54107768, 27, 0.0046280000000003, 17665
bna, 3, 200, 10, 25, 524.01, 8.81372634, 23, 0.232051000000002, 15142
bna, 3, 200, 10, 25, 462.85, 8.62377514, 13, 0.0300390000000021, 8772
bna, 3, 200, 10, 25, 394.32, 8.27844175, 28, 0.023137000000002, 18425
bna, 3, 200, 10, 25, 518.57, 8.71939067, 15, 0.0015180000000008, 10066
bna, 3, 200, 10, 25, 400.38, 8.27542340, 18, 0.0878620000000012, 11958
bna, 3, 200, 10, 25, 391.81, 8.28905150, 39, 0.188261000000001, 25519
bna, 3, 200, 10, 25, 386.85, 8.26237600, 40, 0.00604399999999927, 26019
bna, 3, 200, 10, 25, 372.68, 8.19439083, 15, 0.107447000000001, 10008
bna, 3, 200, 10, 25, 371.44, 8.20397905, 12, 0.0397630000000007, 8060
bna, 3, 200, 10, 25, 475.75, 8.65545512, 46, 0.224215000000001, 29929
bna, 3, 200, 10, 25, 597.56, 9.05186008, 22, 0.0975059999999992, 14553
bna, 3, 200, 10, 25, 451.19, 8.46618501, 31, 0.0209630000000018, 20285
bna, 3, 200, 10, 25, 450.13, 8.58593252, 27, 0.00420899999999946, 17670
bna, 3, 200, 10, 25, 439.77, 8.50971961, 42, 0.0305309999999999, 27479
bna, 3, 200, 10, 25, 466.71, 8.65416026, 18, 0.0590550000000007, 11989
bna, 3, 200, 10, 25, 443.85, 8.45493336, 23, 0.189162, 15196
bna, 3, 200, 10, 25, 444.37, 8.48583783, 15, 0.0284499999999994, 10016
bna, 3, 200, 10, 25, 468.51, 8.62347044, 17, 0.105962000000002, 11322
bna, 3, 200, 10, 25, 444.02, 8.41165509, 12, 0.134464000000001, 8096
bna, 3, 200, 10, 25, 445.99, 8.52708719, 43, 0.0367110000000004, 28068
bna, 3, 200, 10, 25, 464.67, 8.66116789, 25, 0.00183700000000186, 16502
bna, 3, 200, 10, 25, 462.59, 8.58699850, 16, 0.0103450000000009, 10645
bna, 3, 200, 50, 10, 458.35, 8.67991933, 59, 0.00706600000000179, 107812
bna, 3, 200, 50, 10, 463.55, 8.64376427, 56, 0.0322820000000021, 102048
bna, 3, 200, 50, 10, 454.05, 8.64247759, 59, 0.0914530000000013, 107896
bna, 3, 200, 50, 10, 466.01, 8.64765280, 58, 0.0740949999999998, 105922
bna, 3, 200, 50, 10, 440.49, 8.58474477, 59, 0.180894000000002, 107787
bna, 3, 200, 50, 10, 431.56, 8.47036355, 53, 0.0229129999999991, 96938
bna, 3, 200, 50, 10, 447.48, 8.42733993, 67, 0.186102000000002, 122171
