work,type,size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 417.92, 8.31672309, 13, 0.039594000000001, 8714
bna, 3, 200, 10, 10, 409.89, 8.32456957, 19, 0.0585500000000003, 12608
bna, 3, 200, 10, 10, 450.02, 8.51253428, 32, 0.0225970000000011, 21026
bna, 3, 200, 10, 10, 486.62, 8.57812381, 17, 0.072769000000001, 11280
bna, 3, 200, 10, 10, 476.89, 8.50996721, 24, 0.039671000000002, 15857
bna, 3, 200, 10, 10, 438.05, 8.40652579, 15, 0.0574110000000019, 10015
bna, 3, 200, 10, 10, 450.44, 8.53307919, 14, 0.0974380000000004, 9372
bna, 3, 200, 10, 10, 454.96, 8.55335940, 13, 0.0635849999999998, 8726
bna, 3, 200, 10, 10, 478.97, 8.61738247, 18, 0.0692459999999997, 12024
bna, 3, 200, 10, 10, 478.69, 8.61856609, 16, 0.0993999999999993, 10683
bna, 3, 200, 10, 10, 461.38, 8.58372966, 20, 0.208563000000002, 13247
bna, 3, 200, 10, 10, 430.85, 8.28321464, 18, 0.0477980000000002, 11888
bna, 3, 200, 10, 10, 442.94, 8.44874132, 29, 0.0058390000000017, 18905
bna, 3, 200, 10, 10, 418.86, 8.35538096, 22, 0.0612770000000005, 14579
bna, 3, 200, 10, 10, 527.48, 8.88888804, 37, 0.0533540000000023, 24139
bna, 3, 200, 10, 10, 528.95, 8.84074767, 35, 0.0431270000000019, 22806
bna, 3, 200, 10, 10, 483.12, 8.65849302, 20, 0.0550010000000007, 13270
bna, 3, 200, 10, 10, 497.52, 8.73201840, 20, 0.0823570000000018, 13246
bna, 3, 200, 10, 10, 471.27, 8.55851709, 20, 0.0148499999999991, 13299
bna, 3, 200, 10, 10, 520.93, 8.92090377, 32, 0.195186, 20991
bna, 3, 200, 10, 10, 482.35, 8.78126254, 16, 0.0309589999999993, 10720
bna, 3, 200, 10, 10, 430.89, 8.45222831, 16, 0.0115410000000011, 10660
bna, 3, 200, 10, 10, 425.52, 8.46933914, 16, 0.186482999999999, 10679
bna, 3, 200, 10, 10, 485.16, 8.73784003, 33, 0.190007000000001, 21591
bna, 3, 200, 10, 10, 428.48, 8.46620206, 19, 0.014564, 12645
bna, 3, 200, 10, 10, 416.68, 8.36723905, 25, 0.0100739999999995, 16549
bna, 3, 200, 10, 10, 458.55, 8.62976872, 17, 0.0592089999999992, 11328
bna, 3, 200, 10, 10, 447.98, 8.51166181, 16, 0.00800100000000015, 10714
bna, 3, 200, 10, 10, 469.01, 8.66190387, 15, 0.0627449999999996, 9970
bna, 3, 200, 10, 10, 400.48, 8.29482960, 11, 0.0543060000000004, 7451
bna, 3, 200, 10, 25, 416.94, 8.34988347, 23, 0.196777000000001, 15190
bna, 3, 200, 10, 25, 389.54, 8.23787872, 15, 0.0413730000000001, 10046
bna, 3, 200, 10, 25, 518.94, 8.84199202, 23, 0.0173810000000003, 15157
bna, 3, 200, 10, 25, 626.86, 9.17780777, 31, 0.192690000000002, 20409
bna, 3, 200, 10, 25, 564.45, 9.25009916, 13, 0.00954600000000028, 8743
bna, 3, 200, 10, 25, 606.60, 9.10407271, 14, 0.0179200000000002, 9359
bna, 3, 200, 10, 25, 742.63, 9.47362210, 17, 0.196591999999999, 11274
bna, 3, 200, 10, 25, 537.88, 8.81776735, 15, 0.0883819999999993, 9958
bna, 3, 200, 10, 25, 481.87, 8.61382090, 17, 0.030260000000002, 11377
bna, 3, 200, 10, 25, 494.78, 8.78576482, 33, 0.000215000000000742, 21490
bna, 3, 200, 10, 25, 465.97, 8.50478155, 32, 0.0821810000000021, 20990
bna, 3, 200, 10, 25, 490.44, 8.64806247, 14, 0.123944000000002, 9426
bna, 3, 200, 10, 25, 489.50, 8.67567767, 11, 0.0521030000000025, 7386
bna, 3, 200, 10, 25, 515.67, 8.81412989, 11, 0.0428440000000023, 7527
bna, 3, 200, 10, 25, 498.27, 8.64205180, 25, 0.105665000000002, 16501
bna, 3, 200, 10, 25, 476.80, 8.63413750, 12, 0.0975570000000019, 8124
bna, 3, 200, 10, 25, 395.52, 8.30724145, 20, 0.0389149999999994, 13192
bna, 3, 200, 10, 25, 515.36, 8.95592191, 12, 0.116343000000001, 8066
bna, 3, 200, 10, 25, 532.47, 8.88798165, 44, 0.0368980000000008, 28659
bna, 3, 200, 10, 25, 510.97, 8.67730714, 32, 0.101283000000002, 21034
bna, 3, 200, 10, 25, 497.49, 8.62285719, 20, 0.0956779999999995, 13276
bna, 3, 200, 10, 25, 522.80, 8.77154904, 27, 0.00661500000000004, 17831
bna, 3, 200, 10, 25, 525.95, 8.84560593, 32, 0.0137630000000009, 20934
bna, 3, 200, 10, 25, 544.49, 8.87134958, 29, 0.191302, 19100
bna, 3, 200, 10, 25, 576.10, 9.05513506, 13, 0.0622930000000004, 8696
bna, 3, 200, 10, 25, 506.64, 8.71311662, 20, 0.0106910000000013, 13201
bna, 3, 200, 10, 25, 410.59, 8.34536626, 14, 0.169914000000002, 9382
bna, 3, 200, 10, 25, 437.21, 8.43433713, 40, 0.189495000000001, 26078
bna, 3, 200, 10, 25, 443.75, 8.55744387, 14, 0.0268529999999991, 9311
bna, 3, 200, 10, 25, 389.91, 8.27802525, 17, 0.0196199999999997, 11278
bna, 3, 200, 50, 10, 409.44, 8.34097587, 17, 0.0181579999999997, 11269
bna, 3, 200, 50, 10, 393.22, 8.35209994, 12, 0.193605999999999, 8051
