work,type,size,max_gens,alpha,PKG,seconds,generations,diff_fitness,evaluations
bna, 3, 200, 10, 10, 433.16, 8.40285417, 19, 0.0103350000000013, 34936
bna, 3, 200, 10, 10, 450.62, 8.34572147, 15, 0.161000000000001, 27777
bna, 3, 200, 10, 10, 433.60, 8.30852225, 23, 0.0953960000000009, 42317
bna, 3, 200, 10, 10, 452.24, 8.45233581, 17, 0.00342399999999898, 31395
bna, 3, 200, 10, 10, 430.09, 8.34722763, 16, 0.0363940000000014, 29654
bna, 3, 200, 10, 10, 434.76, 8.35582819, 13, 0.191932000000001, 24199
bna, 3, 200, 10, 10, 434.03, 8.32667095, 21, 0.000406999999999158, 38571
bna, 3, 200, 10, 10, 437.03, 8.32725804, 12, 0.014327999999999, 22418
bna, 3, 200, 10, 10, 441.74, 8.26677368, 21, 0.225671999999999, 38660
bna, 3, 200, 10, 10, 432.93, 8.33923907, 11, 0.0916870000000003, 20645
bna, 3, 200, 10, 10, 429.91, 8.34816850, 18, 0.0142710000000008, 33217
bna, 3, 200, 10, 10, 436.56, 8.30752640, 33, 0.188121000000002, 60506
bna, 3, 200, 10, 10, 437.55, 8.33065751, 20, 0.0938210000000019, 37097
bna, 3, 200, 10, 10, 438.39, 8.33438008, 22, 0.000394000000000005, 40594
bna, 3, 200, 10, 10, 456.83, 8.43248821, 19, 0.0960619999999999, 35167
bna, 3, 200, 10, 10, 440.71, 8.35662616, 16, 0.192105000000002, 29696
bna, 3, 200, 10, 10, 444.06, 8.34965094, 20, 0.0731380000000001, 36917
bna, 3, 200, 10, 10, 438.45, 8.31460819, 42, 0.296042, 76764
bna, 3, 200, 10, 10, 429.41, 8.33241376, 18, 0.192626000000001, 33427
bna, 3, 200, 10, 10, 444.46, 8.31753092, 15, 0.0510260000000002, 27901
bna, 3, 200, 10, 10, 442.20, 8.39205309, 17, 0.137385000000002, 31583
bna, 3, 200, 10, 10, 422.77, 8.26079486, 18, 0.0364140000000006, 33316
bna, 3, 200, 10, 10, 435.04, 8.33006909, 15, 0.0201200000000021, 27793
bna, 3, 200, 10, 10, 438.06, 8.30796407, 13, 0.0516860000000001, 24202
bna, 3, 200, 10, 10, 429.18, 8.30457834, 22, 0.0453930000000007, 40646
bna, 3, 200, 10, 10, 441.02, 8.33729865, 21, 0.0959199999999996, 38752
bna, 3, 200, 10, 10, 432.51, 8.33541921, 18, 0.00594099999999997, 33405
bna, 3, 200, 10, 10, 429.82, 8.32255859, 12, 0.020894000000002, 22414
bna, 3, 200, 10, 10, 434.29, 8.27160422, 13, 0.0382780000000018, 24233
bna, 3, 200, 10, 10, 436.05, 8.32941197, 31, 0.00415399999999977, 56925
bna, 3, 200, 10, 25, 438.20, 8.27738182, 17, 0.0705620000000025, 11296
bna, 3, 200, 10, 25, 431.09, 8.36252684, 26, 0.0467420000000018, 17157
bna, 3, 200, 10, 25, 434.03, 8.33158511, 13, 0.156282000000001, 8728
bna, 3, 200, 10, 25, 437.89, 8.35081651, 25, 0.195222000000001, 16341
bna, 3, 200, 10, 25, 430.18, 8.36415689, 32, 0.038176, 21090
bna, 3, 200, 10, 25, 432.55, 8.35112743, 36, 0.00621100000000041, 23566
bna, 3, 200, 10, 25, 442.17, 8.33734088, 20, 0.0359160000000003, 13257
bna, 3, 200, 10, 25, 437.76, 8.33267458, 17, 0.00261000000000067, 11207
bna, 3, 200, 10, 25, 438.63, 8.32940800, 21, 0.191950000000002, 13913
bna, 3, 200, 10, 25, 438.72, 8.31882664, 26, 0.000417999999999807, 17108
bna, 3, 200, 10, 25, 426.76, 8.27107425, 12, 0.0133360000000025, 8071
bna, 3, 200, 10, 25, 436.91, 8.34294780, 23, 0.190868999999999, 15127
bna, 3, 200, 10, 25, 435.21, 8.32883974, 30, 0.0148700000000019, 19696
bna, 3, 200, 10, 25, 436.86, 8.34762405, 33, 0.000742000000002463, 21620
